Site,Species,PPT: previously observed ,PPT:observed here, T: previously observed ,T: observed here,reference
BCI,JACO,positive correlation to Apr-Dec precipitation (strongest of the 3 species),positive correlation to Mar-Dec precipitation (strongest of the 3 species),no sig. correlation to annual $T_{mean}$ or $T_{min}$,negative response to Feb-Mar $T_{min}$,Alfaro-S$\acute{a}$nchez et al. 2017
,TEPA,"positive correlation to Apr-Dec precipitation (response weaker than JACO, similar to TRTU)","positive correlation to Mar-Dec precipitation (response weaker than JACO, similar to TRTU)",no sig. correlation to annual $T_{mean}$ or $T_{min}$,no sig. correlation to Feb-Mar $T_{min}$,Alfaro-S$\acute{a}$nchez et al. 2017
,TRTU,"positive correlation to Apr-Dec precipitation (response weaker than JACO, similar to TEPA)","positive correlation to Mar-Dec precipitation (response weaker than JACO, similar to TEPA)",no sig. correlation to annual $T_{mean}$ or $T_{min}$,non-sig. slight positive response to Feb-Mar $T_{min}$,Alfaro-S$\acute{a}$nchez et al. 2017
HKK,AFXY,"sig. positive correlation with June precip, otherwise n.s.",slight concave-down response to p.Sept-June precip frequency,"sig. negative correlation with $T_{max}$ in Aug and Dec; $T_{min}$ in p.Oct., Jul, Aug",slight concave-down response to Apr-Oct $T_{max}$,Vlam et al. 2013
,CHTA,"sig. positive correlation with April precip, otherwise n.s.",slight concave-down response to p.Sept-June precip frequency,"sig. negative correlation with $T_{max}$ in May, Aug-Sept; $T_{min}$ in Feb, May, Aug",slight negative response to Apr-Oct $T_{max}$,Vlam et al. 2013
,MEAZ,"sig. positive correlation with April precip, otherwise n.s.",concave-down response to p.Sept-June precip frequency,sig. negative correlation with $T_{max}$ in May-Aug; $T_{min}$ in May-Aug ,negative response to Apr-Oct $T_{max}$ ,Vlam et al. 2013
,TOCI,sig. positive correlation with p.Oct-p.Nov and April-May precip,concave-down /increasing response to p.Sept-June precip frequency,sig. negative correlation with $T_{max}$ every month from pOct-June (excluding March); $T_{min}$ in Jan and Mar-Aug ,negative response to Apr-Oct $T_{max}$ ,Vlam et al. 2013
LT,PIPO,,,,,-
,PIST2,,,,,-
CB,,,,,,-
SCBI,CACO,neg. correlations with May-Aug $PET$ (sig. May-July),**(sig or ns)** negative response to May-July $PET$,"pos. correlations with May-Aug precip (sig. May, July)",,Helcoski et al. 2019
,CAGL,neg. correlations with May-Aug $PET$ (n.s.),**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (sig. May),,Helcoski et al. 2019
,CAOVL,neg. correlations with May-Aug $PET$ (sig. all months),**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (sig. Aug),,Helcoski et al. 2019
,CATO,neg. correlations with May-Aug $PET$ (sig. June),**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (n.s.),,Helcoski et al. 2019
,FAGR,neg. correlations with May-Aug $PET$ (sig. July-Aug),**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (sig. July-Aug),,Helcoski et al. 2019
,FRAM,neg. correlations with May-Aug $PET$ (sig. May-June),**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (sig. May-June),,Helcoski et al. 2019
,FRNI,no sig. correlations with peak growing season $PET$,**(sig or ns)** negative response to May-July $PET$,no sig. correlations with peak growing season precip,,Helcoski et al. 2019
,JUNI,neg. correlations with May-Aug $PET$ (sig. July-Aug),non-sig. negative response to May-July $PET$,pos. correlations with May-Aug precip (sig. Jun-Aug),,Helcoski et al. 2019
,LITU,neg. correlations with May-Aug $PET$ (sig. all months),**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (sig. May-July),,Helcoski et al. 2019
,PIST,neg. correlations with May-Aug $PET$ (n.s.),**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (n.s.),,Helcoski et al. 2019
,QUAL,neg. correlations with May-Aug $PET$ (sig. all months),**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (sig. May),,Helcoski et al. 2019
,QUMO,"neg. correlations with May-Aug $PET$ (sig. May-June, Aug)",**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (sig. May),,Helcoski et al. 2019
,QURU,"neg. correlations with May-Aug $PET$ (sig. May, July-Aug)",**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (n.s.),,Helcoski et al. 2019
,QUVE,neg. correlations with May-Aug $PET$ (sig. all months),**(sig or ns)** negative response to May-July $PET$,pos. correlations with May-Aug precip (sig. May-July),,Helcoski et al. 2019
LDW,,,,,,"Maxwell, Harley, and Robeson 2016"
HF,,,,,,-
NE,,,,,,Aus de Ar et al. 2018; Bumann et al. 2019
ZOF,ABAL,,slight concave-down response to p.Jun-p.July precipitation frequency,,positive response to Jan-March $T_{max}$,-
,FASY,,positive response to p.Jun-p.July precipitation frequency,,positive response to Jan-March $T_{max}$,-
,PIAB,>700m elev. sites moisture limited June-Aug,positive response to p.Jun-p.July precipitation frequency,>700m elev. sites temperature limited except June-Aug,positive response to Jan-March $T_{max}$,Tumajer et al. 2017
SC,,,,,,Sniderhan and Baltzer 2016
