"species code","family","latin name","sites sampled","leaf type","leaf phenology","light requirements","bark allometry"
"ABAL","Pinaceae","Abies alba","ZOF","needleleaf","evergreen","shade-tolerant","Abies lasiocarpa"
"ABBI","Pinaceae","Abies bifolia","CB","needleleaf","evergreen","","Abies lasiocarpa"
"ACRU","Sapindaceae","Acer rubrum","HF","broadleaf","deciduous (cold)","","Acer rubrum"
"ACSA","Sapindaceae","Acer saccharum","LDW","broadleaf","deciduous (cold)","","Acer rubrum"
"AFXY","Fabaceae","Afzelia xylocarpa ","HKK","broadleaf","deciduous (drought)","","neglected"
"BEAL","Betulaceae","Betula alleghaniensis","HF","broadleaf","deciduous (cold)","","Betula alleghaniensis"
"BEPA","Betulaceae","Betula papyrifera","Niobara","broadleaf","deciduous (cold)","","Betula papyrifera"
"CACO","Juglandaceae","Carya cordiformis","SCBI","broadleaf","deciduous (cold)","","Carya cordiformis"
"CAGL","Juglandaceae","Carya glabra","SCBI","broadleaf","deciduous (cold)","","Carya glabra"
"CAOV","Juglandaceae","Carya ovata","LDW","broadleaf","deciduous (cold)","","Carya glabra"
"CAOVL","Juglandaceae","Carya ovalis","SCBI","broadleaf","deciduous (cold)","","Carya ovalis"
"CATO","Juglandaceae","Carya tomentosa","SCBI","broadleaf","deciduous (cold)","","Carya tomentosa"
"CHTA","Meliaceae","Chukrasia tabularis ","HKK","broadleaf","brevi-deciduous (drought)","","neglected"
"FAGR","Fagaceae","Fagus grandifolia","HF, SCBI","broadleaf","deciduous (cold)","","neglected"
"FASY","Fagaceae","Fagus sylvatica","ZOF","broadleaf","deciduous (cold)","shade-tolerant","neglected"
"FRAM","Oleaceae","Fraxinus americana","LDW, SCBI","broadleaf","deciduous (cold)","","Fraxinus americana"
"FRNI","Oleaceae","Fraxinus nigra","SCBI","broadleaf","deciduous (cold)","","Fraxinus americana"
"JACO","Bignoniaceae","Jacaranada copaia","BCI","broadleaf","deciduous (drought)","light-demanding","Jacaranada copaia"
"JUNI","Juglandaceae","Juglans nigra","SCBI","broadleaf","deciduous (cold)","","Juglans nigra"
"JUVI","Cupressaceae","Juniperus virginiana","Hansley","needleleaf","evergreen","","neglected"
"LITU","Magnoliaceae","Liriodendron tulipifera","LDW, SCBI","broadleaf","deciduous (cold)","","Liriodendron tulipifera"
"MEAZ","Meliaceae","Melia azedarach ","HKK","broadleaf","deciduous (drought)","light-demanding","neglected"
"PIAB","Pinaceae","Picea abies","HF","needleleaf","evergreen","intermediate","Picea engelmannii"
"PIEN","Pinaceae","Picea engelmannii","CB","needleleaf","evergreen","","Picea engelmannii"
"PIFL","Pinaceae","Pinus flexilis","CB","needleleaf","evergreen","","Pinus monticola"
"PILO","Pinaceae","Pinus longaeva","CB","needleleaf","evergreen","","neglected"
"PIMA","Pinaceae","Picea mariana","SC","needleleaf","evergreen","","Picea mariana"
"PIPO","Pinaceae","Pinus ponderosa","Hansley, LT","needleleaf","evergreen","","Pinus jeffreyi"
"PIPU","Pinaceae","Picea pungens","CB","needleleaf","evergreen","","Picea engelmannii"
"PIST","Pinaceae","Pinus strobus","HF, SCBI","needleleaf","evergreen","","Pinus strobus"
"PIST3","Pinaceae","Pinus strobiformis","LT","needleleaf","evergreen","","Pinus monticola"
"POTR","Salicaceae","Populus tremuloides","CB","broadleaf","deciduous (cold)","","Populus tremuloides"
"PSME","Pinaceae","Pseudotsuga menziesii","CB","needleleaf","evergreen","","Pseudotsuga menziesii"
"QUAL","Fagaceae","Quercus alba","LDW, SCBI","broadleaf","deciduous (cold)","","Quercus alba"
"QUMO","Fagaceae","Quercus montana","LDW, SCBI","broadleaf","deciduous (cold)","","Quercus montana"
"QURU","Fagaceae","Quercus rubra","HF, LDW, SCBI","broadleaf","deciduous (cold)","","Quercus rubra"
"QUVE","Fagaceae","Quercus velutina","LDW, SCBI","broadleaf","deciduous (cold)","","Quercus velutina"
"TEPA","Burseraceae","Tetragastris panamensis","BCI","broadleaf","evergreen","shade-tolerant","Tetragastris panamensis"
"TOCI","Meliaceae","Toona ciliata ","HKK","broadleaf","deciduous (drought)","","neglected"
"TRTU","Meliaceae","Trichilia tuberculata","BCI","broadleaf","evergreen","shade-tolerant","Trichilia tuberculata"
"TSCA","Pinaceae","Tsuga canadensis","HF","needleleaf","evergreen","","Tsuga canadensis"
