"site","coreID","core_measurement","Year","species_code","genus","species","treeID","canopy_position","tree_status","dbh","agb","agb_inc","BAI","Date","CO2","residuals","wet","pet"
"NewMexico","NewMexico.lts331a",1.65,1903,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",22.468,0.0863016,0.002720685,10.23849,"15/06/1903",296.652,2.78724411357379,-3.25772881214896,2.79225747799257
"NewMexico","NewMexico.lts331a",0.36,1904,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",22.532,0.08690549,0.0006038945,2.261947,"15/06/1904",297.0012,-5.85020921206856,-4.86183115366855,2.86113033334853
"NewMexico","NewMexico.lts331a",1.25,1905,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",22.76,0.08907917,0.002173675,8.110474,"15/06/1905",297.4366,-0.656369731273369,-3.08693078375314,3.02999722427112
"NewMexico","NewMexico.lts331a",1.68,1906,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",23.025,0.0916496,0.002570431,9.529256,"15/06/1906",297.8837,0.123406750551926,-3.24102491470366,3.03219744852703
"NewMexico","NewMexico.lts331a",2.21,1907,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",23.389,0.09525801,0.00360841,13.26906,"15/06/1907",298.3233,3.25216180933127,-2.72411895839222,2.70106449839533
"NewMexico","NewMexico.lts331a",2.33,1908,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",23.792,0.09935869,0.004100684,14.93352,"15/06/1908",298.7272,4.34733040180885,-3.22322124134765,2.90327071887374
"NewMexico","NewMexico.lts331a",1.51,1909,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",24.034,0.1018748,0.002516099,9.090114,"15/06/1909",299.0624,-2.0094904861477,-3.69132085798776,3.23880411751725
"NewMexico","NewMexico.lts331a",1.46,1910,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",24.244,0.1040909,0.002216143,7.962665,"15/06/1910",299.3141,-3.58113880883764,-4.20041485303496,3.54100437356227
"NewMexico","NewMexico.lts331a",2.31,1911,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",24.59,0.1078089,0.003717925,13.27053,"15/06/1911",299.5416,1.36334367709684,-3.16250889290287,3.00987129627394
"NewMexico","NewMexico.lts331a",1.46,1912,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",24.82,0.1103263,0.002517403,8.9255,"15/06/1912",299.82,-3.2551792539769,-3.22961136134068,2.87874418341896
"NewMexico","NewMexico.lts331a",1.54,1913,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",25.083,0.1132499,0.002923665,10.30795,"15/06/1913",300.1743,-2.05038952430153,-4.11771078008472,3.14761097897401
"NewMexico","NewMexico.lts331a",2.64,1914,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",25.519,0.1182029,0.004952994,17.32782,"15/06/1914",300.5865,4.89007003338839,-2.95080501449408,2.58314460014141
"NewMexico","NewMexico.lts331a",1.87,1915,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",25.822,0.1217232,0.003520266,12.21791,"15/06/1915",301.0586,-0.202292922030601,-3.21789897805644,2.81867809415221
"NewMexico","NewMexico.lts331a",2.89,1916,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",26.235,0.126625,0.004901783,16.8857,"15/06/1916",301.5742,4.5750276237322,-3.42200139927414,3.42088456894357
"NewMexico","NewMexico.lts331a",1.06,1917,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",26.412,0.1287624,0.002137464,7.318748,"15/06/1917",302.1061,-4.79883681318331,-4.71410095127926,3.02308469783181
"NewMexico","NewMexico.lts331a",1.33,1918,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",26.678,0.1320162,0.003253746,11.09135,"15/06/1918",302.6124,-0.761057676733815,-3.82119500185125,3.29195165233237
"NewMexico","NewMexico.lts331a",2.19,1919,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",27.073,0.1369401,0.004923872,16.67529,"15/06/1919",303.0476,5.1462077028485,-2.2302890207082,2.76081841609801
"NewMexico","NewMexico.lts331a",1.54,1920,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",27.361,0.1405997,0.003659691,12.31268,"15/06/1920",303.3881,1.14934517089211,-3.09539130028471,3.09635800169849
"NewMexico","NewMexico.lts331a",2.25,1921,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",27.796,0.1462391,0.005639351,18.84429,"15/06/1921",303.6591,8.07238611746528,-2.81449096360865,2.63189152749809
"NewMexico","NewMexico.lts331a",0.28,1922,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",27.882,0.14737,0.001130861,3.760728,"15/06/1922",303.8949,-6.61099873675278,-4.55058500140033,3.06742514866505
"NewMexico","NewMexico.lts331a",0.67,1923,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",28.042,0.1494879,0.002117976,7.027617,"15/06/1923",304.1296,-2.95151021240996,-3.60067903179325,3.10295867446449
"NewMexico","NewMexico.lts331a",0.86,1924,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",28.234,0.1520537,0.002565734,8.486221,"15/06/1924",304.3854,-1.12282630881601,-3.74378151113458,3.23849829185378
"NewMexico","NewMexico.lts331a",0.66,1925,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",28.371,0.1539006,0.001846901,6.090672,"15/06/1925",304.6646,-3.18368969356849,-3.90688103709679,3.20736537351036
"NewMexico","NewMexico.lts331a",0.87,1926,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",28.534,0.1561155,0.00221495,7.284972,"15/06/1926",304.992,-1.7003371814198,-3.24597507497225,2.74289874036378
"NewMexico","NewMexico.lts331a",0.69,1927,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",28.686,0.1581982,0.00208268,6.830953,"15/06/1927",305.3711,-1.91811574145206,-3.61706917768685,3.14509890104032
"NewMexico","NewMexico.lts331a",0.98,1928,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",28.858,0.160575,0.002376779,7.773532,"15/06/1928",305.7965,-0.795967659507716,-4.24117149033218,2.94730534404155
"NewMexico","NewMexico.lts331a",1.46,1929,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",29.101,0.1639693,0.003394277,11.06158,"15/06/1929",306.2273,2.6145233230115,-3.09827115906267,2.91617210780622
"NewMexico","NewMexico.lts331a",1.02,1930,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",29.293,0.1666814,0.00271211,8.805608,"15/06/1930",306.6139,0.426726325601805,-3.56036512727249,2.91837233206066
"NewMexico","NewMexico.lts331a",1.24,1931,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",29.505,0.1697071,0.003025692,9.790126,"15/06/1931",306.9661,1.43106173063328,-3.30145916317952,3.02057246094752
"NewMexico","NewMexico.lts331a",1.18,1932,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",29.741,0.1731137,0.003406693,10.98148,"15/06/1932",307.3024,2.60242500442078,-3.15856158139099,3.02277887215904
"NewMexico","NewMexico.lts331a",1.39,1933,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",29.972,0.1764876,0.0033739,10.83355,"15/06/1933",307.6412,2.40534299513339,-4.07866116018179,2.79164582665798
"NewMexico","NewMexico.lts331a",0.52,1934,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",30.051,0.1776505,0.001162811,3.724214,"15/06/1934",307.9971,-4.77020184869399,-4.28475514597635,3.42717941603428
"NewMexico","NewMexico.lts331a",1.1,1935,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",30.251,0.1806148,0.002964309,9.472216,"15/06/1935",308.3682,0.907393808765356,-3.28184922378476,2.66271275109727
"NewMexico","NewMexico.lts331a",0.92,1936,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",30.431,0.1833078,0.002693054,8.578716,"15/06/1936",308.7454,-0.0478234958923682,-4.3859515494277,3.19825246385232
"NewMexico","NewMexico.lts331a",1.12,1937,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",30.611,0.1860248,0.00271698,8.629609,"15/06/1937",309.1504,-0.0377589582336402,-3.77805119062078,2.93378595786067
"NewMexico","NewMexico.lts331a",0.9,1938,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",30.754,0.1882004,0.002175587,6.892022,"15/06/1938",309.6082,-1.78443523591239,-4.53414522403492,2.9359861821138
"NewMexico","NewMexico.lts331a",0.57,1939,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",30.861,0.1898382,0.00163781,5.177977,"15/06/1939",310.0768,-3.46690677257902,-4.45523923120691,3.33818650173418
"NewMexico","NewMexico.lts331a",0.78,1940,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",30.997,0.1919322,0.002093985,6.60731,"15/06/1940",310.4871,-1.95880354167702,-3.62234165167597,3.1737259283862
"NewMexico","NewMexico.lts331a",1.66,1941,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",31.289,0.1964747,0.004542474,14.28444,"15/06/1941",310.7975,5.84811244777617,-1.78844124607522,2.54259294646201
"NewMexico","NewMexico.lts331a",1.11,1942,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",31.503,0.1998442,0.003369546,10.55378,"15/06/1942",310.9933,2.29918488696395,-4.17153527751943,3.21145983738106
"NewMexico","NewMexico.lts331a",1.15,1943,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",31.685,0.2027369,0.002892719,9.032249,"15/06/1943",311.0459,1.00936076391254,-4.05562934375828,3.14699345854487
"NewMexico","NewMexico.lts331a",1.5,1944,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",31.938,0.2067995,0.004062606,12.64225,"15/06/1944",310.989,4.89631081788953,-3.41873174414117,3.01586618674032
"NewMexico","NewMexico.lts331a",0.94,1945,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",32.107,0.2095402,0.002740668,8.500839,"15/06/1945",310.8733,1.06988738818075,-4.21283131178098,3.1847332366045
"NewMexico","NewMexico.lts331a",0.53,1946,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",32.199,0.2110412,0.001501044,4.646535,"15/06/1946",310.8083,-2.44064857456264,-4.66492520584231,3.25360006394448
"NewMexico","NewMexico.lts331a",0.41,1947,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",32.275,0.2122861,0.001244831,3.84847,"15/06/1947",310.8038,-2.87695731039986,-4.27501942604873,3.2224669866517
"NewMexico","NewMexico.lts331a",0.64,1948,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",32.402,0.214376,0.00208996,6.451244,"15/06/1948",310.8721,0.0938278713435006,-3.08112165424559,3.09133987379209
"NewMexico","NewMexico.lts331a",1.02,1949,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",32.578,0.2172926,0.002916593,8.98219,"15/06/1949",311.0242,2.98699775280158,-3.10922135630882,2.69354016162139
"NewMexico","NewMexico.lts331a",0.25,1950,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",32.624,0.2180588,0.0007661796,2.355638,"15/06/1950",311.2407,-3.294833193943,-5.09331535094128,3.02907371920555
"NewMexico","NewMexico.lts331a",0.28,1951,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",32.671,0.2188433,0.000784502,2.410281,"15/06/1951",311.4847,-2.9237571374793,-4.45040939515617,3.29794051475541
"NewMexico","NewMexico.lts331a",0.5,1952,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",32.777,0.2206188,0.001775491,5.44869,"15/06/1952",311.7859,0.393480659071989,-3.1445117778123,3.10014679880662
"NewMexico","NewMexico.lts331a",0.32,1953,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",32.845,0.2217623,0.001143514,3.504679,"15/06/1953",312.1931,-1.31670893256534,-4.38461137303037,3.06901356256694
"NewMexico","NewMexico.lts331a",0.52,1954,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",32.947,0.2234842,0.001721903,5.270637,"15/06/1954",312.7537,0.632899379631367,-4.35470544058721,3.33788051706193
"NewMexico","NewMexico.lts331a",0.44,1955,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",33.02,0.2247215,0.001237235,3.782156,"15/06/1955",313.4586,-0.724835121341258,-4.22579936413202,2.84008090025747
"NewMexico","NewMexico.lts331a",0.04,1956,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",33.024,0.2247894,6.791172e-05,0.2074833,"15/06/1956",314.126,-4.22191902909788,-5.36990187788882,3.57562042227379
"NewMexico","NewMexico.lts331a",0.69,1957,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",33.151,0.2269519,0.002162579,6.600663,"15/06/1957",314.6769,2.19781996269598,-3.37300142491702,2.77782061473408
"NewMexico","NewMexico.lts331a",0.27,1958,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",33.206,0.2278923,0.0009403937,2.866417,"15/06/1958",315.1709,-1.5566197962079,-3.68509544046885,3.14668747386083
"NewMexico","NewMexico.lts331a",0.52,1959,"PIPO","Pinus","ponderosa","NewMexico.lts331",NA,"alive",33.306,0.2296081,0.001715766,5.22384,"15/06/1959",315.6582,0.739925297206496,-3.7951894817615,2.94888772989899
