"site","coreID","core_measurement","Year","species_code","genus","species","treeID","canopy_position","tree_status","dbh","agb","agb_inc","BAI","Date","CO2","residuals","pre","pre^2","pet","pet^2"
"LillyDickey","LillyDickey.LDS01A",0.575,1913,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.264798,0.00750837,0.0003040596,1.337402,"15/06/1913",300.1743,-0.000183457050089294,51.1000022888184,2611.21023391725,3.4500000551343,11.9025003804266
"LillyDickey","LillyDickey.LDS01A",0.733,1914,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.395584,0.007853511,0.000345141,1.505898,"15/06/1914",300.5865,-0.000155927044051606,48,2304,3.36250009387732,11.306406881325
"LillyDickey","LillyDickey.LDS01A",1.479,1915,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.687773,0.008657466,0.0008039544,3.461403,"15/06/1915",301.0586,0.000289037738094871,82.9000015258789,6872.41025299072,2.8875000551343,8.33765656840056
"LillyDickey","LillyDickey.LDS01A",1.536,1916,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.985583,0.009524136,0.0008666702,3.665995,"15/06/1916",301.5742,0.000337168758118752,156.699996948242,24554.889043579,3.11250004172325,9.68765650972724
"LillyDickey","LillyDickey.LDS01A",1.543,1917,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.270244,0.0103977,0.0008735628,3.634342,"15/06/1917",302.1061,0.000328189416078674,147.100006103516,21638.4117956544,2.91250003874302,8.48265647567809
"LillyDickey","LillyDickey.LDS01A",1.141,1918,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.473484,0.01104871,0.0006510134,2.672706,"15/06/1918",302.6124,8.78841097538831e-05,80.2000045776367,6432.04073425295,3.36250003427267,11.3064064804837
"LillyDickey","LillyDickey.LDS01A",0.793,1919,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.609982,0.01149883,0.0004501154,1.831442,"15/06/1919",303.0476,-0.00013323835909776,95.3000030517578,9082.09058166505,3.31250002980232,10.9726564474404
"LillyDickey","LillyDickey.LDS01A",1.239,1920,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.832173,0.01225385,0.0007550273,3.043801,"15/06/1920",303.3881,0.000148457383435571,73.5,5402.25,2.97500013560057,8.85062580682338
"LillyDickey","LillyDickey.LDS01A",0.6,1921,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.954361,0.01268094,0.0004270852,1.706917,"15/06/1921",303.6591,-0.000206114122468216,89.4000015258789,7992.36027282715,3.57500004768371,12.7806253409386
"LillyDickey","LillyDickey.LDS01A",0.705,1922,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.090699,0.0131675,0.000486558,1.932255,"15/06/1922",303.8949,-0.000176973375836436,40.1000022888184,1608.01018356324,3.35000009834766,11.2225006589293
"LillyDickey","LillyDickey.LDS01A",0.524,1923,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.212261,0.01361028,0.0004427861,1.747464,"15/06/1923",304.1296,-0.000254916285086697,92.5999984741211,8574.75971740723,3.26250004768372,10.6439065611363
"LillyDickey","LillyDickey.LDS01A",0.562,1924,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.35103,0.01412613,0.0005158474,2.023189,"15/06/1924",304.3854,-0.000219836870969966,125.700004577637,15800.491150818,2.92500006407499,8.55562537483872
"LillyDickey","LillyDickey.LDS01A",0.451,1925,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.456854,0.014527,0.0004008646,1.563208,"15/06/1925",304.6646,-0.00037641804765287,127.400001525879,16230.760388794,3.55000011622905,12.6025008252263
"LillyDickey","LillyDickey.LDS01A",0.833,1926,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.634424,0.01521426,0.0006872659,2.662524,"15/06/1926",304.992,-0.00013487789063907,55.2999992370605,3058.08991561889,3.15000016242265,9.92250102326275
"LillyDickey","LillyDickey.LDS01A",1.137,1927,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.86264,0.01612467,0.0009104091,3.494665,"15/06/1927",305.3711,4.06393388543454e-05,81.4000015258789,6625.96024841309,3.01250007748604,9.07515671685339
"LillyDickey","LillyDickey.LDS01A",1.143,1928,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",10.11592,0.0171711,0.001046426,3.974185,"15/06/1928",305.7965,0.000126885275258583,165.100006103516,27258.012015381,2.82500005513429,7.98062531150877
"LillyDickey","LillyDickey.LDS01A",1.285,1929,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",10.3703,0.01826068,0.001089585,4.093029,"15/06/1929",306.2273,0.0001188417107071,121.200004577637,14689.4411096192,3.10000011324882,9.61000070214272
"LillyDickey","LillyDickey.LDS01A",0.788,1930,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",10.5312,0.01896998,0.0007092944,2.641289,"15/06/1930",306.6139,-0.000313309101694514,52.6000022888184,2766.7602407837,3.52500002831221,12.4256251996011
"LillyDickey","LillyDickey.LDS01A",1.88,1931,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",10.8575,0.02045691,0.00148693,5.48149,"15/06/1931",306.9661,0.000412607004476958,72.7000045776367,5285.2906655884,3.13750007748604,9.8439067362249
"LillyDickey","LillyDickey.LDS01A",1.195,1932,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",11.10697,0.02163793,0.001181021,4.303541,"15/06/1932",307.3024,5.59043208926109e-05,136,18496,3.21250003576279,10.3201564797759
"LillyDickey","LillyDickey.LDS01A",0.889,1933,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",11.28989,0.02252851,0.0008905805,3.217609,"15/06/1933",307.6412,-0.000283669804141713,19.3999996185303,376.359985198976,3.32500006258488,11.0556254161894
"LillyDickey","LillyDickey.LDS01A",1.257,1934,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",11.5442,0.02380165,0.001273146,4.560832,"15/06/1934",307.9971,5.20697369349231e-05,108.5,11772.25,3.52500008046627,12.4256255672872
"LillyDickey","LillyDickey.LDS01A",1.117,1935,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",11.77645,0.02500019,0.001198538,4.25382,"15/06/1935",308.3682,-6.65280335860636e-05,108.700004577637,11815.6909951783,3.11250005662441,9.68765660248696
"LillyDickey","LillyDickey.LDS01A",0.845,1936,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",11.94482,0.02589069,0.0008904942,3.136785,"15/06/1936",308.7454,-0.000415343621420951,25,625,3.56250004470348,12.6914065685123
"LillyDickey","LillyDickey.LDS01A",1.675,1937,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",12.30029,0.02783106,0.001940375,6.768827,"15/06/1937",309.1504,0.000597196853394367,82.8000030517578,6855.8405053711,3.02500003576279,9.15062521636486
"LillyDickey","LillyDickey.LDS01A",1.672,1938,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",12.62899,0.02969902,0.001867959,6.43578,"15/06/1938",309.6082,0.000490902629838476,123.099998474121,15153.6096243286,3.18750004470348,10.1601565349847
"LillyDickey","LillyDickey.LDS01A",1.314,1939,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",12.85252,0.0310103,0.001311281,4.473682,"15/06/1939",310.0768,-9.63504594263804e-05,163.699996948242,26797.6890008544,3.16250006854534,10.0014066835493
"LillyDickey","LillyDickey.LDS01A",1.355,1940,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",13.09036,0.03244227,0.001431967,4.846084,"15/06/1940",310.4871,-3.28363152595195e-06,68.5999984741211,4705.95979064942,2.8874999973923,8.33765623494052
"LillyDickey","LillyDickey.LDS01A",1.197,1941,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",13.31224,0.03381261,0.001370346,4.600898,"15/06/1941",310.7975,-9.00938828205446e-05,153.900009155273,23685.2128179931,3.26250007003546,10.6439067069814
"LillyDickey","LillyDickey.LDS01A",2.394,1942,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",13.72096,0.03642514,0.002612521,8.678013,"15/06/1942",310.9933,0.00112863420827944,156.800003051758,24586.2409570313,3.02500005066395,9.15062530651689
"LillyDickey","LillyDickey.LDS01A",1.392,1943,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",13.99198,0.0382211,0.00179596,5.898847,"15/06/1943",311.0459,0.000289543643330818,94.9000015258789,9006.01028961182,3.22499999403954,10.400624961555
"LillyDickey","LillyDickey.LDS01A",1.052,1944,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",14.18237,0.03951343,0.001292338,4.212969,"15/06/1944",310.989,-0.000236622981397368,48.5,2352.25,3.3625001013279,11.3064069314301
"LillyDickey","LillyDickey.LDS01A",1.786,1945,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",14.54709,0.04206049,0.002547056,8.229693,"15/06/1945",310.8733,0.000994529972089299,174,30276,2.98750004172325,8.92515649929642
"LillyDickey","LillyDickey.LDS01A",0.657,1946,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",14.65032,0.04279848,0.0007379946,2.367015,"15/06/1946",310.8083,-0.000840158005971802,75.2000045776367,5655.04068847658,3.27500008046627,10.7256255270541
"LillyDickey","LillyDickey.LDS01A",0.957,1947,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",14.82249,0.04404646,0.001247976,3.985546,"15/06/1947",310.8038,-0.000358903440695073,135.600006103516,18387.3616552736,2.78750005364418,7.77015654906631
"LillyDickey","LillyDickey.LDS01A",1.117,1948,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",15.07926,0.04594723,0.001900764,6.030212,"15/06/1948",310.8721,0.000261058255997502,107.099998474121,11470.4096731567,3.27499998360872,10.7256248926371
"LillyDickey","LillyDickey.LDS01A",0.851,1949,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",15.28974,0.04754096,0.001593734,5.020321,"15/06/1949",311.0242,-8.38230021082992e-05,118.099998474121,13947.6096395874,3.17500004172325,10.0806252649426
"LillyDickey","LillyDickey.LDS01A",0.605,1950,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",15.46726,0.0489102,0.001369241,4.288081,"15/06/1950",311.2407,-0.000352014475467023,121.300003051758,14713.6907403565,3.00000007450581,9.00000044703484
