"with_CO2","what","site","sp","parameter","Value","Std.Error","DF","t.value","p.value"
FALSE,"log_core_measurement","ScottyCreek","PIMA","(Intercept)",-1.27171828624509,0.0218859762935761,36021,-58.1065367697743,0
FALSE,"log_core_measurement","ScottyCreek","PIMA","pre",0.000513848964555526,8.70308631358381e-05,36021,5.90421542474546,3.57498863538781e-09
FALSE,"log_core_measurement","ScottyCreek","PIMA","I(pre^2)",-3.32116988222455e-05,2.70042511216555e-06,36021,-12.2986927771576,1.08070736183028e-34
FALSE,"log_core_measurement","ScottyCreek","PIMA","tmx",0.00999124143902624,0.00080616053627111,36021,12.393612673278,3.33904691583139e-35
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","(Intercept)",-1.07430580552764,0.122104340930602,8289,-8.79826054782302,1.67062424541164e-18
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","dbh",-0.207538983000861,0.00931330223199665,8289,-22.2841456049653,6.92770562422995e-107
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","pre",0.000843869624539714,0.000176353995899422,8289,4.78508933260003,1.73866034163866e-06
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","I(pre^2)",-4.90436415747954e-05,5.52969433723257e-06,8289,-8.86914150834241,8.9149120771319e-19
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","tmx",-0.0536104038386015,0.00627119570305117,8289,-8.54867339134672,1.46774066386077e-17
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","I(tmx^2)",-0.000744252185138768,9.21325627979601e-05,8289,-8.07805799097175,7.50661288423213e-16
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","(Intercept)",-11.5020892800241,0.093240915644947,8209,-123.358819467443,0
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","dbh",0.646804953109295,0.0347593460080807,8209,18.6080875330315,9.83768528902902e-76
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","I(dbh^2)",-0.0449705948201231,0.00338594549521662,8209,-13.2815471730581,7.6200381073973e-40
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","pre",-0.00125919617767995,0.000494432194076064,8209,-2.54675199707209,0.0108911626689544
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","I(pre^2)",-8.83832670673288e-05,1.0247766731261e-05,8209,-8.62463689749241,7.63615502640796e-18
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","tmx",-0.027040589219774,0.0021774144438019,8209,-12.4186689845592,4.27215196916105e-35
