"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.949746807150188,0.286097197949404,-0.00635402408589404,0.00459964568450442,-9.45873308184438e-05,0.108141758192336,0.00767696436328301,10,-246.917164528143,514.144625248105,0,0.331952040099932,0.331952040099932,FALSE
-0.882503759238788,0.285778940323135,-0.00634420142175067,NA,NA,0.117940085313369,0.00857109374110109,8,-248.993401110158,514.189333865886,0.04470861778168,0.324613807797325,0.656565847897257,FALSE
-0.938746838282205,0.286321956013758,-0.00636800350186957,0.00142570264533786,NA,0.106719877661302,0.00757124256300011,9,-248.083310559862,514.420142246484,0.275516998379317,0.289232829382341,0.945798677279598,FALSE
-1.21760602736033,0.28801064208869,-0.00644590341559091,0.00525494580767686,-9.03614031104723e-05,0.01756782725495,NA,9,-250.805919017183,519.865359161127,5.72073391302229,0.0190035070638293,0.964802184343427,FALSE
-1.20362294313705,0.28819807075343,-0.00645748104011397,0.00221222492693558,NA,0.0174018128883737,NA,8,-251.856054698293,519.914641042155,5.7700157940501,0.0185409649169459,0.983343149260373,FALSE
-1.16813959288588,0.287738469670126,-0.006439292227327,NA,NA,0.0164386647625718,NA,7,-254.181899075997,522.52110152278,8.3764762746755,0.00503670633559385,0.988379855595967,FALSE
-1.30009875536003,0.289407123609334,-0.00654549957206249,0.00205139664136192,NA,NA,NA,7,-254.963080068567,524.083463507921,9.93883825981584,0.00230613132858635,0.990685986924553,FALSE
-1.31470938913939,0.289247834180289,-0.0065353686575703,0.00501157385331235,-8.79518667426039e-05,NA,NA,8,-253.980935333588,524.164402312746,10.0197770646412,0.00221466681183285,0.992900653736386,FALSE
-0.165653048968608,0.122185847272814,NA,NA,NA,0.121020826855433,0.00876315069476494,7,-255.041674270414,524.240651911614,10.0960266635093,0.00213182233269096,0.995032476069077,FALSE
-0.228088377805165,0.122115593836004,NA,0.00455604395977161,-9.51373597468994e-05,0.111740752211303,0.00791528844007292,9,-253.011019318946,524.275559764652,10.1309345165478,0.00209493650005254,0.99712741256913,FALSE
-0.216767275865009,0.122064705815232,NA,0.00136430612762195,NA,0.110294577195342,0.0078071878450528,8,-254.201373950883,524.605279547335,10.4606542992303,0.00177653235898828,0.998903944928118,FALSE
-1.26225018417327,0.28894945034995,-0.0065254453581658,NA,NA,NA,NA,6,-256.946722697968,526.011257457648,11.8666322095432,0.000879566942157978,0.999783511870276,FALSE
-0.498413103251689,0.122039052223875,NA,0.00522718712101539,-9.06259451647381e-05,0.0183986995530975,NA,8,-257.19383136574,530.590194377049,16.4455691289447,8.91179894114895e-05,0.999872629859688,FALSE
-0.484154468640531,0.121996617313192,NA,0.00217605661836923,NA,0.0182355017787625,NA,7,-258.260606402645,530.678516176076,16.5338909279717,8.52680919510579e-05,0.999957897951639,FALSE
-0.452507654325702,0.122185534233641,NA,NA,NA,0.0172960451149492,NA,6,-260.531821086118,533.181454233947,19.0368289858425,2.43938557487279e-05,0.999982291807387,FALSE
-0.584632963793128,0.121700266968063,NA,0.00200585724906953,NA,NA,NA,6,-261.720321210197,535.558454482104,21.4138292339994,7.43226875654802e-06,0.999989724076144,FALSE
-0.599360077864136,0.121737938241897,NA,0.00496844555608516,-8.80388885487182e-05,NA,NA,7,-260.724889512614,535.607082396014,21.4624571479094,7.25374005842278e-06,0.999996977816202,FALSE
-0.550548151323909,0.12188742580817,NA,NA,NA,NA,NA,5,-263.637062136296,537.358157886037,23.2135326379326,3.02218313003439e-06,0.999999999999332,FALSE
1.29870569082979,NA,NA,NA,NA,0.123829229154777,0.0089709501148365,6,-278.999170570055,570.116153201821,55.9715279537168,2.32815813282438e-13,0.999999999999565,FALSE
1.23489819377807,NA,NA,0.00449160335127889,-9.22321665655276e-05,0.114265527514534,0.00809800478146346,8,-277.036732769347,570.275997184263,56.1313719361585,2.14932848933499e-13,0.99999999999978,FALSE
1.24458632809801,NA,NA,0.00139856886989835,NA,0.11283124874811,0.00799091433927816,7,-278.133781720644,570.424866812075,56.2802415639699,1.99515281998973e-13,0.99999999999998,FALSE
0.968950337857487,NA,NA,0.00223108956352553,NA,0.0185949500648472,NA,6,-282.307973397871,576.733758857453,62.5891336093482,8.51172659559999e-15,0.999999999999988,FALSE
0.956210671883257,NA,NA,0.00517361459794081,-8.74268592978865e-05,0.0187571373562867,NA,7,-281.334653986865,576.826611344517,62.6819860964119,8.12559185027585e-15,0.999999999999996,FALSE
1.00386816573765,NA,NA,NA,NA,0.0176317694230895,NA,5,-284.647456316134,579.378946245714,65.2343209976094,2.26789279918475e-15,0.999999999999998,FALSE
0.861467079916251,NA,NA,0.00205832683145315,NA,NA,NA,5,-285.830776133346,581.745585880137,67.6009606320318,6.94565576154716e-16,0.999999999999999,FALSE
0.848153168407775,NA,NA,0.00490653299915142,-8.46661203877888e-05,NA,NA,6,-284.928808269247,581.975428600205,67.8308033521007,6.1916092818706e-16,1,FALSE
0.898908700848303,NA,NA,NA,NA,NA,NA,4,-287.807115591321,583.670175238587,69.5255499904823,2.65334660917242e-16,1,FALSE
