"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-1.38404483347698,0.389909272220599,-0.0315898496784811,-0.00134832872365205,-8.40986771761723e-05,-0.121716822221043,0.00694961437960346,10,-59.3164089732418,138.659311202746,0,0.999997118197146,0.999997118197146,TRUE
-1.69824585472644,0.390138966159872,-0.0316373725429375,-0.00150686827563634,-8.87518453802878e-05,-0.0272822180450354,NA,9,-73.0759103466917,164.173494383931,25.5141831811856,2.88180284332293e-06,0.999999999999989,FALSE
-1.30719402660446,0.389437604726023,-0.0316029098321958,0.00254460749737486,NA,-0.133663018151525,0.00788396957200516,9,-92.5196264952428,203.060926681034,64.401615478288,1.03601402455991e-14,0.999999999999999,TRUE
-1.0178024589428,0.115103334181697,NA,-0.00134995641889196,-8.4103352474896e-05,-0.121629120462545,0.00693153713116685,9,-95.4511870477181,208.924047785984,70.2647365832385,5.52338178261359e-16,1,TRUE
-1.33016849099289,0.114842182505981,NA,-0.00150865976699133,-8.87568039396401e-05,-0.0274416279540152,NA,8,-109.178640663664,234.374618192245,95.715306989499,1.64317537868319e-21,1,FALSE
-1.66127365019622,0.389648379081721,-0.0316596015656789,0.00260958806184388,NA,-0.0264842370769668,NA,8,-110.18858138916,236.394499643238,97.7351884404921,5.98511135079974e-22,1,FALSE
-0.942923172184529,0.114986922408052,NA,0.00254320672933397,NA,-0.13358565424653,0.00786665893162269,8,-128.765707684448,273.548752233813,134.889441031067,5.11833603200607e-30,1,TRUE
-0.418672511167218,NA,NA,-0.00138709326803994,-8.47058462241907e-05,-0.122143076469866,0.0069254116160205,8,-141.188138960744,298.393614786405,159.73430358366,2.06127264555896e-35,1,TRUE
-1.29529859770824,0.114671112880691,NA,0.00260804739472846,NA,-0.0266439087226117,NA,7,-146.415074776542,306.843632158115,168.18432095537,3.01465405194192e-37,1,FALSE
-1.86736054524485,0.391544223020044,-0.0316596782129689,-0.000661811767035016,-8.33973812752046e-05,NA,NA,8,-150.221258696463,316.459854257844,177.800543055098,2.46094203429564e-39,1,FALSE
-0.732066544743332,NA,NA,-0.00154527702329608,-8.93471411847183e-05,-0.0280366137344127,NA,7,-154.64429680903,323.302076223093,184.642765020347,8.04140179636735e-41,1,FALSE
-1.27528107194614,0.385533834951293,-0.0315732182038551,NA,NA,-0.151207807338018,0.00872960000029157,8,-165.280144103301,346.577625071518,207.918313868773,7.0975841212589e-46,1,TRUE
-0.343502381213338,NA,NA,0.00253383457071067,NA,-0.134174531808073,0.00786593006576345,7,-174.365400275808,362.744283156649,224.084971953903,2.19061143286336e-49,1,TRUE
-1.82847772075993,0.391142255736,-0.0316792541320349,0.00318989765341957,NA,NA,NA,7,-182.331881800787,378.677246206605,240.017935003859,7.59917390708139e-53,1,FALSE
-1.6674434320695,0.385652285012109,-0.0316363046173853,NA,NA,-0.0327042336388212,NA,7,-186.551212652957,387.115907910947,248.456596708201,1.11772322980442e-54,1,FALSE
-1.5048002167087,0.116925193492378,NA,-0.000656257251307442,-8.33323576478162e-05,NA,NA,7,-187.543224132685,389.099930870402,250.440619667657,4.14485331291001e-55,1,FALSE
-0.697389028491462,NA,NA,0.00259866657938482,NA,-0.0272406156331506,NA,6,-191.68964987537,395.38941048738,256.730099284635,1.78552534622714e-56,1,FALSE
-0.920116392948986,0.113054823673812,NA,NA,NA,-0.151057718254827,0.0087065770773138,7,-201.720678837777,417.454840280586,278.795529077841,2.88614947430666e-61,1,TRUE
-1.46735128531434,0.116724634972001,NA,0.00319243874177595,NA,NA,NA,6,-219.750648281231,451.511407299102,312.852096096357,1.16152685463352e-68,1,FALSE
-1.31054274453232,0.112652776635914,NA,NA,NA,-0.0328689590763528,NA,6,-222.973145583775,457.95640190419,319.297090701445,4.62931207457582e-70,1,FALSE
-0.898418974232307,NA,NA,-0.000675532606592781,-8.38309853625458e-05,NA,NA,6,-235.05188255855,482.113875853738,343.454564650993,2.62898217938976e-75,1,FALSE
-0.329255765191804,NA,NA,NA,NA,-0.151602561440862,0.0087042914174574,6,-245.456085570255,502.922281877149,364.262970674403,7.96708931150053e-80,1,TRUE
-0.721533545578164,NA,NA,NA,NA,-0.0334422468857456,NA,5,-266.30668497457,542.62059103471,403.961279831964,1.90950755782234e-88,1,FALSE
-0.861463160155079,NA,NA,0.00319620816820489,NA,NA,NA,5,-267.028621337136,544.064463759843,405.405152557097,9.27659086960386e-89,1,FALSE
-1.88920928517314,0.386804077231649,-0.0316480183172608,NA,NA,NA,NA,6,-299.482350357961,610.974811452561,472.315500249816,2.74151742450813e-103,1,FALSE
-1.53937891627147,0.11481547114484,NA,NA,NA,NA,NA,5,-337.727833416822,685.462887919214,546.803576716469,1.83278162460955e-119,1,FALSE
-0.941374402687923,NA,NA,NA,NA,NA,NA,4,-383.027861332568,774.060536142874,635.401224940128,1.05773251626586e-138,1,FALSE
