"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-8.60489178346647,0.171806649632814,-0.00200467217509262,0.00373972015498213,-4.95120255226512e-05,0.0765968091913784,0.00686988815922814,10,-678.034767582718,1376.17404822957,0,0.999180817490019,0.999180817490019,FALSE
-7.92497436659119,0.0850234400435929,NA,0.00372712740411875,-4.91626093680247e-05,0.076530234250267,0.00685604249982445,9,-686.706053889664,1391.4975778648,15.3235296352291,0.000470090966690474,0.999650908456709,FALSE
-8.79654999616689,0.171481260407645,-0.00200144575522979,0.00410740824394967,-5.76844101645685e-05,NA,NA,8,-688.474255838888,1393.01685529429,16.8428070647235,0.000219925204143378,0.999870833660853,FALSE
-8.78421801695897,0.171513633921918,-0.00200201617225441,0.00409768997007938,-5.64999410695586e-05,0.00265423501882534,NA,9,-688.257266458468,1394.60000300241,18.4259547728366,9.96549434266657e-05,0.99997048860428,FALSE
-8.54424592066856,0.171032940178091,-0.001991673532151,0.00158699215525821,NA,0.091584101818991,0.00795404757779393,9,-689.479552864709,1397.04457581489,20.8705275853195,2.93539537349686e-05,0.999999842558014,FALSE
-8.11664348364514,0.0848026438908818,NA,0.00409471664429399,-5.73666567684173e-05,NA,NA,7,-697.202367195485,1408.45786532076,32.2838170911921,9.7566848930865e-08,0.999999940124863,FALSE
-8.10448917307859,0.0848398709196286,NA,0.00408467136847841,-5.61456727569513e-05,0.00273266309512425,NA,8,-696.970717115231,1410.00977784698,33.8357296174102,4.49064532793203e-08,0.999999985031317,FALSE
-7.867513433943,0.0847805734415673,NA,0.00158935953077237,NA,0.0914483474160746,0.00793508897750542,8,-698.08041599651,1412.22917560954,36.0551273799676,1.48037811128623e-08,0.999999999835098,FALSE
-8.74655004848461,0.170583996766211,-0.00198721903586638,0.00165114453462047,NA,0.00652600784548235,NA,8,-703.296594462397,1422.66153254131,46.4874843117425,8.03554117266509e-11,0.999999999915453,FALSE
-8.7758610955571,0.170459364456937,-0.00198518812968394,0.00154572474308026,NA,NA,NA,7,-704.627004312406,1423.3071395546,47.1330913250342,5.81866493137444e-11,0.99999999997364,FALSE
-8.51013720101352,0.170248698790999,-0.00198622987226825,NA,NA,0.090484531127234,0.00830407394091782,8,-704.414112370232,1424.89656835698,48.7225201274116,2.62835044189007e-11,0.999999999999923,FALSE
-8.07003814254572,0.0845068867018184,NA,0.00165318264731296,NA,0.00659085849436397,NA,7,-711.948148937459,1437.94942880471,61.7753805751411,3.84849243435883e-14,0.999999999999962,FALSE
-8.09840425663884,0.08439479976581,NA,0.00154661756101403,NA,NA,NA,6,-713.315331169002,1438.67049164099,62.4964434114227,2.68357558277371e-14,0.999999999999989,FALSE
-7.82963930467436,0.084050255407365,NA,NA,NA,0.0903413309835868,0.00828569612956045,7,-713.177449867796,1440.40803066538,64.2339824358144,1.12567242227224e-14,1,FALSE
-8.72813005747823,0.169754978254162,-0.00198118217181281,NA,NA,NA,NA,6,-719.306592519302,1450.65301434159,74.478966112023,6.71030233042587e-17,1,FALSE
-8.72070469203031,0.169771353856893,-0.00198159804376354,NA,NA,0.00148060716671519,NA,7,-719.235792754838,1452.52471643947,76.3506682098989,2.6321288244526e-17,1,FALSE
-8.04772018641802,0.0837327221654142,NA,NA,NA,NA,NA,5,-728.135087944098,1466.29861190715,90.1245636775843,2.68747073170317e-20,1,FALSE
-8.04024518105325,0.0837454578919792,NA,NA,NA,0.001531809598469,NA,6,-728.058725287748,1468.15727987848,91.9832316489137,1.06105799326546e-20,1,FALSE
-6.17130866838375,NA,NA,0.00377136583025096,-4.96527922680666e-05,0.0778843044658946,0.0069550965370386,8,-746.435998855163,1508.94034132684,132.766293097274,1.4784609232537e-29,1,FALSE
-6.37207228424005,NA,NA,0.00414543224034207,-5.80948753926495e-05,NA,NA,6,-757.265778203193,1526.57138570937,150.397337479804,2.19420503630213e-33,1,FALSE
-6.35771179240307,NA,NA,0.00413424430491619,-5.67434060100896e-05,0.00302041199562305,NA,7,-756.983419589716,1528.01997010922,151.845921879654,1.06345985905134e-33,1,FALSE
-6.11648717468289,NA,NA,0.00161183761816705,NA,0.0929930890820108,0.00804702076819511,7,-758.018192824569,1530.08951657893,153.915468349361,3.77854671545282e-34,1,FALSE
-6.32784864180708,NA,NA,0.00167632825612615,NA,0.00694293408120629,NA,6,-772.260172255475,1556.56017381394,180.386125584369,6.74985760667001e-40,1,FALSE
-6.36024353740319,NA,NA,0.00156400870746324,NA,NA,NA,5,-773.774482705748,1557.57740143045,181.403353200884,4.05888214150146e-40,1,FALSE
-6.09141952613764,NA,NA,NA,NA,0.0918530626645735,0.00840018884247086,6,-773.521149298333,1559.08212789965,182.908079670084,1.91275453201179e-40,1,FALSE
-6.32075384990738,NA,NA,NA,NA,NA,NA,4,-788.911537484557,1585.84202333482,209.667975105248,2.95679883032963e-46,1,FALSE
-6.31150229930803,NA,NA,NA,NA,0.00182123462377732,NA,5,-788.803759596536,1587.63595521203,211.461906982461,1.20579761396441e-46,1,FALSE
