"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-10.2162446828036,0.412660564794833,-0.00744104218914298,0.00241015914069828,-2.53648123235487e-05,0.0735785264489748,0.00820098297175897,10,-1251.43017327316,2522.91860925819,0,0.974641559699392,0.974641559699392,FALSE
-10.1735083626054,0.412526176543677,-0.00743790752934206,0.00131015325270217,NA,0.0856089028594869,0.00897272870959892,9,-1256.08443555911,2530.21652798876,7.29791873056547,0.0253584094066665,0.999999969106058,FALSE
-10.153806429198,0.413117419853583,-0.007439983677538,NA,NA,0.091603421757879,0.0101667758338796,8,-1270.70829181189,2557.45469902875,34.5360897705614,3.08623021824935e-08,0.999999999968361,FALSE
-10.4111420872122,0.412017672576569,-0.00743877189492933,0.00330970458783566,-3.84887627787797e-05,-0.00968216122338817,NA,9,-1276.69090102597,2571.42945892247,48.5108496642797,2.85001906616302e-11,0.999999999996861,FALSE
-10.3616119495832,0.411523872461955,-0.00743174724063392,0.00315860139215791,-3.07771426903858e-05,NA,NA,8,-1279.90277101061,2575.84365742621,52.9250481680137,3.13557172308144e-12,0.999999999999996,FALSE
-10.3571014752124,0.411529510796038,-0.00743088460429155,0.00175239211348489,NA,NA,NA,7,-1288.10838422699,2590.24640592422,67.3277966660239,2.33775847882563e-15,0.999999999999999,FALSE
-10.3720271986915,0.411675597736094,-0.00743283878401654,0.00169011686485896,NA,-0.00299677965856087,NA,8,-1287.75313903203,2591.54439346903,68.6257842108389,1.22164557619821e-15,1,FALSE
-10.380964405835,0.412309624325182,-0.00743480708973251,NA,NA,-0.0107711848444769,NA,7,-1312.48533568232,2639.00030883488,116.081699576687,6.05374520610861e-26,1,FALSE
-10.3227142703159,0.411790017712012,-0.00742653860749057,NA,NA,NA,NA,6,-1317.47908791956,2646.98039806134,124.061788803148,1.11987559428952e-27,1,FALSE
-9.45634065945798,0.219523522879654,NA,0.00230014727601074,-2.31362854073986e-05,0.0770242821000274,0.00842040093648863,9,-1406.5363364974,2831.12032986534,308.201720607144,1.15795488661558e-67,1,FALSE
-9.41735963087829,0.219527274178982,NA,0.0012970378481741,NA,0.0880944244272775,0.00912865078646659,8,-1410.46072603264,2836.95956747026,314.04095821207,6.24765881454573e-69,1,FALSE
-9.39835172068394,0.220307932275061,NA,NA,NA,0.0940206851997921,0.0103142312323436,7,-1424.96625521092,2863.96214789207,341.043538633879,8.55424072282248e-75,1,FALSE
-9.65250508115362,0.218480534020019,NA,0.00322858919207244,-3.66648961805396e-05,-0.00845435626352498,NA,8,-1433.59338989383,2883.22489519264,360.30628593445,5.61473208363203e-79,1,FALSE
-9.60961281998188,0.218178650274048,NA,0.00309596067428775,-2.98987380386666e-05,NA,NA,7,-1436.05492501802,2886.13948750627,363.220878248081,1.30747489477351e-79,1,FALSE
-9.60504078825936,0.218251469225908,NA,0.00172843776625135,NA,NA,NA,6,-1443.93105167358,2899.88432556939,376.965716311199,1.35450214107967e-82,1,FALSE
-9.61485731809033,0.218324230161506,NA,0.00168685012219877,NA,-0.00198826113473255,NA,7,-1443.77334432303,2901.57632611628,378.657716858091,5.81254656930905e-83,1,FALSE
-9.62363821025873,0.219143351289098,NA,NA,NA,-0.00980020478256322,NA,6,-1468.7261111522,2949.47444452662,426.555835268427,2.30899071138606e-93,1,FALSE
-9.57107657707063,0.218843436065262,NA,NA,NA,NA,NA,5,-1472.9038698831,2955.82360858397,432.904999325779,9.65425417049421e-95,1,FALSE
-7.36023298808759,NA,NA,0.0024534502305928,-2.40616388725848e-05,0.078089341521482,0.00846791503492942,8,-1691.8833035294,3399.80472246378,876.88611320559,3.76222543156574e-191,1,FALSE
-7.31855028307389,NA,NA,0.00141036205097054,NA,0.0896326674939908,0.00920548047920835,7,-1695.8666115192,3405.76286050863,882.84425125044,1.91272078459674e-192,1,FALSE
-7.28504668579244,NA,NA,NA,NA,0.0960859696448986,0.010497322099682,6,-1711.9531987632,3435.92861974863,913.010010490434,5.38567555472999e-199,1,FALSE
-7.57278241392021,NA,NA,0.00338851602911185,-3.76779837944148e-05,-0.00786604202978488,NA,7,-1717.5993388056,3449.22831508143,926.309705823234,6.97024494232355e-202,1,FALSE
-7.535990822684,NA,NA,0.00326468208573944,-3.13696086410486e-05,NA,NA,6,-1719.59682410376,3451.21587042975,928.29726117156,2.58021490599744e-202,1,FALSE
-7.52927506065525,NA,NA,0.00182943466133715,NA,NA,NA,5,-1727.76027679889,3465.53642241556,942.617813157369,2.00441446046889e-205,1,FALSE
-7.53461423526846,NA,NA,0.00180461405201824,NA,-0.00118476050314399,NA,6,-1727.70771651315,3467.43765524852,944.519045990324,7.74711607654756e-206,1,FALSE
-7.53048515338516,NA,NA,NA,NA,-0.0095634152471318,NA,5,-1754.55397920892,3519.12382723561,996.205217977422,4.63052699920032e-217,1,FALSE
-7.48226019365831,NA,NA,NA,NA,NA,NA,4,-1758.28911330665,3524.58880302789,1001.6701937697,3.01249271693641e-218,1,FALSE
