"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-7.05487432266927,0.084027688717412,-0.000902432062747411,-0.254649519742644,NA,0.00795302617027713,-8.6437301082399e-05,9,-1111.90145276409,2241.88570221632,0,0.546686741058326,0.546686741058326,FALSE
-7.06235521082146,0.083990631418378,-0.000901960978234312,-0.25699482305282,0.465502071065123,0.00813753282700616,-8.99344602636751e-05,10,-1111.15996205466,2242.42116663118,0.535464414859689,0.418276938521104,0.96496367957943,TRUE
-6.42501556306106,0.0310229117257309,NA,-0.260586479011719,NA,0.00790297263532397,-8.6025555033893e-05,8,-1116.29816549589,2248.66253788833,6.77683567201575,0.0184572660520245,0.983420945631454,FALSE
-6.43320081268011,0.0310251397549435,NA,-0.262946027935954,0.467076368079083,0.00808791443773976,-8.95323620754768e-05,9,-1115.54854120203,2249.17987909219,7.29417687587375,0.014250436174559,0.997671381806013,TRUE
-7.07149265727115,0.084091500419161,-0.000911399590866043,NA,NA,0.00911267367946624,-9.43984727201295e-05,8,-1118.39235686737,2252.85092063129,10.965218414975,0.00227337780528179,0.999944759611295,FALSE
-6.42773797712796,0.0303089480269404,NA,NA,NA,0.00909095328959138,-9.41877078190526e-05,7,-1123.11706973933,2260.28561006689,18.3999078505731,5.52394463918351e-05,0.999999999057687,FALSE
-5.46494137731652,NA,NA,-0.266934500160902,NA,0.00795183070824313,-8.6626124666644e-05,7,-1134.79432849771,2283.64012758366,41.7544253673368,4.68684158804561e-10,0.999999999526371,FALSE
-5.47325314607172,NA,NA,-0.269283378797624,0.476702935028241,0.00814106058062788,-9.02092066244466e-05,8,-1134.02681440957,2284.11983571569,42.234133499373,3.68733824225219e-10,0.999999999895105,TRUE
-6.98982969434163,0.08357208859097,-0.000893583082995486,-0.338530163065029,NA,0.00223164262458562,NA,8,-1135.66146015222,2287.38912720099,45.503424984669,7.19110039009242e-11,0.999999999967016,FALSE
-6.98836391850158,0.0835881173921063,-0.000893835877803343,-0.336817625488052,-0.138609264822115,0.00224564444996664,NA,9,-1135.59384922134,2289.27049513082,47.3847929145013,2.80712334859473e-11,0.999999999995087,FALSE
-6.36665360666341,0.0311017249445134,NA,-0.344377278219891,NA,0.00220719343746276,NA,7,-1139.92872084904,2293.90891228632,52.0232100700014,2.76084489668279e-12,0.999999999997848,FALSE
-5.49017978615671,NA,NA,NA,NA,0.00916362132180537,-9.49406926527406e-05,6,-1141.87771446856,2295.79401414613,53.9083119298139,1.07571528850321e-12,0.999999999998924,FALSE
-6.36495801546353,0.0310992432923885,NA,-0.342716090778883,-0.134067932773748,0.00222076842300975,NA,8,-1139.86520416328,2295.79661522311,53.9109130067959,1.0743171887035e-12,0.999999999999998,FALSE
-7.00342430891392,0.0835991560805637,-0.000905545251406532,NA,NA,0.00309996839829361,NA,7,-1147.16384483895,2308.37916026614,66.4934580498175,1.99006647747322e-15,1,FALSE
-6.36133788039199,0.03009149047245,NA,NA,NA,0.00309074861465383,NA,6,-1151.87403537748,2315.78665596396,73.9009537476395,4.90174067103537e-17,1,FALSE
-6.92890731461307,0.0833936312986361,-0.000881550702984273,-0.521954589215507,NA,NA,NA,7,-1151.92361648432,2317.89870355688,76.0130013405651,1.70500251286953e-17,1,FALSE
-6.92986854880931,0.0833859206550249,-0.000881444811048483,-0.52224395991994,0.0710876434574341,NA,NA,8,-1151.90588048284,2319.87796786223,77.9922656459116,6.33772280482336e-18,1,TRUE
-6.31971642240291,0.0317831534741195,NA,-0.525924105454862,NA,NA,NA,6,-1155.89727343393,2323.83313207687,81.9474298605473,8.77162877681068e-19,1,FALSE
-6.32082682468218,0.0317829373366808,NA,-0.526224217110924,0.073599824238538,NA,NA,7,-1155.87818067327,2325.80783193478,83.9221297184613,3.26798171428528e-19,1,TRUE
-5.40367596712059,NA,NA,-0.350941595412189,NA,0.00221830000286501,NA,6,-1158.3454934369,2328.7295720828,86.8438698664777,7.58283849038089e-20,1,FALSE
-5.40211172597621,NA,NA,-0.349364070520957,-0.128983585806667,0.00223127240699139,NA,7,-1158.28772953601,2330.62692966026,88.7412274439466,2.93647185633448e-20,1,FALSE
-5.42989798340671,NA,NA,NA,NA,0.00311560591528182,NA,5,-1170.623057461,2351.27366313136,109.387960915041,9.64816306500308e-25,1,FALSE
-5.33538724319102,NA,NA,-0.532568192364829,NA,NA,NA,5,-1174.2200026961,2358.46755360156,116.581851385243,2.64430269497964e-26,1,FALSE
-5.33659135511225,NA,NA,-0.532885182092927,0.079125495825278,NA,NA,6,-1174.19834942326,2360.43528405551,118.549581839196,9.88607563114167e-27,1,TRUE
-6.90464464495784,0.0832855515630254,-0.000899420066753265,NA,NA,NA,NA,6,-1185.65904603351,2383.35667727602,141.470975059703,1.04161357675458e-31,1,FALSE
-6.26564174887611,0.0301051218548579,NA,NA,NA,NA,NA,5,-1190.28269084183,2390.59292989303,148.707227676716,2.79495192021003e-33,1,FALSE
-5.33295295540231,NA,NA,NA,NA,NA,NA,4,-1209.0169776092,2426.05231226291,184.166610046595,5.5778559455187e-41,1,FALSE
