"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-9.74859222140553,0.213886549358376,-0.00188332348900346,-0.317673796272565,1.09941104024796,0.00476629264253813,-5.88056473891175e-05,10,-3488.83407260789,6997.7003843717,0,0.999996527745872,0.999996527745872,TRUE
-9.72566834020696,0.213501145743378,-0.0018779845961364,-0.317299978320619,NA,0.00432917846884511,-5.04571525750452e-05,9,-3502.407708473,7022.84179057238,25.141406200677,3.47225412000561e-06,0.999999999999992,FALSE
-9.69460956203896,0.213271015106949,-0.00187447931477135,-0.36671828561723,0.713953821035828,0.000917880819041702,NA,9,-3522.24490690612,7062.51618743862,64.8158030669183,8.42220263113929e-15,1,TRUE
-9.684197694387,0.213069064693705,-0.00187171153003265,-0.361702766458704,NA,0.000992540469124455,NA,8,-3528.21227210775,7072.44564002564,74.7452556539392,5.87858026760533e-17,1,FALSE
-9.66628626825909,0.213142764737202,-0.00187177567809388,-0.441910858297088,0.799590713835727,NA,NA,8,-3531.0575512539,7078.13619831794,80.4358139462383,3.41651569295939e-18,1,TRUE
-9.76140087847201,0.213878003145818,-0.00188350580041152,NA,NA,0.00576679795584882,-5.97226978938957e-05,8,-3536.10752353198,7088.23614287411,90.5357585024067,2.18981953520585e-20,1,FALSE
-9.65189378091198,0.21290152469279,-0.00186838778931137,-0.443154511526037,NA,NA,NA,7,-3538.59584794974,7091.20810134843,93.5077169767301,4.9551378721561e-21,1,FALSE
-9.71695863035177,0.213410291084478,-0.00187678087122678,NA,NA,0.00195772248007326,NA,7,-3572.70724705596,7159.43089956088,161.730515189176,7.59737111048341e-36,1,FALSE
-8.70635924638423,0.0977859731755921,NA,-0.3259012920659,1.08664463010695,0.00470971335964911,-5.83281012637985e-05,9,-3572.84069802771,7163.7077696818,166.007385310102,8.95267449110026e-37,1,TRUE
-8.68612185405826,0.0977158301267448,NA,-0.325547191161095,NA,0.00427778115735734,-5.00782200177525e-05,8,-3586.02480983561,7188.07071548135,190.370331109651,4.58781960062176e-42,1,FALSE
-8.65676866429332,0.0977181836120148,NA,-0.374701763509969,0.704356285142447,0.000891740658675171,NA,8,-3605.52565766378,7227.0724111377,229.372026765999,1.55774271286308e-50,1,TRUE
-8.64776163530499,0.0976773995138896,NA,-0.369750839347701,NA,0.00096546932603783,NA,7,-3611.30180982733,7236.62002510361,238.919640731909,1.31600548058917e-52,1,FALSE
-8.63037779108194,0.0977573284542352,NA,-0.44779654887507,0.787652612144176,NA,NA,7,-3613.7944091909,7241.60522383075,243.904839459048,1.08826722218214e-53,1,TRUE
-8.61773709001943,0.0977145371577442,NA,-0.449029514863922,NA,NA,NA,6,-3621.06950422858,7254.15131074188,256.450926370179,2.05299263442393e-56,1,FALSE
-8.72009374526001,0.0977959914992366,NA,NA,NA,0.00575372975112585,-5.95962232550286e-05,7,-3621.28965104181,7256.59570753258,258.895323160881,6.04774362516579e-57,1,FALSE
-9.65370042979182,0.213156642476603,-0.00187109487917562,NA,NA,NA,NA,6,-3623.30323531571,7258.61877291613,260.918388544432,2.19932953299041e-57,1,FALSE
-8.67874643278381,0.097758001414441,NA,NA,NA,0.00195227752964708,NA,6,-3657.54319049476,7327.09868327423,329.398298902534,2.96528684677142e-72,1,FALSE
-8.61794439557258,0.0978848995247368,NA,NA,NA,NA,NA,5,-3707.59233112124,7425.19344830192,427.493063930224,1.482719958807e-93,1,FALSE
-6.68449584869013,NA,NA,-0.339097984500027,1.08331443280678,0.00471949278746252,-5.85142398928013e-05,8,-3785.08449774637,7586.19009130288,588.489706931181,1.62585684393156e-128,1,TRUE
-6.6650039939416,NA,NA,-0.33879660618523,NA,0.00428880395307572,-5.02888634743856e-05,7,-3797.80964234488,7609.63569013871,611.935305767007,1.31806007101688e-133,1,FALSE
-6.63416635477768,NA,NA,-0.388209105891591,0.699719804713448,0.000888983962162434,NA,7,-3817.02646154673,7648.06932854241,650.368944170716,5.94533957260365e-142,1,TRUE
-6.62574159792267,NA,NA,-0.383310364409135,NA,0.000962244337647678,NA,6,-3822.56110887346,7657.13452003163,659.434135659935,6.3928622139883e-144,1,FALSE
-6.60669950644993,NA,NA,-0.461116939981181,0.782778291197225,NA,NA,6,-3825.00395339793,7662.02020908056,664.319824708861,5.55624576150394e-145,1,TRUE
-6.59462938348281,NA,NA,-0.462369271161895,NA,NA,NA,5,-3831.97975871138,7673.9683034822,676.267919110503,1.41346712867827e-147,1,FALSE
-6.6979278978785,NA,NA,NA,NA,0.00582548511368517,-6.01998369672535e-05,6,-3834.90282536224,7681.81795300919,684.117568637487,2.79097518966885e-149,1,FALSE
-6.65489006148396,NA,NA,NA,NA,0.00198557908614391,NA,5,-3870.81936330447,7751.64751266839,753.94712829669,1.91628349483771e-164,1,FALSE
-6.58846480721111,NA,NA,NA,NA,NA,NA,4,-3921.06945821804,7850.14477295145,852.444388579755,7.83522454606796e-186,1,FALSE
