"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-8.33744117728382,0.159789114131732,-0.00129594721260988,0.00344459542992984,-4.64108463389346e-05,0.0565647148618695,0.00702211573384052,10,36.879596289662,-53.7131771013905,0,0.999999999999999,0.999999999999999,FALSE
-8.26288988178122,0.160002555801974,-0.00129775308316248,0.000957340817625913,NA,0.0762936220564422,0.00837155521679961,9,1.22483198418013,15.5879771859685,69.301154287359,8.94222414667827e-16,1,FALSE
-8.520541663013,0.159390522717508,-0.00129700177631389,0.00427029753378424,-5.78738589322094e-05,-0.0193961632340341,NA,9,-8.70964757236834,35.4569362990654,89.1701134004559,4.33466859940566e-20,1,FALSE
-8.23454452080051,0.159960821402073,-0.00129635368894039,NA,NA,0.0815330701798482,0.00913635321788569,8,-20.9879280783061,58.0059627842518,111.719139885642,5.50170135694604e-25,1,FALSE
-7.26646098356823,0.0687992255441096,NA,0.00343740415045262,-4.62118585902902e-05,0.0570653646051115,0.00705202728435689,9,-43.8768253966318,105.791291947592,159.504469048983,2.31230238195315e-35,1,FALSE
-8.43687213501543,0.160033719406225,-0.00130225076786239,0.00377374539027981,-4.34406815013744e-05,NA,NA,8,-49.6045782049714,115.239263037582,168.952440138973,2.05325917323328e-37,1,FALSE
-8.46828562786378,0.159541957316372,-0.00129951483015873,0.00122191096913139,NA,-0.0126822400695822,NA,8,-65.3695255792209,146.769157786081,200.482334887472,2.92290109282819e-44,1,FALSE
-7.19212883531889,0.0689665376686388,NA,0.000960273117486941,NA,0.076795539497216,0.00840094828533626,8,-79.7724088355408,175.574924298721,229.288101400112,1.62450629254454e-50,1,FALSE
-8.41806528700221,0.159988024748491,-0.00130287385900933,0.00141061381983158,NA,NA,NA,7,-84.106165349509,182.235742070255,235.948919171646,5.81223541494194e-52,1,FALSE
-7.45879321134313,0.0686246857059194,NA,0.0042687305487607,-5.77542268492438e-05,-0.0192282664597292,NA,8,-90.6280601024682,197.286226832576,250.999403933967,3.13452656800094e-55,1,FALSE
-8.45571855617633,0.159428353895856,-0.00129786098559206,NA,NA,-0.0164635705480474,NA,7,-101.208738537838,216.440888446914,270.154065548304,2.17165101028305e-59,1,FALSE
-7.16747357395502,0.0691508854694343,NA,NA,NA,0.0820572563769761,0.00916854466836024,7,-102.48465756272,218.992726496677,272.705903598068,6.06269111935603e-60,1,FALSE
-7.37311118397474,0.0689047187073081,NA,0.00377521732993571,-4.34239489003561e-05,NA,NA,7,-131.384568070809,276.792547512856,330.505724614246,1.70448734558737e-72,1,FALSE
-8.38431899530886,0.159999469212844,-0.00130206255061987,NA,NA,NA,NA,6,-133.637087231713,279.29172932236,333.004906423751,4.88543620696359e-73,1,FALSE
-7.40920416923085,0.0687905664111416,NA,0.0012262627551935,NA,-0.012486910510185,NA,7,-148.032235911196,310.08788319363,363.80106029502,1.00369902358303e-79,1,FALSE
-7.35692363907651,0.0689579610248348,NA,0.0014121971146189,NA,NA,NA,6,-166.478669496839,344.974893852612,398.688070954002,2.66676896321293e-87,1,FALSE
-7.40251571056632,0.0689977941134009,NA,NA,NA,-0.0162810273926405,NA,6,-184.789548176605,381.596651212143,435.309828313534,2.97626654456903e-95,1,FALSE
-5.13388627006435,NA,NA,0.00353773067810908,-4.72826255122543e-05,0.0569307016446102,0.00708748302096663,8,-211.278677243614,438.587461114867,492.300638216258,1.25393404136391e-107,1,FALSE
-7.32940876617831,0.0692623173954616,NA,NA,NA,NA,NA,5,-217.026832520422,444.066201605824,497.779378707215,8.10179613974193e-109,1,FALSE
-5.05179856573695,NA,NA,0.00100331102351314,NA,0.0771343459278604,0.00846857321097548,7,-248.043384616829,510.110180604895,563.823357706286,3.69244036550362e-123,1,FALSE
-5.33296867337556,NA,NA,0.00437412355975909,-5.88926656877395e-05,-0.0197516983234258,NA,7,-257.479413902915,528.982239177067,582.695416278457,2.94644297316419e-127,1,FALSE
-5.01839416731858,NA,NA,NA,NA,0.0826331817409412,0.0092707649399746,6,-272.302919678365,556.623394215663,610.336571317054,2.93155122037473e-133,1,FALSE
-5.23859415467349,NA,NA,0.00386752538254837,-4.4173747293106e-05,NA,NA,6,-299.541418767159,611.100392393253,664.813569494644,4.34077861680405e-145,1,FALSE
-5.27634767853853,NA,NA,0.00127195767515845,NA,-0.0128695297198279,NA,6,-315.91906317201,643.855681202955,697.568858304345,3.34847488150333e-152,1,FALSE
-5.21907484820765,NA,NA,0.00146374858435176,NA,NA,NA,5,-335.089209566508,680.190955697997,733.904132799387,4.31263238282839e-160,1,FALSE
-5.26062690631817,NA,NA,NA,NA,-0.0168066996955309,NA,5,-354.644835264671,719.302207094324,773.015384195714,1.38625175424522e-168,1,FALSE
-5.17895168619658,NA,NA,NA,NA,NA,NA,4,-388.251576436127,784.511508836323,838.224685937714,9.59007825623593e-183,1,FALSE
