"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-7.66061864485822,NA,NA,0.0046965300200174,-0.000114774068723585,0.909382446099582,-0.0273427681253751,8,-246.180794374415,508.561311356319,0,0.334265635090383,0.334265635090383,FALSE
-7.62178437500825,NA,NA,0.00178699001267393,NA,0.909157648767401,-0.0274546549303218,7,-247.758189387971,509.671503429682,1.11019207336346,0.191874201130152,0.526139836220536,FALSE
-7.81101480770807,NA,NA,NA,NA,0.93852059583871,-0.0284515329163113,6,-249.185465046254,510.487112665122,1.92580130880293,0.127617222850788,0.653757059071324,FALSE
-7.60528054486459,-0.00417970267133233,NA,0.00469714820795128,-0.000114607253229477,0.908576538795717,-0.0273177714658839,9,-246.12494694054,510.499893881079,1.93858252476042,0.126804271601317,0.780561330672641,FALSE
-7.56274920213871,-0.00447529857081772,NA,0.00179214073065482,NA,0.908313324303128,-0.0274282303307465,8,-247.694559185545,511.58884097858,3.02752962226123,0.0735651332442075,0.854126463916848,FALSE
-7.66691363241245,0.010634856287228,-0.000548879083585005,0.00470300150135756,-0.000114691840048778,0.907522693634411,-0.0272854388032389,10,-246.040402611489,512.38678575149,3.82547439517174,0.0493628834160608,0.903489347332909,FALSE
-7.75496903996834,-0.0042865440897738,NA,NA,NA,0.93778818859758,-0.0284288613784592,7,-249.127174917351,512.409474488442,3.8481631321236,0.0488060570708766,0.952295404403785,FALSE
-7.62408843153204,0.0102582811231431,-0.000545837830958137,0.00179580949786747,NA,0.907272490008759,-0.027396364076081,9,-247.611241048683,513.472482097366,4.91117074104744,0.0286843196843709,0.980979724088156,FALSE
-7.8148689352201,0.0100308783091334,-0.000530741193837246,NA,NA,0.936830177826686,-0.0283997388201178,8,-249.048691916125,514.297106439739,5.73579508342021,0.0189923914661137,0.99997211555427,FALSE
-0.147671769101636,NA,NA,0.00438710299926384,-9.44068185414805e-05,NA,NA,6,-259.435211517002,530.986605606618,22.425294250299,4.51337019180133e-06,0.999976628924462,FALSE
-0.351445438126141,NA,NA,0.00537294050936456,-0.000118986456314128,0.0121937386620615,NA,7,-258.418143703456,530.991412060652,22.430100704333,4.50253656166913e-06,0.999981131461024,FALSE
-0.144430431889337,NA,NA,0.00209811083299754,NA,NA,NA,5,-260.533024090846,531.148921109869,22.5876097535508,4.16154497576328e-06,0.999985293005999,FALSE
-0.280179773923293,NA,NA,0.00235891500838273,NA,0.00815677586944116,NA,6,-260.046234162771,532.208650898155,23.6473395418366,2.4498370192463e-06,0.999987742843019,FALSE
-0.0791465008776605,-0.00586164229823751,NA,0.00438598864588441,-9.41514280497627e-05,NA,NA,7,-259.321480268694,532.798085191128,24.2367738348096,1.82449703739101e-06,0.999989567340056,FALSE
-0.283169570145126,-0.00586846030210328,NA,0.00537316340910044,-0.000118756133127681,0.012212911341446,NA,8,-258.303989001446,532.807700610382,24.2463892540636,1.81574643744694e-06,0.999991383086493,FALSE
-0.0730318083882409,-0.00610793302765994,NA,0.00210334470748895,NA,NA,NA,6,-260.410262935677,532.936708443969,24.3753970876501,1.70232119179589e-06,0.999993085407685,FALSE
-0.11725195008506,NA,NA,NA,NA,NA,NA,4,-262.563466949519,533.182106312831,24.6207949565127,1.50575403437274e-06,0.99999459116172,FALSE
-0.208671545814153,-0.00616110570117398,NA,0.00236523406595421,NA,0.00818712016106742,NA,7,-259.921290618873,533.997705891486,25.4363945351677,1.00149511950009e-06,0.999995592656839,FALSE
-0.164185785423422,0.0119627052150938,-0.000657643715139051,0.00439160643058222,-9.42507090139664e-05,NA,NA,8,-259.19516949094,534.590061589369,26.0287502330502,7.44767011304035e-07,0.99999633742385,FALSE
-0.368163287541939,0.0119252433077969,-0.000656312675051715,0.00537895971982686,-0.000118856422749137,0.0122170064706262,NA,9,-258.177776363223,534.605552726446,26.0442413701271,7.39020650517293e-07,0.999997076444501,FALSE
-0.157734982147987,0.0116446736022642,-0.000654923587441176,0.00210651740784174,NA,NA,NA,7,-260.285381424217,534.725887502173,26.1645761458547,6.95866948812289e-07,0.99999777231145,FALSE
-0.0472593018286279,-0.00598594122425812,NA,NA,NA,NA,NA,5,-262.445541656071,534.973956240319,26.4126448840008,6.14693707701365e-07,0.999998387005157,FALSE
-0.176899327401384,NA,NA,NA,NA,0.0036755779347593,NA,5,-262.458951480251,535.000775888679,26.4394645323607,6.06505795088669e-07,0.999998993510952,FALSE
-0.293286275926032,0.0115626007793526,-0.000653703836977764,0.00236846290701973,NA,0.00818857832051336,NA,8,-259.796627014544,535.792976636578,27.2316652802596,4.08141492389897e-07,0.999999401652445,FALSE
-0.130331218396958,0.0114365588404633,-0.000643006439730845,NA,NA,NA,NA,6,-262.325283774053,536.76675012072,28.2054387644017,2.50817897357414e-07,0.999999652470342,FALSE
-0.106988357577405,-0.00600122891990719,NA,NA,NA,0.003691311515094,NA,6,-262.340427207465,536.797036987543,28.2357256312249,2.47048267835639e-07,0.99999989951861,FALSE
-0.189820869790834,0.0113876260136521,-0.000641712245556307,NA,NA,0.00368584335511736,NA,7,-262.220567364612,538.596259382963,30.0349480266448,1.00481389994212e-07,1,FALSE
