"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.883832137499678,-0.191850793605852,NA,7.5443926201803e-05,-4.58145393046798e-05,-0.0356108293716543,-0.000510102899264429,9,-1098.62082217785,2215.24700245536,0,0.503184613611271,0.503184613611271,FALSE
-0.86309529412466,-0.207678220964574,0.00186000914137689,7.59200880790645e-05,-4.58067248607613e-05,-0.0356454920376985,-0.000510610633562075,10,-1097.63296536267,2215.27247970877,0.0254772534062795,0.496815386388729,1,FALSE
-0.372697172014971,-0.191735527708823,NA,9.90252863282221e-05,-4.67988912021847e-05,-0.00307740618790174,NA,8,-1160.23394180766,2336.47216996745,121.225167512092,2.38790306854687e-27,1,FALSE
-0.352928530051429,-0.206417529011538,0.00172397810848564,9.94895145107767e-05,-4.67925325236564e-05,-0.00307949894641157,NA,9,-1159.37965515348,2336.76466840661,121.517665951251,2.06301062443031e-27,1,FALSE
-0.884571415339604,-0.191710086885798,NA,0.00148373045868364,NA,-0.0363126446011467,-0.000532348013933771,8,-1224.28307451302,2464.57043537817,249.323432922813,3.64612697730394e-55,1,FALSE
-0.863677267867497,-0.207604116961741,0.00186621553423895,0.00148396222555202,NA,-0.0363474397636745,-0.000532856058217345,9,-1223.2841709787,2464.57370005707,249.326697601704,3.64018011538487e-55,1,FALSE
-0.28286958956619,-0.190952952727938,NA,0.00010269357140289,-4.08926096759586e-05,NA,NA,7,-1229.62021629079,2473.24376631178,257.996763856418,4.76916015519088e-57,1,FALSE
-0.264272137899882,-0.204676958112649,0.00160983174458297,0.000103131465504251,-4.08827590437814e-05,NA,NA,8,-1228.87191704338,2473.74812043889,258.501117983526,3.7061483537302e-57,1,FALSE
-0.350686887414155,-0.191583603834894,NA,0.00153998063879721,NA,-0.00234445901960584,NA,7,-1290.87640442052,2595.75614257124,380.509140115877,1.1890973732315e-83,1,FALSE
-0.330832506971786,-0.206287354891196,0.00172525283973833,0.00154024518748938,NA,-0.00234663585315247,NA,8,-1290.01688347456,2596.03805330125,380.791050845887,1.03276445562703e-83,1,FALSE
-0.282370380561884,-0.190974066239967,NA,0.00140003077854321,NA,NA,NA,6,-1332.07380136735,2676.15010295794,460.903100502581,4.14849654362989e-101,1,FALSE
-0.263409826100271,-0.204932499589481,0.00163635012005997,0.00140015630887326,NA,NA,NA,7,-1331.2978782454,2676.59909022101,461.352087765647,3.31431961566093e-101,1,FALSE
-1.79696480354572,NA,NA,8.24174012412347e-05,-4.51705773091437e-05,-0.0352060740050174,-0.00050458929459776,8,-1408.06976183322,2832.14381001858,616.896807563213,5.54993170036453e-135,1,FALSE
-0.946915094038993,-0.191459193040866,NA,NA,NA,-0.0395037692933552,-0.000601539864634469,7,-1451.92987894161,2917.86309161342,702.616089158057,1.3507722931931e-153,1,FALSE
-0.927280604407727,-0.206284721986779,0.00173668125291723,NA,NA,-0.0395369594718995,-0.000602028042315402,8,-1451.05325415976,2918.11079467166,702.863792216302,1.19342218871609e-153,1,FALSE
-1.29115902447725,NA,NA,0.000105769378992828,-4.61392723763578e-05,-0.0030222350276977,NA,7,-1470.44102338344,2954.88538049708,739.638378041715,1.23394061462786e-161,1,FALSE
-1.79684746714519,NA,NA,0.0014704672808453,NA,-0.0358955064297358,-0.000526516041934286,7,-1534.41456936453,3082.83247245926,867.585470003896,2.03205871155169e-189,1,FALSE
-0.343440996657111,-0.1912850604522,NA,NA,NA,-0.00106803726405163,NA,6,-1536.010442452,3084.02338512723,868.776382671864,1.12029617105918e-189,1,FALSE
-0.325096362602829,-0.204744962291173,0.00157491980538693,NA,NA,-0.00106982538116121,NA,7,-1535.28345743856,3084.57024860733,869.323246151971,8.5228129238693e-190,1,FALSE
-1.19966542903936,NA,NA,0.000109454785537322,-4.03277423548312e-05,NA,NA,6,-1539.61349116113,3091.22948254549,875.982480090132,3.05174807459496e-191,1,FALSE
-0.31105109715378,-0.190998986313547,NA,NA,NA,NA,NA,5,-1544.86571626003,3099.73321834064,884.48621588528,4.34496130945092e-193,1,FALSE
-0.293036630276704,-0.204167253717784,0.0015404262093037,NA,NA,NA,NA,6,-1544.16988303028,3100.34226628379,885.095263828428,3.20429751573258e-193,1,FALSE
-1.26857059782451,NA,NA,0.00152594888006405,NA,-0.00229727060780304,NA,6,-1601.8243529079,3215.65120603904,1000.40420358368,2.92896854818058e-218,1,FALSE
-1.1990911515841,NA,NA,0.00138863181442592,NA,NA,NA,5,-1642.72676012352,3295.45530606763,1080.20830361227,1.37238060032704e-235,1,FALSE
-1.85857587120963,NA,NA,NA,NA,-0.0390471522507835,-0.000594951830138723,6,-1765.58215698529,3543.1668141938,1327.91981173844,2.22640428288715e-289,1,FALSE
-1.26132613505918,NA,NA,NA,NA,-0.00102982721317825,NA,5,-1850.74145885133,3711.48470352325,1496.23770106789,0,1,FALSE
-1.22885789050838,NA,NA,NA,NA,NA,NA,4,-1859.26118913294,3726.52356877751,1511.27656632215,0,1,FALSE
