"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-1.18316123977511,0.313577657842712,-0.0146647648653328,0.217533046579508,NA,NA,NA,7,-2839.33963852575,5692.71729470255,0,0.326892590402939,0.326892590402939
-3.49812695434423,0.313862636725749,-0.0146652433667698,1.63144744125935,-0.215387941855825,NA,NA,8,-2838.49440615492,5693.03770874448,0.320414041922959,0.278501828886168,0.605394419289107
-1.19855081559311,0.313523348242122,-0.0146694878306483,0.22051861003002,NA,7.34809605085982e-05,NA,8,-2839.3052121204,5694.65932067544,1.94202597288768,0.12379397115231,0.729188390441416
-3.50451262874483,0.313867601559834,-0.0146648930156653,1.63582532525918,-0.216088720454619,-5.47201152191956e-06,NA,9,-2838.49422417193,5695.0495896482,2.33229494565148,0.101848271795846,0.831036662237262
-4.17561587059894,0.314409378713614,-0.0146614284218622,2.00554227711944,-0.272503955140029,0.0013250249294699,-6.17657145727811e-06,10,-2837.57534913559,5695.22545192392,2.50815722136394,0.093275085573722,0.924311747810984
-1.24861117080235,0.313853235494871,-0.0146680002325363,0.22066704703658,NA,0.00105323010913555,-4.47900314289191e-06,9,-2838.79283087737,5695.64680305908,2.92950835652573,0.0755562543061357,0.99986800211712
-0.497342372962356,0.314730291351748,-0.0146521928039719,NA,NA,NA,NA,6,-2848.71890930383,5709.46632217061,16.7490274680586,7.54049703178597e-05,0.999943407087438
-0.48158917748674,0.314830675880662,-0.0146402079764691,NA,NA,-0.000193584448893057,NA,7,-2848.47020693014,5710.97843151133,18.2611368087746,3.54037774409478e-05,0.999978810864878
-0.530444020330573,0.315148143175278,-0.0146382801275671,NA,NA,0.000771991667781482,-4.41426003363765e-06,8,-2847.97809750413,5712.00509144289,19.287796740341,2.11891351214168e-05,1
0.110813119383797,NA,NA,0.222908928623788,NA,NA,NA,5,-2890.54835255768,5791.11705789692,98.399763194363,1.40335642944679e-22,1
0.242852899705787,-0.0117336202541182,NA,0.224725023267051,NA,NA,NA,6,-2889.77040152064,5791.56930660422,98.8520119016703,1.11934362373431e-22,1
-1.96550712879782,NA,NA,1.49279676002922,-0.193435636738477,NA,NA,6,-2889.84607728307,5791.72065812909,99.0033634265328,1.0377622381468e-22,1
-1.8039977654264,-0.0115328180258967,NA,1.47516275518459,-0.190475920994622,NA,NA,7,-2889.09172767112,5792.22147299328,99.5041782907319,8.07880820068355e-23,1
0.102711524492906,NA,NA,0.224336781832182,NA,3.57231951405278e-05,NA,6,-2890.54010488544,5793.10871333383,100.391418631274,5.18424485863431e-23,1
-2.73616945894588,NA,NA,1.92881299784767,-0.260230646857221,0.00140236949787274,-6.70264542925228e-06,8,-2888.73721995805,5793.52333635074,100.806041648187,4.21358017010348e-23,1
0.231291821634709,-0.0118554219582058,NA,0.227022663260627,NA,5.70642277270977e-05,NA,7,-2889.74947275691,5793.53696316487,100.819668462322,4.18496891394422e-23,1
-2.01021444631597,NA,NA,1.52394654799577,-0.198415227704755,-3.85628353588701e-05,NA,7,-2889.83692981551,5793.71187728207,100.994582579515,3.834512152026e-23,1
0.0517565638959784,NA,NA,0.224311143382087,NA,0.00113881001167077,-5.05024319933972e-06,7,-2889.87690633632,5793.79183032369,101.074535621137,3.6842452820427e-23,1
-2.53099884341021,-0.010810228362582,NA,1.8786948562512,-0.252197612163191,0.00136895508590322,-6.44470370547546e-06,9,-2888.07834074182,5794.21782278799,101.500528085441,2.97745665427694e-23,1
-1.82229932487275,-0.0114977399610412,NA,1.48762746735713,-0.192469040094003,-1.53898292812016e-05,NA,8,-2889.09027947542,5794.22945538548,101.512160682932,2.96018914205852e-23,1
0.177767860200328,-0.0114250896509604,NA,0.226916862039933,NA,0.00111242841596305,-4.83470889654245e-06,8,-2889.14418550901,5794.33726745265,101.619972750098,2.80484178305378e-23,1
0.830289687581237,NA,NA,NA,NA,NA,NA,4,-2900.63246535481,5809.2784946296,116.561199927043,1.5975781440956e-26,1
0.954106613845899,-0.0105394515494701,NA,NA,NA,NA,NA,5,-2899.98807511882,5809.99650301919,117.279208316638,1.11570291995879e-26,1
0.853277171338387,NA,NA,NA,NA,-0.000235207001957518,NA,5,-2900.26089646649,5810.54214571452,117.824851011969,8.49305162314242e-27,1
0.802126039693005,NA,NA,NA,NA,0.00086960539231552,-5.05699707918599e-06,6,-2899.60358185569,5811.23566727432,118.518372571771,6.00437033468273e-27,1
0.970601595128116,-0.0101215550344206,NA,NA,NA,-0.000219093449689129,NA,6,-2899.66716376984,5811.36283110262,118.64553640007,5.63448459887672e-27,1
0.916326155691394,-0.0096855672634687,NA,NA,NA,0.000843069902011199,-4.86458381213915e-06,7,-2899.06128001613,5812.16057768332,119.443282980763,3.78116585262869e-27,1
