"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-9.49604382867261,0.137343062970775,-0.00176078866668846,6.64791582689786,-1.19087440272347,0.000801438054438088,NA,9,-854.424436117536,1726.96018948925,0,0.658432105007931,0.658432105007931
-9.22221646838518,0.137422773197897,-0.00176165641025387,6.41282340234634,-1.14607563130941,0.00153020372476658,-3.55378674951028e-06,10,-854.097274127321,1728.3306868685,1.37049737925668,0.331826658862404,0.990258763870335
-8.95084304932417,0.137123725440828,-0.00175521849404913,6.35851723569644,-1.14803983715418,NA,NA,8,-859.651892534155,1735.39278383222,8.43259434297011,0.00971396206620595,0.999972725936541
-9.12840639785618,0.0666236253488579,NA,6.80211838805443,-1.21920329788379,0.000774358680740597,NA,8,-866.473032676785,1749.03506411748,22.0748746282295,1.0592851376907e-05,0.999983318787918
-0.855357068724032,0.137841303471074,-0.00180644523364707,0.195424064484643,NA,0.00248444354777001,-8.51430964062796e-06,9,-865.79317243732,1749.69766212881,22.7374726395683,7.60556616635104e-06,0.999990924354084
-8.83805439987695,0.0666746416477285,NA,6.55335251593632,-1.17181914823112,0.00154005378055572,-3.7345658028526e-06,9,-866.106450025629,1750.32421730543,23.3640278161856,5.56002598173817e-06,0.999996484380066
-0.7207693233954,0.137678525485774,-0.00180859508787632,0.175404648374634,NA,0.000732503139182167,NA,8,-867.740504016714,1751.57000679733,24.6098173080879,2.98233942737256e-06,0.999999466719494
-8.58946123910959,0.066652169264794,NA,6.51178180381883,-1.1758326117643,NA,NA,7,-871.400529150342,1756.87023680593,29.9100473166873,2.10681667610892e-07,0.999999677401161
-0.509904539727273,0.137457368194987,-0.00180161304330232,0.123393895307543,NA,NA,NA,7,-872.029213306828,1758.12760511891,31.1674156296594,1.12355073260809e-07,0.999999789756234
-0.212347099488858,0.13684057801966,-0.0018183761963646,NA,NA,0.000505360033125502,NA,7,-872.231427300096,1758.53203310544,31.5718436161951,9.17851169911487e-08,0.999999881541351
-0.266768323718607,0.136890525897426,-0.00181765964447409,NA,NA,0.00173154179936312,-6.04870247721142e-06,8,-871.223507585118,1758.53601393414,31.575824444895,9.16026082714185e-08,0.99999997314396
-0.166729999809565,0.136866804670759,-0.00181098881446126,NA,NA,NA,NA,6,-874.472456436398,1760.99676472465,34.036575235401,2.67647132615386e-08,0.999999999908673
-0.264381616387024,0.0652282346650355,NA,0.19519124161879,NA,0.00251309889536522,-8.81563043626324e-06,8,-878.451086031193,1772.99117082629,46.0309813370457,6.65289092500255e-11,0.999999999975202
-0.123898220421155,0.0649551508272014,NA,0.174449442040319,NA,0.000698943834132614,NA,7,-880.570797759352,1775.21077402395,48.2505845347077,2.19295486304088e-11,0.999999999997131
0.0742529087315003,0.065041030690696,NA,0.124930875676774,NA,NA,NA,6,-884.515891056911,1781.08363396567,54.1234444764268,1.16346777767384e-12,0.999999999998295
0.326929197897608,0.063828154075563,NA,NA,NA,0.0017649440510192,-6.36868052994238e-06,7,-883.919196594806,1781.90757169486,54.9473822056152,7.70616946655628e-13,0.999999999999066
0.384767447949509,0.0637334839363159,NA,NA,NA,0.000473699238822321,NA,6,-885.053442378654,1782.15873660916,55.1985471199132,6.7967107391308e-13,0.999999999999745
0.42485621645501,0.0640572009854226,NA,NA,NA,NA,NA,5,-887.04154706224,1784.12010831325,57.1599188240064,2.54913204896145e-13,1
-6.772498441604,NA,NA,6.0816368230105,-1.09622311149542,0.000693465622449277,NA,7,-963.65124453314,1941.37166757153,214.411478082284,1.81823538292943e-47,1
-6.3988201876494,NA,NA,5.76288132765854,-1.03552506692333,0.0016684728820267,-4.75840948719932e-06,8,-963.022733447802,1942.13446565951,215.174276170264,1.24168262687846e-47,1
-6.25019658495758,NA,NA,5.79261780399413,-1.05202714681422,NA,NA,6,-967.750364409563,1947.55258067098,220.592391181732,8.26955002633664e-49,1
1.16553038802974,NA,NA,0.139348833059857,NA,0.00250803030461795,-9.19516230735735e-06,7,-972.945585384395,1959.96034927404,233.000159784793,1.6717416407734e-51,1
1.30806301620154,NA,NA,0.117113953496918,NA,0.000615640386855921,NA,6,-975.376666279925,1962.8051844117,235.844994922456,4.03107667712929e-52,1
1.56702176485704,NA,NA,NA,NA,0.00198132932471642,-7.4673786990262e-06,6,-975.816666738345,1963.68518532854,236.724995839295,2.59615900611991e-52,1
1.63271405069422,NA,NA,NA,NA,0.00046739859005078,NA,5,-977.458579463754,1964.95417311628,237.993983627034,1.37649326607836e-52,1
1.67874876077082,NA,NA,NA,NA,NA,NA,4,-979.459575921122,1966.9438127547,239.98362326545,5.09013537926482e-53,1
1.48322450163635,NA,NA,0.0738569561621505,NA,NA,NA,5,-978.553071157915,1967.1431565046,240.182967015356,4.60725646227657e-53,1
