"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-2.68179754982601,0.227279011238782,-0.00442076934002908,-0.493807913709717,NA,0.0704915964396915,-0.000391497148223904,9,-593.002998332572,1204.17758865752,0,0.645731269900128,0.645731269900128
1.51417861888131,0.226884906251441,-0.00441260985843481,-3.42033862585899,0.502989963147571,0.0718922140054308,-0.000400018177032352,10,-592.585258770784,1205.38044120569,1.20285254817168,0.353879745088543,0.999611014988671
-4.58411173312521,0.233222187900865,-0.00452118904334738,NA,NA,0.0777309595500111,-0.000418537716719981,8,-601.503386974844,1219.14391680683,14.966328149314,0.000363207621456315,0.999974222610128
-1.73971557400172,0.0848282230246765,NA,-0.512228798519488,NA,0.0694221611256024,-0.000385834960254866,8,-604.595324758599,1225.32779237434,21.150203716822,1.64946625530023e-05,0.999990717272681
2.52975911311996,0.0846673206662281,NA,-3.49058271318162,0.511896959053091,0.0708363490918786,-0.000394439891285758,9,-604.155239950936,1226.48207189424,22.3044832367268,9.26178770746316e-06,0.999999979060388
0.440886527174751,0.222694942690415,-0.00433493341124042,-0.568535261155631,NA,0.00295603398171159,NA,8,-611.958490172088,1240.05412320132,35.8765345438014,1.04607139590555e-08,0.999999989521102
-3.69631971215083,0.0876795769590132,NA,NA,NA,0.0769943888782811,-0.000414193630675747,7,-613.832140255521,1241.77084568706,37.5932570295463,4.43383753396574e-09,0.99999999395494
0.41590470074736,0.222697775917877,-0.00433499225372719,-0.551379164423905,-0.00294701218026663,0.00295644050571847,NA,9,-611.958476131224,1242.08854425482,37.9109555973037,3.78261733118647e-09,0.999999997737557
1.14259006496405,0.220806335142758,-0.00429606246266585,-0.71767614336222,NA,NA,NA,7,-614.817360507003,1243.74128619003,39.5636975325115,1.65540421565877e-09,0.999999999392961
1.81540744696345,0.22073641110462,-0.00429461302493252,-1.18096497474812,0.0796775670787951,NA,NA,8,-614.807117096256,1245.75137704966,41.5737883921374,6.0592430392075e-10,0.999999999998885
-1.52169697575042,0.229344559542144,-0.00444817217311,NA,NA,0.00594789588541644,NA,7,-622.844679692277,1259.79592456058,55.6183359030583,5.40360543962113e-13,0.999999999999426
1.33364631151375,0.0827734394651509,NA,-0.588397204438611,NA,0.00285006575145765,NA,7,-623.266476416229,1260.63951800848,56.4619293509622,3.54404836914057e-13,0.99999999999978
1.49657508941872,0.0827663470538667,NA,-0.70032939754023,0.0192271834692443,0.00284741970613142,NA,8,-623.265868811249,1262.66888047964,58.4912918221225,1.28478121769304e-13,0.999999999999909
2.00750083230307,0.0819976313750946,NA,-0.732964268614238,NA,NA,NA,6,-625.950513876759,1263.98087566226,59.8032870047455,6.66703975739676e-14,0.999999999999975
2.83733637858508,0.0819639939340549,NA,-1.304565342672,0.0983049866543049,NA,NA,7,-625.934670508452,1265.97590619293,61.7983175354084,2.45876866413942e-14,1
-0.410643443659579,NA,NA,-0.56526431292022,NA,0.0682330799255641,-0.000379746200644155,7,-632.980711114427,1280.06798740488,75.8903987473595,2.14121913185201e-17,1
4.02797897922098,NA,NA,-3.66278804283562,0.532381320016074,0.069691009512158,-0.000388618178571024,8,-632.499451100554,1281.13604505825,76.9584564007337,1.25526477687096e-17,1
-0.676121581876208,0.0859144268614506,NA,NA,NA,0.00595826861356557,NA,6,-635.051169906557,1282.18218772186,78.0045990643412,7.43992143597023e-18,1
-1.00869658029655,0.228869291659486,-0.00442385486354443,NA,NA,NA,NA,6,-637.922566283567,1287.92498047588,83.7473918183605,4.2124692885173e-19,1
-2.53331321280376,NA,NA,NA,NA,0.0767010935129203,-0.000411605997163961,6,-644.288953334704,1300.65775457815,96.480165920636,7.23852338274277e-22,1
-0.160611064490696,0.0857904088997831,NA,NA,NA,NA,NA,5,-650.387744361752,1310.83246878048,106.654880122966,4.46929338968669e-24,1
2.60262225560477,NA,NA,-0.644815016953426,NA,0.00269522923756292,NA,6,-651.182272282836,1314.44439247442,110.266803816899,7.34377902581071e-25,1
3.05656784769028,NA,NA,-0.956848075306363,0.053598484543882,0.00268786502679484,NA,7,-651.177502448053,1316.46157007213,112.283981414612,2.67852096896556e-25,1
3.23348448071795,NA,NA,-0.782559375718102,NA,NA,NA,5,-653.591898118007,1317.24077629299,113.063187635476,1.81423094198878e-25,1
4.31158602955526,NA,NA,-1.52555343804701,0.127779761180863,NA,NA,6,-653.564858636787,1319.20956518232,115.031976524801,6.77915391474775e-26,1
0.444245369873186,NA,NA,NA,NA,0.00612187006688537,NA,5,-665.427962247398,1340.91290455178,136.735315894258,1.31327365082915e-30,1
0.973640274467608,NA,NA,NA,NA,NA,NA,4,-681.800290859272,1371.63853238268,167.460943725163,2.79492347108777e-37,1
