"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","df","logLik","AICc","delta","weight","cw"
191.710021775052,0.16855711921718,-0.00194405210361356,0.0119009666899924,-1.57101365652333e-05,-15.6649198646856,0.304241867243038,10,-562.308096639769,1144.90913602255,0,0.892298997272656,0.892298997272656
-9.7231535313252,0.168920917411521,-0.00195082448869781,0.0106098648680123,-1.33325350090604e-05,NA,NA,8,-566.817685542412,1149.82660614458,4.917470122037,0.0763300128479236,0.96862901012058
-9.59709955737821,0.168926880802111,-0.00194973903411035,0.0106237241203718,-1.33341623943558e-05,-0.00508567947003367,NA,9,-566.814147455668,1151.86765661346,6.9585205909159,0.0275097635458316,0.996138773666411
145.095739106647,0.167999259631327,-0.00194069992919656,0.00329421189564821,NA,-11.9531918935072,0.2321436630813,9,-569.325403891359,1156.89016948485,11.9810334622978,0.00223286283357472,0.998371636499986
-8.74802750039753,0.168375375067186,-0.00194663136909758,0.00330191992040678,NA,NA,NA,7,-571.994870153468,1158.13828142099,13.229145398446,0.00119629415696434,0.99956793065695
-8.63194458648942,0.168381107878214,-0.00194563402526599,0.00331383752208335,NA,-0.00467916278251962,NA,8,-571.991920943844,1160.17507694745,15.2659409249015,0.000432069343049483,1
201.674591471283,0.0562108147210525,NA,0.0121028938682562,-1.59193428135145e-05,-16.3370388101771,0.316939259017313,9,-603.024262377001,1224.28788645613,79.3787504335812,5.1717051648904e-18,1
-8.60892621074082,0.0559266879586799,NA,0.0106741492220549,-1.33647782465833e-05,NA,NA,7,-608.065045552838,1230.27863221973,85.3694961971871,2.58678208355025e-19,1
-8.20113580887904,0.0560537738311043,NA,0.0107186786198879,-1.33683637493512e-05,-0.0164001384883946,NA,8,-608.029135342364,1232.24950574449,87.3403697219408,9.65584078625925e-20,1
152.140264077428,0.0556368250674558,NA,0.00339237863409537,NA,-12.3977271243602,0.240435020328249,8,-610.546615960154,1237.28446698007,92.3753309575202,7.78864941210596e-21,1
-7.63141783249407,0.0554852832484497,NA,0.00335830498369424,NA,NA,NA,6,-613.5138075896,1239.13887345735,94.2297374347979,3.0816471150098e-21,1
156.778587742231,0.167825787783707,-0.00199170688680668,NA,NA,-13.0456078945327,0.258304752366861,8,-612.268486628615,1240.72820831699,95.8190722944425,1.3920768960771e-21,1
-7.21597400383997,0.0556173206479963,NA,0.00340161004554771,NA,-0.0167006849585331,NA,7,-613.477222233614,1241.10298558129,96.1938495587394,1.15420081530178e-21,1
-14.2791255075205,0.168368609145812,-0.00199776094903576,NA,NA,0.249739919072313,NA,7,-615.146010635211,1244.44056238448,99.5314263619332,2.17538326121477e-22,1
-7.91639774047854,0.168446345122643,-0.00194249008034296,NA,NA,NA,NA,6,-624.023085067719,1260.15742841358,115.248292391036,8.40739956344656e-26,1
205.714779621461,NA,NA,0.0120557937228372,-1.60203814983651e-05,-16.5688971877333,0.322751088873884,8,-639.130932198203,1294.45309945617,149.54396343362,3.00228104523443e-33,1
-6.7336981672381,NA,NA,0.0107813528034017,-1.34229965602044e-05,NA,NA,6,-644.567155018308,1301.24556831476,156.336432292213,1.00573941957639e-34,1
-8.07900646549457,NA,NA,0.0106318851836155,-1.34059575099943e-05,0.0535950975291102,NA,7,-644.190315605784,1302.52917232563,157.62003630308,5.29363999702358e-35,1
155.357832192251,NA,NA,0.00328505142658257,NA,-12.5694197141719,0.245133553334763,7,-646.57797135442,1307.3044838229,162.395347800352,4.86192983155544e-36,1
-5.7679257878894,NA,NA,0.00343545281941151,NA,NA,NA,5,-649.94210081353,1309.96356670642,165.054430683877,1.28645966792451e-36,1
-7.15432003933151,NA,NA,0.00329115009563333,NA,0.0551822829291892,NA,6,-649.549480214178,1311.2102187065,166.301082683953,6.89745908319388e-37,1
154.443943828151,0.0518491616027863,NA,NA,NA,-12.7844456571901,0.253454533803313,7,-657.803377209443,1329.75529553295,184.846159510397,6.48152001922396e-41,1
-13.5566655077379,0.0519945980978987,NA,NA,NA,0.267457879572081,NA,6,-660.611812967898,1333.33488421394,188.425748191394,1.08237826059501e-41,1
-6.71211899199504,0.0537161569307231,NA,NA,NA,NA,NA,5,-670.599868395077,1351.27910186952,206.369965846971,1.3735412480068e-45,1
155.864632448697,NA,NA,NA,NA,-12.830822940476,0.255763919729349,6,-689.614571053754,1391.34040038565,246.431264363105,2.7456252760599e-54,1
-13.686515314059,NA,NA,NA,NA,0.340971733409485,NA,5,-692.411235533187,1394.90183614574,249.992700123192,4.626848881497e-55,1
-4.89175920189752,NA,NA,NA,NA,NA,NA,4,-708.969677953787,1425.9921960661,281.083060043547,8.20539397649267e-62,1
