"(Intercept)","dbh","I(dbh^2)","tmp","I(tmp^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-226.480536811157,0.133226202752295,-0.00108161179905328,17.9708947177616,-0.363282471852698,-1.10393577047547,0.0810125359153089,10,-6916.42786473901,13852.8863360445,0,0.999999999999963,0.999999999999963,TRUE
7.86806832477041,0.132088507581949,-0.00107225134395941,-0.461811842436516,NA,-1.26158655946317,0.0919285488812279,9,-6948.3659976628,13914.7570335785,61.8706975339774,3.67238948094129e-14,1,TRUE
-294.038744300841,0.13546713770651,-0.0010936383490997,22.9276126795435,-0.460839265936786,0.121505921858842,NA,9,-6980.21111970011,13978.4472776531,125.560941608597,5.42985157617571e-28,1,FALSE
2.43308128010752,0.134332004606725,-0.00108353734034287,-0.454219879936875,NA,0.131254935055703,NA,8,-7032.06046922174,14080.1409662599,227.254630215379,4.49038992969225e-50,1,FALSE
-341.895685111852,0.136532980791903,-0.00108841766234589,26.9598125037049,-0.544046331266102,NA,NA,8,-7100.14491044915,14216.3098487147,363.423512670204,1.21223530085978e-79,1,FALSE
-220.260524492021,0.0565765789582358,NA,17.5529997700732,-0.354669229386297,-1.13701006848318,0.0831958321500949,9,-7113.28870818209,14244.6024546171,391.716118572545,8.70814427397112e-86,1,TRUE
-4.52338979924793,0.12812272927849,-0.00105306537761188,NA,NA,-1.12887114043278,0.0880771438627608,8,-7130.76353512172,14277.5470980598,424.66076201533,6.11064688526359e-93,1,TRUE
8.56881201006082,0.0560724944167835,NA,-0.442559193600474,NA,-1.30361747862666,0.0946852946219489,8,-7143.17395165814,14302.3679311327,449.481595088168,2.49064464198364e-98,1,TRUE
8.63867473972945,0.135353221942297,-0.00107660319789903,-0.661524771528613,NA,NA,NA,7,-7170.27190865952,14354.5593923434,501.673056298852,1.15632513218999e-109,1,FALSE
-295.538191024155,0.0579883464684456,NA,23.1106701523812,-0.464091594085072,0.121499174625951,NA,8,-7180.23221452822,14376.4844568728,523.598120828327,2.00499223344582e-114,1,FALSE
-9.5389813130851,0.13027455457506,-0.00106386005267146,NA,NA,0.204644300319558,NA,7,-7203.95459763565,14421.9247702956,569.038434251124,2.72191154043934e-124,1,FALSE
3.01023767028737,0.0575177067531137,NA,-0.435868243237894,NA,0.131272684051639,NA,7,-7232.2090193261,14478.4336136765,625.547277632017,1.45926638174933e-136,1,FALSE
-344.773472679939,0.0593690515974921,NA,27.2520276326687,-0.549462754034423,NA,NA,7,-7301.69557740842,14617.4067298412,764.520393796658,9.69406295549683e-167,1,FALSE
-3.27916747501184,0.0535645935557287,NA,NA,NA,-1.18767492957587,0.0916927325652621,7,-7309.75728448901,14633.5301440024,780.643807957844,3.05739067030012e-170,1,TRUE
9.23467927314406,0.058960843801948,NA,-0.644039787713564,NA,NA,NA,6,-7372.31478333931,14756.6412463227,903.754910278156,5.65086245690645e-197,1,FALSE
-8.4904344829103,0.0549635768576828,NA,NA,NA,0.200906309345155,NA,6,-7389.3029466307,14790.6175729055,937.731236860935,2.36727745182352e-204,1,FALSE
-7.98816375668756,0.128587682650726,-0.00103064697387565,NA,NA,NA,NA,6,-7617.50901265895,15247.029704962,1394.14336891744,1.84337608369868e-303,1,FALSE
-205.561113661984,NA,NA,16.5173357851094,-0.333163624444442,-1.30279917847564,0.0950944817439892,8,-7676.25825766582,15368.536543148,1515.65020710353,0,1,TRUE
9.40799101392947,NA,NA,-0.385270682192287,NA,-1.47984473142034,0.107252226374503,7,-7701.55777063343,15417.1311162912,1564.24478024668,0,1,TRUE
-302.611085498198,NA,NA,23.7456812998745,-0.475574235878628,0.135603847757621,NA,7,-7761.94044523412,15537.8964654926,1685.01012944806,0,1,FALSE
-6.99214696907078,0.0554524208992324,NA,NA,NA,NA,NA,5,-7791.12819370384,15592.2647288508,1739.37839280624,0,1,FALSE
3.23655475168999,NA,NA,-0.380782931740924,NA,0.146007989934328,NA,6,-7815.0648943816,15642.1414684072,1789.25513236273,0,1,FALSE
-0.841983246510278,NA,NA,NA,NA,-1.41326001893697,0.106853909118974,6,-7823.51360087687,15659.0388813978,1806.15254535327,0,1,TRUE
-361.712077811779,NA,NA,28.6999466426751,-0.577424049241872,NA,NA,6,-7915.72352389723,15843.4587274385,1990.57239139399,0,1,FALSE
-6.87128120441288,NA,NA,NA,NA,0.205759594560082,NA,5,-7930.66973858384,15871.3478186108,2018.46148256624,0,1,FALSE
10.2388741727618,NA,NA,-0.61348952809263,NA,NA,NA,5,-7991.61758349259,15993.2435084282,2140.35717238372,0,1,FALSE
-5.3213193150914,NA,NA,NA,NA,NA,NA,4,-8354.56005298579,16717.1256661606,2864.23933011611,0,1,FALSE
