"(Intercept)","dbh","I(dbh^2)","tmn","I(tmn^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
8.43157401053436,0.0325945175251155,NA,-1.29445877227487,0.082303373899957,-1.9477652492508,0.092581678873672,9,-4340.56978487166,8699.17760862751,0,0.58946137533856,0.58946137533856,TRUE
8.62209119604594,0.0218078406685594,0.000225815032616982,-1.29791823063931,0.0825170175861626,-1.96047505990275,0.0932020078358177,10,-4339.92739146087,8699.90128471839,0.7236760908836,0.410498038817275,0.999959414155835,TRUE
3.77574507574313,0.0327158339626127,NA,-0.0882659026910227,NA,-1.89204160458677,0.0896241678200212,8,-4351.6642692832,8719.35896324419,20.1813546166813,2.44416139026086e-05,0.999983855769738,TRUE
3.94750820929883,0.0223764107313459,0.00021638438785918,-0.0885926072588973,NA,-1.90422545603127,0.0902193845319712,9,-4351.07518676575,8720.18841241569,21.0108037881801,1.61442279235292e-05,0.999999999997662,TRUE
3.76060465433811,0.0343002800199303,NA,NA,NA,-2.01799721557266,0.0954818110737994,7,-4369.29254237312,8752.60874338587,53.4311347583589,1.47242051365044e-12,0.999999999999134,TRUE
3.91473718835072,0.0249266872236676,0.000196279262504996,NA,NA,-2.02915751028746,0.0960262290082735,8,-4368.81991619802,8753.67025707383,54.492648446314,8.66018342927937e-13,1,TRUE
-1.30855343829172,0.0321274780913431,NA,-1.0608094414548,0.0647049060536997,-0.116027779388661,NA,8,-4414.47687286383,8844.98417040545,145.806561777943,1.28517642498669e-32,1,TRUE
-1.27844371314539,0.0295615786350356,5.37581611730338e-05,-1.06134928180721,0.0647342915618726,-0.116137130814483,NA,9,-4414.44042888495,8846.9188966541,147.741288026591,4.88474934637165e-33,1,TRUE
9.2596385712299,NA,NA,-1.34798866490816,0.0850628691585301,-1.92758326744004,0.0917352153865318,8,-4416.72655947096,8849.48354361971,150.305934992197,1.3549905640404e-33,1,TRUE
-4.75027803745647,0.0322627815923816,NA,-0.111855235757081,NA,-0.118083385157867,NA,7,-4421.1447788495,8856.31321633862,157.135607711107,4.45545111880868e-35,1,FALSE
-4.72382723973234,0.029884000757142,4.9829814087148e-05,-0.111957782327972,NA,-0.118182415688335,NA,8,-4421.11359739396,8858.25761946571,159.080010838195,1.68527162650875e-35,1,FALSE
4.44489295503892,NA,NA,-0.101513030239345,NA,-1.8683121099248,0.0885777121900179,7,-4428.42130219889,8870.86626303741,171.688654409898,3.08132668652012e-38,1,TRUE
-5.48884473125509,0.034221839268706,NA,NA,NA,-0.130866511933767,NA,6,-4448.97471113228,8909.96716249687,210.789553869361,9.95600965064211e-47,1,FALSE
-5.48275020234505,0.0336589492818825,1.17987044263558e-05,NA,NA,-0.130891813828189,NA,7,-4448.97301401325,8911.96968666613,212.792078038621,3.65799165697257e-47,1,FALSE
4.47194450998526,NA,NA,NA,NA,-2.01433638997485,0.0953781542693922,6,-4451.5564066455,8915.13055352332,215.952944895811,7.53128692514853e-48,1,TRUE
-1.57748557766015,0.0318883797725686,NA,-1.26207744146465,0.0764526606091862,NA,NA,7,-4479.77342012696,8973.57049889354,274.392890266028,1.53743334117165e-60,1,TRUE
-1.59405359367041,0.0333570099032525,-3.08270012812359e-05,-1.26178548976807,0.07643756755946,NA,NA,8,-4479.76196231099,8975.55434929977,276.376740672255,5.70175632347182e-61,1,TRUE
-5.65783489139322,0.0319352534098425,NA,-0.141795080961429,NA,NA,NA,6,-4488.86422864138,8989.74619751508,290.568588887565,4.72376157296239e-64,1,FALSE
-0.4393318406517,NA,NA,-1.10613423097206,0.0668901551285418,-0.112390987222776,NA,7,-4488.43317026941,8990.88999917845,291.712390550938,2.6663342632063e-64,1,TRUE
-5.67573320219743,0.033599913072759,-3.49170214582165e-05,-0.141712444746156,NA,NA,NA,7,-4488.84946681772,8991.72259227507,292.544983647555,1.75840657813209e-64,1,FALSE
-3.99107378127117,NA,NA,-0.125208860048288,NA,-0.114785273992462,NA,6,-4495.4742591659,9002.96625856412,303.788649936605,6.36191975511213e-67,1,FALSE
-4.77219292148429,NA,NA,NA,NA,-0.1289333056917,NA,5,-4530.09196026287,9070.19658944466,371.018980817149,1.60216532386266e-81,1,FALSE
-6.75017857272662,0.034440615997301,NA,NA,NA,NA,NA,5,-4533.56932300005,9077.15131491901,377.973706291501,4.94889089841927e-83,1,FALSE
-6.79682011984654,0.0389375074293256,-9.44485345353566e-05,NA,NA,NA,NA,6,-4533.46571234116,9078.94916491463,379.771556287122,2.01423303014471e-83,1,FALSE
-0.639104962106355,NA,NA,-1.3195044672921,0.0795488436607792,NA,NA,6,-4549.0514222953,9110.12058482292,410.942976195407,3.43021928134307e-90,1,TRUE
-4.882204246724,NA,NA,-0.154039090771877,NA,NA,NA,5,-4558.78428082182,9127.58123056256,428.403621935053,5.54358659834044e-94,1,FALSE
-6.01034526772518,NA,NA,NA,NA,NA,NA,4,-4611.22037786666,9230.44919989628,531.271591268771,2.54856147035851e-116,1,FALSE
