"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-8.86020476905265,0.100837935547427,-0.00304023688911603,NA,NA,0.0022903333397165,-9.36229310857165e-06,8,-3864.04856665846,7744.12644331082,0,0.326543360297723,0.326543360297723
-8.62329740448644,0.0409471502645666,NA,NA,NA,0.00231288625654496,-9.47576271619797e-06,7,-3865.1163504625,7744.25549294778,0.129049636969285,0.306138595161293,0.632681955459016
-8.87257405009791,0.10079646647424,-0.00304075308569782,0.00388030252388384,NA,0.00229265845102161,-9.35220959062749e-06,9,-3864.04032452985,7746.11729401085,1.99085070003457,0.120679394061551,0.753361349520567
-8.63576838384741,0.0408992267081586,NA,0.00391029685373164,NA,0.00231522108995238,-9.46555896156129e-06,8,-3865.10798677342,7746.24528354072,2.11884022990853,0.113198467569634,0.866559817090201
-8.46727208751792,0.100997089631023,-0.00305083256213893,-0.244810883851691,0.0380306124965033,0.00225219316928253,-9.10130981788028e-06,10,-3863.97320899073,7747.99121537506,3.86477206424388,0.0472842240912716,0.913844041181473
-8.24728832761128,0.0409064137571432,NA,-0.234038254877719,0.0363879673288706,0.00227654892449625,-9.22570213437616e-06,9,-3865.04658438471,7748.12981372055,4.003370409735,0.0441184268856871,0.95796246806716
-8.18784932285379,NA,NA,NA,NA,0.00231285582895378,-9.42529845501246e-06,6,-3868.81941031343,7749.65591116602,5.52946785520362,0.0205698994539688,0.978532367521128
-8.20970153247944,NA,NA,0.00658443858791295,NA,0.00231684631110032,-9.40858337962398e-06,7,-3868.79583340228,7751.61445882735,7.48801551653014,0.00772571971161302,0.986258087232741
-7.80368585374658,NA,NA,-0.242039240346751,0.0380192129792347,0.00227653663145961,-9.15871885333419e-06,8,-3868.72925852116,7753.48782703622,9.36138372540154,0.00302790475571261,0.989285991988454
-8.78144953384462,0.104753027667199,-0.00325763334058259,NA,NA,0.000269450560001089,NA,7,-3870.0997171109,7754.2222262446,10.0957829337858,0.00209734293880677,0.991383334927261
-8.52678475637024,0.0406077128190302,NA,NA,NA,0.000267415954845,NA,6,-3871.31507252444,7754.64723558805,10.5207922772333,0.00169582034761344,0.993079155274874
-8.75663943274433,0.104453195547122,-0.00322054227099845,NA,NA,NA,NA,6,-3871.48632059505,7754.98973172926,10.8632884184426,0.00142891945681633,0.994508074731691
-8.50459627441155,0.0409977727148962,NA,NA,NA,NA,NA,5,-3872.67977599502,7755.3717570348,11.2453137239845,0.00118046199290957,0.9956885367246
-8.80355258220351,0.104673575421518,-0.00325819247806889,0.00688324665994895,NA,0.000277438388391725,NA,8,-3870.07380459691,7756.17691918771,12.0504758768948,0.000789247597808922,0.996477784322409
-8.54919012258878,0.0405244030293851,NA,0.00696192451026596,NA,0.00027549719291444,NA,7,-3871.28858551635,7756.5999630555,12.4735197446862,0.000638778749751061,0.99711656307216
-7.51200185418664,0.104997879912728,-0.00327206729606162,-0.789585014530035,0.121759170768372,0.000320998560871823,NA,9,-3869.34245511709,7756.72155518532,12.5951118745052,0.000601100465819879,0.99771766353798
-8.74461129427091,0.104502481260332,-0.00322085902839725,-0.00387275757700282,NA,NA,NA,7,-3871.47774133511,7756.97827469302,12.851831382206,0.000528690043561806,0.998246353581542
-7.26219060037436,0.040591450493122,NA,-0.786161591067136,0.121248276895004,0.000318887272296779,NA,8,-3870.56392122788,7757.15715244965,13.0307091388386,0.000483457520555587,0.998729811102097
-8.49297440931137,0.0410358055027314,NA,-0.00372201479743183,NA,NA,NA,6,-3872.67185778053,7757.36080610023,13.2343627894097,0.000436652038583239,0.999166463140681
-7.87721331317214,0.104697844154786,-0.00322625289991232,-0.536071493057131,0.0811871291915585,NA,NA,8,-3871.13765890074,7758.30462779537,14.1781844845536,0.000272387525915839,0.999438850666597
-7.62794053191615,0.0411301427029082,NA,-0.534258053058061,0.0809337051771897,NA,NA,7,-3872.33415102068,7758.69109406415,14.5646507533384,0.000224526254203956,0.9996633769208
-8.09526603872073,NA,NA,NA,NA,0.000277774796877064,NA,5,-3874.9124166816,7759.83703840795,15.7105950971363,0.000126598476247126,0.999789975397048
-8.0679825416314,NA,NA,NA,NA,NA,NA,4,-3876.37624111619,7760.76061727407,16.6341739632526,7.97766647981717e-05,0.999869752061846
-8.12713338315711,NA,NA,0.00952939120431359,NA,0.00028877897900087,NA,6,-3874.86308107603,7761.74325269123,17.6168093804172,4.88089321531141e-05,0.999918560993999
-6.8299690201247,NA,NA,-0.789377698697779,0.122130308442959,0.000332351223219317,NA,7,-3874.13312616054,7762.28904434388,18.1626010330656,3.71519962920395e-05,0.999955712990291
-8.06275917324183,NA,NA,-0.0016168573069378,NA,NA,NA,5,-3876.37475641504,7762.76171787482,18.6352745640088,2.93320489846915e-05,0.999985045039276
-7.20498297899025,NA,NA,-0.527085056560056,0.0801604405601835,NA,NA,6,-3876.04595134225,7764.10899322366,19.9825499128438,1.49549607243234e-05,1
