"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-5.98629126490919,0.144474199600686,-0.00206992657440116,-1.10128152646228,0.151346888532263,0.0039158325416369,-1.59185236305527e-05,10,3504.97474937238,-6989.93312360519,0,0.999999999999655,0.999999999999655,TRUE
-7.61208478342555,0.144523501441337,-0.00206965742800517,-0.107288074375164,NA,0.0038939751827122,-1.58541603021557e-05,9,3475.27699390252,-6932.54059096075,57.3925326444441,3.44643335690288e-13,1,FALSE
-5.49034756756568,0.0650374931674446,NA,-1.1074141110187,0.152335986856371,0.00392353958492154,-1.59662345598705e-05,9,3399.77191288408,-6781.53042892387,208.402694681325,5.57095747128624e-46,1,TRUE
-7.12654273826945,0.0650932842450268,NA,-0.106920993443274,NA,0.00390155551553065,-1.59015875494656e-05,8,3369.4556373661,-6722.90055805438,267.032565550816,1.03422527332969e-58,1,FALSE
-7.94857092866609,0.143589406726728,-0.00207426348063062,NA,NA,0.00418857062238291,-1.72299770338394e-05,8,3316.19109605806,-6616.37147543828,373.561648166909,7.6228745954473e-82,1,FALSE
-5.83955739419343,0.143269479002992,-0.00205835594082529,-1.07943010374954,0.14550734439943,0.000790421189442089,NA,9,3225.88619867594,-6433.75900050759,556.174123097604,1.69170129073048e-121,1,TRUE
-7.47302611329967,0.0644707581940204,NA,NA,NA,0.00419500727387053,-1.727219874521e-05,7,3210.2715396819,-6406.53474479021,583.398378814983,2.07324995522397e-127,1,FALSE
-7.40367325971995,0.143324237977136,-0.00205790220755445,-0.123724863847951,NA,0.000781557671806733,NA,8,3199.70818821274,-6383.40565974765,606.527463857546,1.96894988325529e-132,1,FALSE
-5.36351497922515,0.0650832637320629,NA,-1.08487330396272,0.146389444719094,0.00078890882612515,NA,8,3116.68225096297,-6217.35378524811,772.579338357081,1.72396426567318e-168,1,TRUE
-6.93656981955087,0.0651350799971824,NA,-0.123371258509253,NA,0.000779977596713496,NA,7,3089.91912876954,-6165.82992296549,824.103200639704,1.11754165958519e-179,1,FALSE
-4.03217888669089,NA,NA,-1.13422865218153,0.156702204700889,0.00396907167880875,-1.61936278011585e-05,8,3052.64639207155,-6089.28206746526,900.651056139929,2.66752254760396e-196,1,TRUE
-5.71409174660516,NA,NA,-0.105040644217551,NA,0.00394657714158317,-1.61277944278865e-05,7,3021.05309732391,-6028.09786007422,961.835263530976,1.38078567968746e-209,1,FALSE
-7.77817446221936,0.142257444550087,-0.00206369448772238,NA,NA,0.000810210766645499,NA,7,2995.94771653921,-5977.88709850482,1012.04602510037,1.72582967954787e-220,1,FALSE
-5.88004479979464,0.139212664683915,-0.00200483732435481,-0.968314596239371,0.127602830925641,NA,NA,8,2942.81322710126,-5869.61573752469,1120.31738608051,5.32317351188415e-244,1,TRUE
-7.25348254052293,0.139309197481575,-0.00200483196982596,-0.130144707642723,NA,NA,NA,7,2923.6267977041,-5833.2452608346,1156.68786277059,6.73630832901823e-252,1,FALSE
-7.32281807902703,0.0644218615223639,NA,NA,NA,0.000808506927969884,NA,6,2885.29676092853,-5758.58727139199,1231.34585221321,4.13661911700309e-268,1,FALSE
-6.01935398629092,NA,NA,NA,NA,0.0042341575444907,-1.74773493406384e-05,6,2877.81975574332,-5743.63326102158,1246.29986258361,2.34111874104057e-271,1,FALSE
-5.4447248985583,0.0642212076529932,NA,-0.972494827979169,0.128308884090044,NA,NA,7,2831.40961924015,-5648.8109039067,1341.12221969849,6.0118787579608e-292,1,TRUE
-6.82467452354853,0.0642772920270035,NA,-0.129685032553319,NA,NA,NA,6,2811.74339188084,-5611.48053329661,1378.45259030858,4.70785666488602e-300,1,FALSE
-3.84588677821038,NA,NA,-1.11552528433119,0.15134722249159,0.000788574529442487,NA,7,2774.3055132421,-5534.6026919106,1455.33043169459,9.5282269267619e-317,1,TRUE
-5.47105532643662,NA,NA,-0.121440888456269,NA,0.000779325500786197,NA,6,2746.36893851709,-5480.73162656913,1509.20149703607,0,1,FALSE
-7.64639385561582,0.138286315248868,-0.00201183634944573,NA,NA,NA,NA,6,2708.68355407572,-5405.36085768637,1584.57226591882,0,1,FALSE
-7.2272774434428,0.0635013432458311,NA,NA,NA,NA,NA,5,2595.43203419608,-5180.85960410644,1809.07351949875,0,1,FALSE
-5.86103285111591,NA,NA,NA,NA,0.000807075217586461,NA,5,2552.96058377522,-5095.91670326473,1894.01642034046,0,1,FALSE
-3.93610857063689,NA,NA,-1.00473237077205,0.133537068108545,NA,NA,6,2496.21780652834,-4980.42936259161,2009.50376101358,0,1,TRUE
-5.37112735269885,NA,NA,-0.127565078020582,NA,NA,NA,5,2475.42237906309,-4940.84029384046,2049.09282976474,0,1,FALSE
-5.77873529120709,NA,NA,NA,NA,NA,NA,4,2271.33599012007,-4534.6690042711,2455.26411933409,0,1,FALSE
