"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-9.94943800209682,0.259096198768022,-0.00330196065656412,NA,NA,0.00475307924018603,-1.35923523029314e-05,8,-6449.45408746651,12914.9378045627,0,0.29645021665981,0.29645021665981,FALSE
-13.9588175371884,0.260584229278043,-0.00331786484709829,2.88830950582114,-0.518672649467357,0.00452693620449705,-1.18783208118883e-05,10,-6447.50923181099,12915.063749748,0.125945185305682,0.27835762514598,0.574807841805791,FALSE
-10.2867243315934,0.260341696713813,-0.00331848793079902,0.10999886521174,NA,0.005287550316825,-1.52959767634342e-05,9,-6448.70873742314,12915.4545195057,0.516714943027182,0.228954164726329,0.80376200653212,FALSE
-15.3272862110977,0.26050494521352,-0.00331588212515783,4.04145064711845,-0.741049765135468,0.00196717020569301,NA,9,-6449.29765401764,12916.6323526947,1.69454813202901,0.127053115967431,0.930815122499551,FALSE
-9.82589663460291,0.259437660895242,-0.00330750078829073,NA,NA,0.00191835218838136,NA,7,-6452.27959201509,12918.5822245568,3.64441999416886,0.0479265343427029,0.978741656842254,FALSE
-9.98388605513131,0.260069396547625,-0.00331593802679504,0.0540052271640633,NA,0.00200632869508213,NA,8,-6452.08922436853,12920.2080783667,5.27027380403888,0.0212581935309497,0.999999850373204,FALSE
-15.1890332930456,0.258264316076993,-0.00326631336723085,4.27957511385513,-0.820474271507209,NA,NA,8,-6464.08984939663,12944.2093284229,29.2715238602323,1.30533242855586e-07,0.999999980906447,FALSE
-9.25840486909501,0.257738977390291,-0.00326530267361471,-0.139024372544312,NA,NA,NA,7,-6467.49442109381,12949.0118827143,34.074078151607,1.18265946943855e-08,0.999999992733041,FALSE
-9.643491166467,0.259350451546756,-0.0032842914744676,NA,NA,NA,NA,6,-6468.98431586335,12949.9859085675,35.0481040048526,7.26695861385761e-09,1,FALSE
-8.55236773645215,0.0989193579527147,NA,NA,NA,0.00401526769887309,-1.14153264577767e-05,7,-6676.99987863202,13368.0227977907,453.084993228025,1.2184159511752e-99,1,FALSE
-12.3281266811739,0.0995209681585134,NA,2.7766318527254,-0.506747943253483,0.00356097469835481,-8.95933244235127e-06,9,-6675.679958126,13369.3969609114,454.459156348741,6.12914429398216e-100,1,FALSE
-13.3947600195713,0.0995407888224819,NA,3.67118179300185,-0.679012062580533,0.00163067306287417,NA,8,-6676.71025977534,13369.4501491803,454.512344617659,5.96829333257368e-100,1,FALSE
-8.72815930117109,0.0992074345374417,NA,0.0582692085184977,NA,0.00429227040252338,-1.22792737442357e-05,8,-6676.80233729279,13369.6343042152,454.696499652564,5.44328911637477e-100,1,FALSE
-8.44727604365856,0.0990097455980257,NA,NA,NA,0.00163534010509568,NA,6,-6679.02355151674,13370.0643798743,455.126575311629,4.3900721657023e-100,1,FALSE
-8.48157352401531,0.0990701031771776,NA,0.011906640530035,NA,0.00165513643859809,NA,7,-6679.014814365,13372.0526692566,457.114864693991,1.62450145929026e-100,1,FALSE
-13.1282141872415,0.0995115377879938,NA,3.75155080525909,-0.724399205462057,NA,NA,7,-6686.5216735712,13387.066387669,472.128583106394,8.92344551227962e-104,1,FALSE
-7.87830220640269,0.0990154624810418,NA,-0.154541015734152,NA,NA,NA,6,-6689.12820011337,13390.2736770675,475.335872504887,1.79505819307608e-104,1,FALSE
-8.30026287645488,0.0999401659076107,NA,NA,NA,NA,NA,5,-6690.88789911715,13391.7881362972,476.850331734569,8.41817382305981e-105,1,FALSE
-6.63203907088906,NA,NA,NA,NA,0.00188311616191473,NA,5,-7067.88502593302,14145.782389929,1230.8445853663,1.57560017198867e-268,1,FALSE
-6.70100035160914,NA,NA,NA,NA,0.00341961431288341,-7.36659863087497e-06,6,-7066.99404920756,14146.0053752559,1231.06757069327,1.40937112997633e-268,1,FALSE
-7.03157946453893,NA,NA,0.112949645643875,NA,0.00395758753518605,-9.03845769395668e-06,7,-7066.25545485796,14146.5339502426,1231.59614567991,1.08204860890584e-268,1,FALSE
-6.84656257804295,NA,NA,0.0769394610683682,NA,0.00201203534016256,NA,6,-7067.52097467114,14147.0592261831,1232.12142162042,8.32117297281648e-269,1,FALSE
-9.53942579860025,NA,NA,2.08133276897847,-0.371129338587267,0.00200673151414495,NA,7,-7066.82174727537,14147.6665350774,1232.72873051473,6.14198991506267e-269,1,FALSE
-8.60350331466142,NA,NA,1.29910691078334,-0.220683338875343,0.0036461122124185,-7.60607290850482e-06,8,-7066.03982347611,14148.1092765819,1233.1714720192,4.92231046912631e-269,1,FALSE
-6.10477519456804,NA,NA,-0.128888526531171,NA,NA,NA,5,-7082.48739623318,14174.9871305293,1260.04932596663,7.17326996038494e-275,1,FALSE
-6.44237432883625,NA,NA,NA,NA,NA,NA,4,-7083.71291521445,14175.4340541131,1260.49624955045,5.73678999830595e-275,1,FALSE
-8.93182763537631,NA,NA,1.97452729923657,-0.389376451722861,NA,NA,6,-7081.72410045311,14175.465477747,1260.52767318437,5.64735900535643e-275,1,FALSE
