"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-17.8640553886881,0.140609700997416,-0.00127299417127183,7.51337079257709,-1.43739850516082,0.00626986090406241,-1.50809085874847e-05,10,-867.744808179411,1755.60751560855,0,0.99954238575512,0.99954238575512,FALSE
-19.4662900705606,0.140517131961766,-0.00127335594027841,8.85931160841114,-1.69523447053357,0.0031078461982495,NA,9,-876.444578425681,1770.98556820648,15.3780525979239,0.00045761423156048,0.99999999998668,FALSE
-7.46771040225855,0.139674815238822,-0.00127086242955628,-0.255624392413662,NA,0.00798849154594108,-2.33294103901291e-05,9,-893.796887319469,1805.69018599405,50.0826703854984,1.33194877104619e-11,1,FALSE
-8.23627379017531,0.140318839661198,-0.00126944244217626,NA,NA,0.00918628158723453,-2.71939450296929e-05,8,-905.46839411182,1827.01387601807,71.4063604095188,3.11965857318892e-16,1,FALSE
-7.01733743965671,0.139218899895236,-0.00127063835478783,-0.337261644539887,NA,0.00309348870423442,NA,8,-915.825360367673,1847.72780852978,92.1202929212247,9.91137188608954e-21,1,FALSE
-17.0015384916401,0.0549711555024124,NA,7.59961872081823,-1.45012283782403,0.00631753406931286,-1.50194754140345e-05,9,-929.866098582845,1877.8286085208,122.22109291225,2.88289020901926e-27,1,FALSE
-7.98450142002932,0.140030252535347,-0.00126878295962878,NA,NA,0.00363256295027035,NA,7,-936.564872249268,1887.18966959217,131.582153983615,2.67361900182061e-29,1,FALSE
-18.6140846346698,0.0547771733083784,NA,8.95453743173705,-1.70944158984819,0.00317174820949958,NA,8,-938.911590755473,1893.90026930538,138.292753696825,9.33063726599964e-31,1,FALSE
-6.50093313289751,0.05401853772166,NA,-0.240071087543165,NA,0.00804396222183676,-2.33182579691285e-05,8,-957.45454897362,1930.98618574167,175.378670133119,8.25670701208282e-39,1,FALSE
-7.21615470542717,0.0545003313378847,NA,NA,NA,0.00916280806861317,-2.69136665736639e-05,7,-968.15218073476,1950.36428656315,194.756770954599,5.11570798063773e-43,1,FALSE
-18.3500416156969,0.141036070208879,-0.00128123291452755,8.51894797918516,-1.68321305253332,NA,NA,8,-970.909166148309,1957.89542009105,202.287904482497,1.18451585687831e-44,1,FALSE
-6.04444390087353,0.0533954976340343,NA,-0.321019277257788,NA,0.0031563756577435,NA,7,-980.574678456544,1975.20928200672,219.601766398168,2.06007738091714e-48,1,FALSE
-6.95575352121334,0.0539841720607692,NA,NA,NA,0.00367140076862248,NA,6,-1000.05430411719,2012.15352802049,256.546012411932,1.9567819911974e-56,1,FALSE
-6.0018335468883,0.139886674836503,-0.00127963650859897,-0.609482970470843,NA,NA,NA,7,-1004.99947509434,2024.05887528232,268.451359673766,5.08544699767021e-59,1,FALSE
-15.2339467173573,NA,NA,7.49829904017661,-1.43218725767712,0.00639745521617767,-1.49318923572921e-05,8,-1026.67958295535,2069.43625370513,313.828738096572,7.12453634264723e-69,1,FALSE
-16.8463305428232,NA,NA,8.84763343511369,-1.69037166628371,0.0032717039534253,NA,7,-1035.88242862987,2085.82478235338,330.217266744822,1.96803504163072e-72,1,FALSE
-17.4081320649676,0.0544205002543945,NA,8.57709240168164,-1.69100741632345,NA,NA,7,-1041.44382877658,2096.94758264679,341.340067038231,7.56392879026294e-75,1,FALSE
-4.88901011769721,NA,NA,-0.246148510744039,NA,0.00809284562992461,-2.30969632629186e-05,7,-1054.27877765852,2122.61748041067,367.009964802117,2.01650803405744e-80,1,FALSE
-5.60478731452702,NA,NA,NA,NA,0.00923655348288915,-2.67637254601442e-05,6,-1065.82371405891,2143.69234790392,388.084832295362,5.3487294024406e-85,1,FALSE
-7.66491880498306,0.141918285542346,-0.00128027792486534,NA,NA,NA,NA,6,-1072.44974058157,2156.94440094925,401.336885340691,7.08930842978328e-88,1,FALSE
-4.98646710299036,0.0531740343502826,NA,-0.596540711500441,NA,NA,NA,6,-1077.20448122939,2166.45388224488,410.846366636331,6.10444584227395e-90,1,FALSE
-4.4557975140881,NA,NA,-0.326412730067188,NA,0.00325354061599768,NA,6,-1077.71709201054,2167.47910380719,411.871588198631,3.65613490002038e-90,1,FALSE
-5.36095660795007,NA,NA,NA,NA,0.00377860477595255,NA,5,-1098.43443774387,2206.90094390035,451.293428291793,1.00618630517069e-98,1,FALSE
-6.59048718375466,0.0545335654831808,NA,NA,NA,NA,NA,5,-1144.03501667935,2298.10210177131,542.494586162753,1.579787229249e-118,1,FALSE
-15.5214217832426,NA,NA,8.39706738100966,-1.66009407403629,NA,NA,6,-1148.23123768532,2308.50739515673,552.899879548174,8.69196259680464e-121,1,FALSE
-3.3499984683485,NA,NA,-0.611854040109232,NA,NA,NA,5,-1183.7356432385,2377.50335488961,621.895839281057,9.05389713506438e-136,1,FALSE
-4.94527581817421,NA,NA,NA,NA,NA,NA,4,-1256.38479263821,2520.79095279779,765.18343718924,6.95551045333056e-167,1,FALSE
