"(Intercept)","dbh","I(dbh^2)","tmn","I(tmn^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-8.95804209356906,0.247753340470799,-0.00523425716693131,-0.0171685242646976,NA,0.01189369743091,NA,8,-397.704805222935,811.439227887252,0,0.510390121942223,0.510390121942223,FALSE
-9.05973399732995,0.247750166369598,-0.00523511119379076,-0.017243813273408,NA,0.0331950094697515,-0.00109756555753562,9,-397.59269999426,813.222429406336,1.78320151908429,0.209259397496709,0.719649519438932,FALSE
-8.9078938845222,0.24776354088806,-0.00523471835475936,-0.0311350986643603,0.000956327354084816,0.0119398906881402,NA,9,-397.694257286605,813.425543991024,1.98631610377288,0.189051095748024,0.908700615186956,TRUE
-9.0215069991406,0.247757688686248,-0.00523543472396094,-0.0273450154243399,0.00069175453808695,0.0328195301949621,-0.00107649716079696,10,-397.587222167824,815.219711825359,3.78048393810775,0.0770869040319293,0.985787519218885,TRUE
-9.08111900689404,0.247905879379239,-0.00525135609783044,NA,NA,0.0117640204727127,NA,7,-403.170596762277,820.364224575345,8.92499668809319,0.00588659089237706,0.991674110111262,FALSE
-8.84520991478703,0.247638548505514,-0.00523232680039474,-0.0169733302194283,NA,NA,NA,7,-403.474881272925,820.972793596642,9.5335657093899,0.00434224946431787,0.99601635957558,FALSE
-9.16143030452261,0.247903607426653,-0.00525207416881256,NA,NA,0.0284977901415758,-0.000862243616051291,8,-403.101525717517,822.232668876416,10.7934409891641,0.0023127906840136,0.998329150259594,FALSE
-8.90167900320101,0.247627699756243,-0.00523181019393215,-0.00138443460429608,-0.00106746937589167,NA,NA,8,-403.461670704166,822.952958849714,11.5137309624624,0.00161334537689577,0.999942495636489,FALSE
-8.96814775805603,0.247789820749621,-0.00524908836592742,NA,NA,NA,NA,6,-408.802048900405,829.621367537652,18.1821396504,5.7504363510546e-05,1,FALSE
-8.21415625093504,0.103890085647858,NA,-0.0177638988474992,NA,0.0121117226958186,NA,7,-464.106859174131,942.236749399054,130.797521511803,2.02106993145594e-29,1,FALSE
-8.29976883690856,0.10387153589955,NA,-0.0178305008743663,NA,0.0300569342301482,-0.000924485713454706,8,-464.025073491506,944.079764424395,132.640536537143,8.04221562559397e-30,1,FALSE
-8.20035594357663,0.103888994036977,NA,-0.0216028992632348,0.000262868878313189,0.01212478607311,NA,8,-464.106042750236,944.241702941854,132.802475054603,7.41670851069465e-30,1,TRUE
-8.29807785688184,0.103871452432391,NA,-0.0182764713908829,3.05419509264091e-05,0.0300400389535976,-0.000923537108395985,9,-464.025062567538,946.087154552891,134.64792666564,2.9476538719809e-30,1,TRUE
-8.33979289586774,0.103601780880566,NA,NA,NA,0.011963945945217,NA,6,-470.099567086329,952.216403909499,140.777176022248,1.37571001307786e-31,1,FALSE
-8.09609025883139,0.103602080723173,NA,-0.0175473006662044,NA,NA,NA,6,-470.241223335503,952.499716407847,141.060488520596,1.19400561998839e-31,1,FALSE
-8.40212539009379,0.10358726999415,NA,NA,NA,0.0249585629794727,-0.000669466291116659,7,-470.056745920589,954.136522891969,142.697295004717,5.26718241121551e-32,1,FALSE
-8.19438644587667,0.103613781074346,NA,0.00953676974102105,-0.00185464377796829,NA,NA,7,-470.200358784266,954.423748619325,142.984520732073,4.5625547054515e-32,1,FALSE
-8.22166835103422,0.103322926257436,NA,NA,NA,NA,NA,5,-476.0710004503,962.15433389135,150.715106004098,9.56164954807035e-34,1,FALSE
-6.73425353672753,NA,NA,-0.0159291977104329,NA,0.0118014705718595,NA,6,-663.859050696909,1339.73537113066,528.296143243408,9.76905039092197e-116,1,FALSE
-6.84784456082134,NA,NA,-0.016018525424016,NA,0.0355362413779604,-0.00122264200883535,7,-663.71661262451,1341.45625629981,530.01702841256,4.13206251379607e-116,1,FALSE
-6.67466645029234,NA,NA,-0.0325386766385736,0.00113734558131249,0.0118586607364137,NA,7,-663.843861829875,1341.71075471054,530.27152682329,3.63833978639657e-116,1,TRUE
-6.80176442882677,NA,NA,-0.0281853030764728,0.000833259342217368,0.0350715880661102,-0.00119654814588336,8,-663.708524658141,1343.44666675766,532.007438870413,1.52740688542866e-116,1,TRUE
-6.85096628960549,NA,NA,NA,NA,0.0116595514238117,NA,5,-668.641744342238,1347.29582167523,535.856593787974,2.2290580243269e-117,1,FALSE
-6.9436812515132,NA,NA,NA,NA,0.0309209184514399,-0.000992238585186586,6,-668.548081350074,1349.11343243699,537.674204549739,8.9832236388837e-118,1,FALSE
-6.62395805402952,NA,NA,-0.0156933920053478,NA,NA,NA,5,-669.654013409776,1349.3203598103,537.88113192305,8.10025150399142e-118,1,FALSE
-6.67461257015947,NA,NA,-0.0017013495454012,-0.000958184809237306,NA,NA,6,-669.643165803533,1351.30360134391,539.864373456656,3.00499031274319e-118,1,FALSE
-6.7402724227665,NA,NA,NA,NA,NA,NA,4,-674.284636939101,1356.57749418235,545.138266295102,2.15095734126352e-119,1,FALSE
