"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-3.639133134969,0.1897637555938,-0.00229803279489333,-4.4714288126257,0.769738962592266,0.0180788179204644,-8.33655892910671e-05,10,-1881.44752808718,3782.96910531607,0,0.570836720264863,0.570836720264863
-3.6308875666364,0.189740018883295,-0.00230165017688912,-4.0169241914661,0.685382468620763,0.00362403193306873,NA,9,-1883.69776046277,3785.45608620145,2.48698088538322,0.164615552772622,0.735452273037485
-9.68487995692036,0.189806981046651,-0.00229629139973536,-0.129399392780943,NA,0.0164049415475838,-7.30295687653432e-05,9,-1883.99891459823,3786.05839447238,3.08928915631213,0.121809535039138,0.857261808076622
-10.1938063461856,0.190527684835572,-0.00229785794880302,NA,NA,0.01881481569219,-8.29279112565143e-05,8,-1885.61140389675,3787.27124371681,4.3021384007402,0.0664223777751225,0.923684185851745
-9.08910194198675,0.189778964181469,-0.00229967770659506,-0.148352072328175,NA,0.00373078553160841,NA,8,-1885.74657887535,3787.541593674,4.57248835793825,0.0580241344841874,0.981708320335932
-9.58981047315879,0.190610442070484,-0.00230203215383923,NA,NA,0.00454019129161015,NA,7,-1887.90660430194,3789.85086832144,6.8817630053727,0.0182875721576575,0.99999589249359
-1.85519185773182,0.188019752305414,-0.00228949363915819,-4.85700285597088,0.802200233929989,NA,NA,8,-1895.45744336023,3806.96332264377,23.9942173277045,3.51749760769576e-06,0.999999409991197
-8.2145203377367,0.188010893107673,-0.00228674793437292,-0.335321945673888,NA,NA,NA,7,-1898.24899931419,3810.53565834594,27.5665530298702,5.89536867193624e-07,0.999999999528065
-2.90455432844681,0.0923695383302777,NA,-4.43025235861384,0.761971155576295,0.0179084794573284,-8.23875750332017e-05,9,-1903.93874805572,3825.93806138735,42.9689560712827,2.66637755451777e-10,0.999999999794702
-2.89012952384971,0.0922647452982289,NA,-3.98526254484618,0.679301574945012,0.0036224723919225,NA,8,-1906.15186766912,3828.35217126156,45.3830659454902,7.97451622962292e-11,0.999999999874447
-8.88962059802298,0.0924518304383171,NA,-0.132080050321557,NA,0.0162624886012021,-7.22219998453552e-05,8,-1906.46108555434,3828.97060703199,46.0015017159235,5.85346094449191e-11,0.999999999932982
-9.41124963725458,0.093224191824007,NA,NA,NA,0.0187375739712077,-8.24067718619141e-05,7,-1908.14766631731,3830.33299235218,47.3638870361119,2.96192809776639e-11,0.999999999962601
-8.299751371696,0.0923449412943008,NA,-0.151038016490656,NA,0.00372791394420481,NA,7,-1908.18185119666,3830.40136211086,47.4322567947984,2.86238605311087e-11,0.999999999991225
-8.81128227422427,0.0932173554034893,NA,NA,NA,0.00455358186411925,NA,6,-1910.43054417907,3832.88932365225,49.9202183361872,8.25038514594759e-12,0.999999999999476
-9.18247172607518,0.189465237992189,-0.00228639507487844,NA,NA,NA,NA,6,-1913.18959857797,3838.40743245005,55.4383271339852,5.22675474434724e-13,0.999999999999998
-1.11368184442109,0.090492352608125,NA,-4.82095572095628,0.795249083224103,NA,NA,7,-1917.96096542282,3849.95959056319,66.9904852471209,1.62073817190125e-15,1
-7.41768907828317,0.0905390126460986,NA,-0.338481397237343,NA,NA,NA,6,-1920.72718570102,3853.48260669617,70.5135013800996,2.78419486221428e-16,1
-8.39546619635604,0.0920484825141591,NA,NA,NA,NA,NA,5,-1936.04499710504,3882.1101555004,99.1410501843302,1.69163393868618e-22,1
-0.871583675319282,NA,NA,-4.62105838200457,0.787313354466173,0.0161471048272607,-7.33202567243093e-05,8,-1983.96079008801,3983.97001609932,201.000910783259,1.28741539128271e-44,1
-0.853521587799625,NA,NA,-4.22944710516174,0.714458130903555,0.00343127050842434,NA,7,-1985.7153141751,3985.46828806776,202.499182751695,6.08657633003483e-45,1
-7.05406636588869,NA,NA,-0.180070707306737,NA,0.0144529675020707,-6.285778231747e-05,7,-1986.6618859815,3987.36143168055,204.392326364481,2.36201233084279e-45,1
-6.54133401190144,NA,NA,-0.196877330681809,NA,0.00354192960013741,NA,6,-1987.96640695862,3987.96104921136,204.991943895292,1.75015643061882e-45,1
-7.74762370061145,NA,NA,NA,NA,0.0178520408715651,-7.6869458368423e-05,6,-1989.78819059815,3991.60461649041,208.635511174349,2.83065073333567e-46,1
-7.18811903581079,NA,NA,NA,NA,0.0046215291097024,NA,5,-1991.77826418536,3993.57668966104,210.607584344975,1.05598083982853e-46,1
0.802171847307831,NA,NA,-5.02176001383948,0.82420532841406,NA,NA,6,-1996.29080047664,4004.60983624739,221.640730931328,4.24461884608387e-49,1
-5.73010809885228,NA,NA,-0.376212845578507,NA,NA,NA,5,-1999.27036453868,4008.56089036768,225.591785051619,5.88678530282303e-50,1
-6.7868729951816,NA,NA,NA,NA,NA,NA,4,-2018.24223971795,4044.49791578121,261.528810465146,9.25235484405629e-58,1
