"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-6.75942174433619,0.642022254994663,-0.0449495435732343,0.00979222089335409,-7.32275032942639e-05,-0.461595506672881,0.0102047332617826,10,-149.088041814419,318.2025768851,0,0.999999999989972,0.999999999989972,TRUE
-7.2443928860783,0.641614114736566,-0.0449274972687268,0.00270575444227668,NA,-0.40448874733788,0.00895465419961556,9,-175.416135923384,368.853945537316,50.6513686522161,1.00275548620904e-11,1,TRUE
-12.160552247279,0.641257232986486,-0.0448513720844517,0.00882359750512964,-5.93776346009978e-05,0.00925347004178581,NA,9,-189.640734915738,397.303143522024,79.1005666369242,6.66085833528969e-18,1,FALSE
-11.9437932789946,0.639362969734311,-0.0446255323385761,0.00866297958168793,-5.65658946251929e-05,NA,NA,8,-205.825557788041,427.668452440999,109.465875555899,1.69741151748215e-24,1,FALSE
-12.0140505750081,0.641034550245634,-0.0448451923471564,0.0030396401413916,NA,0.00877858557304389,NA,8,-207.186679346269,430.390695557454,112.188118672355,4.35170615900787e-25,1,FALSE
-6.10826055845675,0.230828882332822,NA,0.00984305135419021,-7.36759769758327e-05,-0.463544163991185,0.0102446953930874,9,-218.508789205305,455.039252101158,136.836675216059,1.93327446983181e-30,1,TRUE
-11.8145783758184,0.639263524268284,-0.0446321793585633,0.00314736635028857,NA,NA,NA,7,-221.719712603557,457.452907812146,139.250330927046,5.78328823251607e-31,1,FALSE
-6.59884066504975,0.231075283385383,NA,0.00271344931815753,NA,-0.406064503074111,0.0089864321839829,8,-244.904432703013,505.826202270944,187.623625385844,1.81153783986027e-41,1,TRUE
-5.61371377337792,0.635624819776811,-0.0446528283008658,NA,NA,-0.535444160052774,0.011835088736126,8,-257.41472777152,530.846792407957,212.644215522858,6.68182804325996e-47,1,TRUE
-11.5321528206188,0.231088584430452,NA,0.00887157891679609,-5.97764958659445e-05,0.00914750261884946,NA,8,-258.976980701555,533.971298268026,215.768721382926,1.40093333064711e-47,1,FALSE
-11.3201138752,0.23114032896151,NA,0.00871291664307822,-5.69965473772743e-05,NA,NA,7,-274.646205328703,563.305893262438,245.103316377339,5.97710796446456e-54,1,FALSE
-11.3863473189654,0.231269838183304,NA,0.0030489203258141,NA,0.00866850695811934,NA,7,-276.594934536981,567.203351678994,249.000774793894,8.5146883873634e-55,1,FALSE
-11.1913669974037,0.231310163900082,NA,0.00315543558076148,NA,NA,NA,6,-290.637432121875,593.28497498039,275.082398095291,1.84763516462106e-60,1,FALSE
-11.9018872242809,0.634039318396604,-0.0445102429834588,NA,NA,0.0110952221722151,NA,7,-313.631957224683,641.277397054398,323.074820169298,7.00154975356701e-71,1,FALSE
-4.98082934263701,0.230255977292803,NA,NA,NA,-0.537427662370153,0.0118757591659538,7,-326.694814090934,667.403110786899,349.200533901799,1.48616669447754e-76,1,TRUE
-11.6428374239509,0.631662908241344,-0.0442403333630641,NA,NA,NA,NA,6,-336.319211042519,684.648532821677,366.445955936577,2.67467926232589e-80,1,FALSE
-11.2943763115553,0.230406504062112,NA,NA,NA,0.010988233920284,NA,6,-382.876688712531,777.763488161702,459.560911276602,1.61293203275809e-100,1,FALSE
-4.85263573011128,NA,NA,0.0101143315866729,-7.59335401719765e-05,-0.47617993677281,0.0105252891157861,8,-383.401636135313,782.820609135544,464.618032250444,1.28669673945208e-101,1,TRUE
-11.0409539002397,0.230443792355379,NA,NA,NA,NA,NA,5,-404.979783633353,819.966788352275,501.764211467176,1.10480561200067e-109,1,FALSE
-5.35878417937745,NA,NA,0.0027666778377083,NA,-0.416907356364434,0.00922779891229302,7,-410.810626229981,835.634735064993,517.432158179894,4.37556834311604e-113,1,TRUE
-10.4252890833721,NA,NA,0.00911791421646573,-6.16621935705953e-05,0.00945894734764045,NA,7,-425.13901805659,864.291518718213,546.088941833113,2.61994978019524e-119,1,FALSE
-10.2055216982819,NA,NA,0.00895473067132035,-5.87919802399185e-05,NA,NA,6,-441.515277965027,895.040666666693,576.838089781594,5.5106182747474e-126,1,FALSE
-10.2737097423675,NA,NA,0.00311190097214596,NA,0.00896595144459309,NA,6,-443.462842631568,898.935795999776,580.733219114677,7.85929771250739e-127,1,FALSE
-10.0716057552186,NA,NA,0.00322248701402924,NA,NA,NA,5,-458.145942922223,926.299106930016,608.096530044917,8.98496249223393e-133,1,FALSE
-3.71036471030912,NA,NA,NA,NA,-0.55111805652736,0.0121798302064641,6,-493.977585345256,999.965281427151,681.762704542051,9.05961464129861e-149,1,TRUE
-10.1846037446126,NA,NA,NA,NA,0.0113431245976095,NA,5,-551.789443701455,1113.58610848848,795.38353160338,1.92601920788985e-173,1,FALSE
-9.92249359209392,NA,NA,NA,NA,NA,NA,4,-574.838151474181,1157.6811164261,839.478539541001,5.12331785329542e-183,1,FALSE
