"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-8.83352871247005,0.132849526759494,-0.000902439966707931,0.00616059627574689,0.00149158720211127,-0.00386672204707995,0.000505240295528923,10,-113855.728801442,227731.459286141,0,0.541973055859694,0.541973055859694,TRUE
-8.94978475078455,0.132875424046578,-0.00090246383238394,0.00603236360085062,0.0015240360960009,0.0115135273744612,NA,9,-113856.897346124,227731.796069448,0.336783307866426,0.45797959642651,0.999952652286203,FALSE
-8.82047826095576,0.132951223432521,-0.000902386449228713,0.0157067489666464,NA,-0.00720607709911765,0.000606394987826938,9,-113866.480766667,227750.962910534,19.5036243929353,3.15369341061196e-05,0.99998418922031,TRUE
-8.96027231503097,0.13298482376892,-0.000902411362397923,0.0158025191276476,NA,0.0112466454240498,NA,8,-113868.171371795,227752.343845342,20.8845592009311,1.58107796903736e-05,1,FALSE
-8.76838273892771,0.132985532929082,-0.000902191210061775,0.00607217250763698,0.00114107633308616,NA,NA,8,-113979.206896094,227974.41489394,242.955607799202,9.48064290417245e-54,1,FALSE
-8.77943525380584,0.133065423843994,-0.000902151435931435,0.0134292851631529,NA,NA,NA,7,-113985.553116603,227985.107090118,253.647803977103,4.51915137761071e-56,1,FALSE
-8.65220460373486,0.133299531574206,-0.000900909873371511,NA,NA,-0.021553613910696,0.000993496719850105,8,-114043.508455079,228103.01801191,371.558725769253,1.12467112172898e-81,1,TRUE
-8.88047194661473,0.133359097668301,-0.000900936415747132,NA,NA,0.00865281082258107,NA,7,-114048.054959635,228110.11077618,378.651490039629,3.24228622989355e-83,1,FALSE
-8.74580362041017,0.133374505261823,-0.000900877993416264,NA,NA,NA,NA,6,-114119.907364979,228251.815372636,520.356086494954,5.49653757746301e-114,1,FALSE
-7.70716291293376,0.0570061949631356,NA,0.00626537250975148,0.00127289795609783,-0.00371048314831166,0.000482595421661621,9,-116582.285403061,233182.572183322,5451.11289718145,0,1,TRUE
-7.81803781355882,0.0570277445374193,NA,0.00613774097022346,0.001303892351979,0.0109753498212567,NA,8,-116583.365401894,233182.731905539,5451.27261939863,0,1,FALSE
-7.69580828686843,0.0570932015642519,NA,0.0143968625082823,NA,-0.0065678322965329,0.000569024687991963,8,-116590.231093031,233196.463287813,5465.00400167223,0,1,TRUE
-7.82678790553668,0.0571213051767147,NA,0.0144801882142355,NA,0.0107415698164614,NA,7,-116591.739014172,233197.478885255,5466.01959911475,0,1,FALSE
-7.64474535798871,0.0571502085632608,NA,0.00610352401856777,0.00092970531281931,NA,NA,7,-116696.183078848,233406.367014608,5674.90772846734,0,1,FALSE
-7.65367426711298,0.0572155644313284,NA,0.0120888925900162,NA,NA,NA,6,-116700.459386585,233412.919415848,5681.46012970744,0,1,FALSE
-7.54685887419968,0.0574997292329176,NA,NA,NA,-0.0189820180771505,0.000896222287884345,7,-116740.088586023,233494.178028957,5762.71874281668,0,1,TRUE
-7.75249176982351,0.057548214852525,NA,NA,NA,0.00825796594442548,NA,6,-116743.834095369,233499.668833416,5768.20954727507,0,1,FALSE
-7.62388021057828,0.0575660033704117,NA,NA,NA,NA,NA,5,-116810.524676156,233631.049811364,5899.59052522341,0,1,FALSE
-5.45312958578085,NA,NA,0.00296089196037147,0.00206737020965742,-0.0237415286694946,0.00115139396457074,8,-121795.89885494,243607.798811631,15876.3395254906,0,1,TRUE
-5.7153558956884,NA,NA,0.00264527420446151,0.00214006016620708,0.0112802955914839,NA,7,-121802.20570119,243618.412259291,15886.9529731509,0,1,FALSE
-5.42937403618279,NA,NA,0.0161224958150593,NA,-0.0283265019335584,0.00128950066118236,7,-121817.410716339,243648.822289589,15917.3630034486,0,1,TRUE
-5.72335539152808,NA,NA,0.0162878475499975,NA,0.0108808142378388,NA,6,-121825.356326088,243662.713294855,15931.254008714,0,1,FALSE
-5.53149052766931,NA,NA,0.00252931226099858,0.00174138451630596,NA,NA,6,-121924.730219636,243861.461081951,16130.0017958105,0,1,FALSE
-5.54336940797486,NA,NA,0.0137066999116695,NA,NA,NA,5,-121940.1374001,243890.275259253,16158.8159731128,0,1,FALSE
-5.25295403340492,NA,NA,NA,NA,-0.0409556591996139,0.00160923428308536,6,-122008.477862292,244028.956367262,16297.4970811215,0,1,TRUE
-5.61848360481469,NA,NA,NA,NA,0.0079352310631431,NA,5,-122020.866729781,244051.733918615,16320.2746324742,0,1,FALSE
-5.49398577491072,NA,NA,NA,NA,NA,NA,4,-122084.589591347,244177.179488727,16445.7202025861,0,1,FALSE
