"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
-8.4370643239701,0.0896505728297158,-0.000543174203068023,0.0159378936727646,0.000626595416951883,0.0434535972331414,-0.000847024234073901,10,-25695.2664431531,51410.5367019086,0,0.680562292361058,0.680562292361058
-8.43067062582906,0.0896645943380943,-0.000542843831971992,0.019885247026644,NA,0.0419491535142767,-0.000801649512022425,9,-25697.3222180999,51412.6475580021,2.11085609354632,0.236865225412058,0.917427517773116
-8.24202254985747,0.0896295194363097,-0.000543307583279659,0.0162028421025094,0.000569263497274646,0.0176543642419494,NA,9,-25698.777674037,51415.5584698764,5.02176796780986,0.0552592293276983,0.972686747100814
-8.24572451522356,0.0896433470204778,-0.000542999332365278,0.0197937288459295,NA,0.0175426276398818,NA,8,-25700.4826495734,51416.9677965454,6.43109463685687,0.0273132528991861,1
-8.13449401997686,0.0895421246875652,-0.000537257396932937,NA,NA,0.0140225251279724,NA,7,-26010.7811984595,52035.5643393064,625.027637397776,1.2877777086395e-136,1
-8.23450289187534,0.089553259685786,-0.000537156113210543,NA,NA,0.0272480024379271,-0.0004346905896035,8,-26009.8616583587,52035.7258141159,625.189112207278,1.18789237283124e-136,1
-7.95823883832187,0.0895811172620545,-0.000541724394352869,0.0157801425505542,NA,NA,NA,7,-26013.4079322217,52040.8178068308,630.2811049222,9.31247081837433e-138,1
-7.95919635321982,0.0895835722061555,-0.000541672407117932,0.0164060466443388,-9.8522391402031e-05,NA,NA,8,-26013.3571010318,52042.7166994622,632.179997553591,3.60350914939102e-138,1
-7.91381753798784,0.0895035033854889,-0.000537083086507522,NA,NA,NA,NA,6,-26217.0365979115,52446.0746525884,1035.53795067978,9.30377056223411e-226,1
-6.96931901275047,0.0284021533348584,NA,0.0163635761917025,0.000484327669016208,0.0438047356651144,-0.000867062430815966,9,-26389.3110174911,52796.6251567846,1386.088454876,7.04018694304122e-302,1
-6.96507539981694,0.0284422043392575,NA,0.0194118619420361,NA,0.0426441181886021,-0.000832084301291245,8,-26390.5531893687,52797.1088761359,1386.57217422734,5.52771786964687e-302,1
-6.77278831204287,0.0284024813523997,NA,0.019321812009044,NA,0.0173149973399288,NA,7,-26393.9952642152,52801.9924708178,1391.45576890927,4.80935413958004e-303,1
-6.7694122096056,0.0283657910844699,NA,0.0166385187650168,0.000425807433716735,0.0173992773566641,NA,8,-26393.0305320232,52802.0635614449,1391.52685953637,4.6414066936973e-303,1
-6.78988350683009,0.0289226958135723,NA,NA,NA,0.0288371571943518,-0.000493927284888133,7,-26690.7365371228,53395.4750166331,1984.9383147245,0,1
-6.67598107425692,0.0288972307058528,NA,NA,NA,0.0138114076188371,NA,6,-26691.9363604341,53395.8741776336,1985.33747572498,0,1
-6.49091540590613,0.0284642930980566,NA,0.0152634152382616,NA,NA,NA,6,-26702.3887901847,53416.7790371347,2006.24233522615,0,1
-6.49358550836218,0.0284847647533058,NA,0.0167825648686382,-0.000239301552858032,NA,NA,7,-26702.0854773329,53418.1728970533,2007.6361951447,0,1
-6.45861488930613,0.0288716194278543,NA,NA,NA,NA,NA,5,-26894.7296517654,53799.4603440594,2388.92364215082,0,1
-5.40549299146919,NA,NA,0.0137839175685162,0.00109986956450097,0.0330289457792927,-0.000508485970216895,8,-27556.8547760962,55129.7120495908,3719.17534768227,0,1
-5.28943219897339,NA,NA,0.0139472011268617,0.00106563073924938,0.0175459815282136,NA,7,-27558.146109127,55130.2941606414,3719.75745873278,0,1
-5.29294289405088,NA,NA,0.0206560969110453,NA,0.0173322767498885,NA,6,-27564.2478515111,55140.4971597874,3729.96045787883,0,1
-5.3909627853857,NA,NA,0.020700157099399,NA,0.0303901306098604,-0.000429032326510241,7,-27563.3239792489,55140.6499008853,3730.11319897669,0,1
-5.00702421771928,NA,NA,0.0165233509589704,NA,NA,NA,5,-27876.4062991841,55762.8136388968,4352.27693698822,0,1
-5.00441284637473,NA,NA,0.0140134184257247,0.000395702868312168,NA,NA,6,-27875.5685049104,55763.138466586,4352.60176467744,0,1
-5.15994848929013,NA,NA,NA,NA,0.0135069637081848,NA,5,-27907.4677253416,55824.9364912118,4414.39978930318,0,1
-5.17845886184815,NA,NA,NA,NA,0.0159785712970072,-8.12587577500112e-05,6,-27907.4349164549,55826.8712896751,4416.33458776656,0,1
-4.94853569963702,NA,NA,NA,NA,NA,NA,4,-28103.9254942501,56215.8516821738,4805.31498026523,0,1
