"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
0.468327433632251,-0.112564689552216,0.00170042626318362,-0.246846769312011,0.437668840225014,0.123320387773619,-0.00273004340229413,10,-6066.62638606319,12153.2952022132,0,0.735902123914235,0.735902123914235,TRUE
-0.0640452852322039,-0.11199789396893,0.00167575634994102,0.642260122507734,NA,0.131663094379295,-0.0028922840094104,9,-6068.65502403973,12155.3447569109,2.04955469777269,0.26409787608574,0.999999999999974,FALSE
-0.395487928473651,-0.0377862222924155,NA,0.0125946205072203,0.315292768450858,0.12661273265774,-0.00279070318936111,9,-6099.28066890738,12216.5960466462,63.3008444330662,1.32195398336299e-14,0.999999999999987,FALSE
-0.771271232636869,-0.0381746755793826,NA,0.652601125740864,NA,0.132645181945053,-0.00290794316089566,8,-6100.33764463438,12216.7030509807,63.4078487675724,1.25308531880744e-14,1,FALSE
2.45445637083425,-0.115282939977153,0.001781704731796,-1.63200520735426,1.1283264960662,NA,NA,8,-6116.80995831876,12249.6476783495,96.3524761363369,8.79317475729278e-22,1,TRUE
2.40366109997766,-0.115342662132568,0.00177697255881107,-1.56782961526028,1.0953524004033,0.00111127373599798,NA,9,-6116.65672269683,12251.3481542251,98.0529520119708,3.75744004704847e-22,1,TRUE
1.25655914422808,-0.114266833353302,0.00172174015611276,0.659940169092961,NA,0.00410717158875174,NA,8,-6130.33704256753,12276.701846847,123.406644633869,1.17329618625154e-27,1,FALSE
1.32226665040221,-0.113913738623923,0.00173413426906565,0.67161791183221,NA,NA,NA,7,-6132.60742153351,12279.2364313477,125.941229134503,3.30392079750853e-28,1,FALSE
0.574019896629069,-0.11875723988263,0.00173617023830686,NA,NA,0.138238167303947,-0.00298937584919879,8,-6139.7914646209,12295.6106909538,142.315488740605,9.19187969636699e-32,1,FALSE
1.62225469559875,-0.0366927270766482,NA,-1.43475319305715,1.0385535806357,NA,NA,7,-6152.07429394341,12318.1701761675,164.874973954302,1.16057807061423e-36,1,TRUE
1.54512377627979,-0.0371197864916715,NA,-1.33326622710916,0.986272201798053,0.0017597091248522,NA,8,-6151.69252101926,12319.4128037505,166.117601537328,6.23506821174281e-37,1,TRUE
0.534374253232126,-0.0383844082319181,NA,0.671096005078542,NA,0.00448519687564644,NA,7,-6162.82085463002,12339.6632975407,186.368095327529,2.49748192950976e-41,1,FALSE
0.600082081745208,-0.0374003676913373,NA,0.684343906323097,NA,NA,NA,6,-6165.51573948284,12343.0476670559,189.752464842717,4.59828464865273e-42,1,FALSE
-0.965822165549795,NA,NA,-0.229457587821911,0.464960605906723,0.118270095503865,-0.00267736006838998,8,-6164.74531124359,12345.5183841991,192.223181985988,1.33686157649588e-42,1,TRUE
-1.53123040965453,NA,NA,0.713054052681404,NA,0.127186021389846,-0.00285003072390532,7,-6167.02781829911,12348.0772248789,194.78202266571,3.71912904424098e-43,1,FALSE
-0.151924877351356,-0.0423013366811589,NA,NA,NA,0.139522433124841,-0.00300898349439001,7,-6173.44864366923,12360.9188756191,207.623673405953,6.0521853508753e-46,1,FALSE
1.96026940527872,-0.121355199077237,0.00178550093138075,NA,NA,0.00643464190075584,NA,7,-6203.66231128411,12421.3462108489,268.051008635699,4.57386241747593e-59,1,FALSE
2.08511147074175,-0.121049472747046,0.00180695480928243,NA,NA,NA,NA,6,-6209.11693186909,12430.2500518284,276.954849615202,5.33136718146644e-61,1,FALSE
0.849482102778886,NA,NA,-1.46475008486436,1.08060825582281,NA,NA,6,-6213.60007237942,12439.216332849,285.921130635867,6.02331268446043e-63,1,TRUE
0.915434176240043,NA,NA,-1.54376258334838,1.1213109234956,-0.00132486660175565,NA,7,-6213.38519165728,12440.7919715952,287.496769382054,2.73961668516669e-63,1,TRUE
-0.227573247913914,NA,NA,0.738203839971774,NA,NA,NA,5,-6228.18894764296,12466.3894559796,313.094253766398,7.57297796525278e-69,1,FALSE
-0.263551086558836,NA,NA,0.732425070185453,NA,0.00188458830847902,NA,6,-6227.71500542018,12467.4461989305,314.150996717381,4.46475751538961e-69,1,FALSE
1.22012350942027,-0.0426935603895795,NA,NA,NA,0.00696199437068484,NA,6,-6238.31162525139,12488.639438593,335.344236379806,1.1162060122954e-73,1,FALSE
1.34562945799545,-0.0413367623966075,NA,NA,NA,NA,NA,5,-6244.6731532571,12499.3578672079,346.06266499469,5.25130395053013e-76,1,FALSE
-0.947242030639087,NA,NA,NA,NA,0.134584869323641,-0.00295675166825864,6,-6253.49893646235,12519.0140610149,365.71885880172,2.83125446065486e-80,1,FALSE
0.385256939659349,NA,NA,NA,NA,0.00469136260952931,NA,5,-6316.91724968116,12643.846060056,490.550857842809,2.2133736190882e-107,1,FALSE
0.488794810790406,NA,NA,NA,NA,NA,NA,4,-6319.77247654726,12647.5526587389,494.257456525738,3.46878236035084e-108,1,FALSE
