"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.573776195515634,NA,NA,-0.0711152118384541,NA,0.0122835764261921,-5.13327310365057e-05,7,-1447.31151937121,2908.66043440185,0,0.244492684636714,0.244492684636714,FALSE
-0.16579040204133,NA,NA,-0.0780840728593897,NA,0.00339327297299877,NA,6,-1448.50608175265,2909.04020088847,0.379766486622884,0.202209066625465,0.446701751262179,FALSE
-1.05511993836013,NA,NA,0.161994499556455,-0.0270892886662705,0.0118711988601101,-4.90080256809992e-05,8,-1447.14744618995,2910.34298857228,1.68255417042792,0.105415354468566,0.552117105730745,FALSE
-0.820518869776136,NA,NA,0.227686088514723,-0.0354849551279704,0.00338047785008702,NA,7,-1448.22045480265,2910.47830526474,1.81787086289478,0.0985190526442502,0.650636158374995,FALSE
-0.573205911399368,-3.02610544050642e-05,NA,-0.0711201600194953,NA,0.012283299145687,-5.13314254105413e-05,8,-1447.31150568325,2910.67110755889,2.01067315704177,0.0894651183547919,0.740101276729787,FALSE
-0.163731127410274,-0.000111360589381834,NA,-0.0781013396756606,NA,0.0033930850112564,NA,7,-1448.50589840058,2911.04919246059,2.38875805874341,0.0740548740348068,0.814156150764594,FALSE
-1.05442637433847,-3.76210316071197e-05,NA,0.161995848775349,-0.0270901598971797,0.0118708388316505,-4.90063149684627e-05,9,-1447.14742514698,2912.35499062139,3.69455621953784,0.0385481179964999,0.852704268761094,FALSE
-0.818391425841541,-0.000117100074321886,NA,0.227685624373704,-0.0354870077452996,0.00338028011966337,NA,8,-1448.22025206627,2912.48860032493,3.82816592308563,0.0360570507538511,0.888761319514945,FALSE
-0.548211118242429,-0.00308967353222453,7.01963946701894e-05,-0.0711304345724633,NA,0.012290269030411,-5.13751335147816e-05,9,-1447.28787212149,2912.63588457041,3.97545016855838,0.0334971481213723,0.922258467636317,FALSE
-0.139433714599997,-0.00304563870340012,6.7343196797372e-05,-0.0781168212379055,NA,0.00339251287460167,NA,8,-1448.48423443152,2913.01656505542,4.35613065357438,0.0276913492228873,0.949949816859204,FALSE
-1.02963461222318,-0.00311081632163149,7.05152915669966e-05,0.162137758781669,-0.027107848685237,0.0118775745762243,-4.90487230572901e-05,10,-1447.12358005083,2914.32068951342,5.66025511156886,0.0144263707373141,0.964376187596518,FALSE
-0.794325336735346,-0.00307693855762141,6.79332817634479e-05,0.227875940995064,-0.0355108683026037,0.00337969171416208,NA,9,-1448.19821052204,2914.45656137151,5.79612696965887,0.013478851532268,0.977855039128786,FALSE
-1.05292851257415,NA,NA,NA,NA,0.0158441994139296,-6.8606244421813e-05,6,-1451.39193471092,2914.81190680501,6.15147240316719,0.0112847153612221,0.989139754490008,FALSE
-1.06281141808028,0.000555530164862911,NA,NA,NA,0.0158453111763486,-6.86116687072662e-05,7,-1451.3872171751,2916.81183000964,8.15139560779062,0.00415157418865631,0.993291328678665,FALSE
-0.553946466615453,NA,NA,NA,NA,0.00403923973502019,NA,5,-1453.58840946245,2917.19683894491,8.53640454306333,0.00342459465994555,0.99671592333861,FALSE
-1.0386130819227,-0.00241567450278763,6.81934984027867e-05,NA,NA,0.0158526192142394,-6.86567745244302e-05,8,-1451.36470194824,2918.77750008887,10.117065687024,0.00155372076091622,0.998269644099526,FALSE
-0.563033349935327,0.00051273610598447,NA,NA,NA,0.00403941569973924,NA,6,-1453.58441459186,2919.1968665669,10.5364321650572,0.00125982057024125,0.999529464669768,FALSE
-0.540031963364162,-0.00227465082722812,6.39922055474416e-05,NA,NA,0.00403899322592831,NA,7,-1453.56466387774,2921.16672341491,12.5062890130648,0.000470500095137641,0.999999964764905,FALSE
0.345125410397534,NA,NA,-0.129158246943147,NA,NA,NA,5,-1465.93120043767,2941.88242089536,33.2219864935123,1.49349290338447e-08,0.999999979699834,FALSE
-0.46333749797451,NA,NA,0.247540333180585,-0.0436889813814325,NA,NA,6,-1465.50403077308,2943.03609892934,34.3756645274966,8.38851646470169e-09,0.999999988088351,FALSE
0.361881916149861,-0.000918291052845514,NA,-0.129283658644997,NA,NA,NA,6,-1465.91860688451,2943.86525115219,35.2048167503467,5.54162385024291e-09,0.999999993629975,FALSE
-0.446730526360767,-0.000918856546260942,NA,0.247489417591067,-0.0436976417799861,NA,NA,7,-1465.49142314404,2945.02024194751,36.3598075456612,3.110527027071e-09,0.999999996740502,FALSE
0.389603320957779,-0.00426408662619025,7.65303626001769e-05,-0.129292078670832,NA,NA,NA,7,-1465.89010582859,2945.81760731662,37.1571729147727,2.08779709663836e-09,0.999999998828299,FALSE
-0.41925271283635,-0.00429428250590257,7.72090206856477e-05,0.247708568071345,-0.0437240387321914,NA,NA,8,-1465.4624172593,2946.97293071099,38.3124963091436,1.17169075120096e-09,0.99999999999999,FALSE
-0.204478250316144,NA,NA,NA,NA,NA,NA,4,-1481.51967654267,2971.05269531349,62.3922609116407,6.91764953175105e-15,0.999999999999997,FALSE
-0.205268690837699,4.47275685906691e-05,NA,NA,NA,NA,NA,5,-1481.51964500473,2973.05931002947,64.3988756276249,2.53645818074606e-15,0.999999999999999,FALSE
-0.178754492632645,-0.00315827540077599,7.32544553414023e-05,NA,NA,NA,NA,6,-1481.49292033714,2975.01387805746,66.3534436556124,9.54549933797089e-16,1,FALSE
