"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-1.75288620646232,NA,NA,0.776802180536489,-0.106184588663792,0.0120715277637672,-6.65728102946288e-05,8,-1041.2282384769,2098.48960324779,0,0.422669419810444,0.422669419810444
-1.65813680540503,-0.00393357343611233,NA,0.776702038016059,-0.106254290755448,0.0120345767634792,-6.63628841028228e-05,9,-1040.52363212813,2099.08868165156,0.599078403768999,0.313265526431283,0.735934946241728
-1.57371144846052,-0.0108354512731724,8.87801689036975e-05,0.776346143398692,-0.106240708019435,0.0120274791166038,-6.6305421346555e-05,10,-1039.95005004152,2099.95073299443,1.4611297466422,0.203573167707164,0.939508113948892
-1.41089612615651,NA,NA,0.85593795400044,-0.11657185711227,0.000551541247744303,NA,7,-1045.9346584472,2105.89507586403,7.4054726162417,0.0104213235867009,0.949929437535592
-1.38969037419033,NA,NA,0.875940741515378,-0.119805339228796,NA,NA,6,-1047.0289815128,2106.0772778106,7.58767456281475,0.00951389230819456,0.959443329843787
-1.31441041386808,-0.00407623142505134,NA,0.855826948748352,-0.116636855545938,0.000550875618144423,NA,8,-1045.18536151464,2106.40384932328,7.91424607549197,0.00808060965718875,0.967523939500976
-1.29252370346805,-0.0041007703411219,NA,0.87574157244265,-0.119859722757145,NA,NA,7,-1046.27339339435,2106.57254575835,8.08294251055713,0.00742697843268603,0.974950917933662
0.126831192180049,NA,NA,-0.132663728268725,NA,0.0133946380807465,-7.37584609811533e-05,7,-1046.40203640874,2106.82983178712,8.34022853932993,0.00653045154618516,0.981481369479847
-1.2291583188159,-0.0110864563335866,9.01023410356479e-05,0.855510801786621,-0.116626505201013,0.000553739288358343,NA,9,-1044.59591183212,2107.23324105955,8.74363781176135,0.00533757512914803,0.986818944608995
0.22335819228538,-0.00395792960090855,NA,-0.133367593185948,NA,0.0133601038417177,-7.35634008465271e-05,8,-1045.68573585747,2107.40459800893,8.91499476113677,0.00489930314396952,0.991718247752964
-1.20764196771737,-0.0110640412741392,8.94660118056765e-05,0.875500252528525,-0.119862803806472,NA,NA,8,-1045.69334484889,2107.41981599178,8.93021274399507,0.00486216585616772,0.996580413609132
0.30812682963967,-0.010913516110566,8.95123828367007e-05,-0.13360869426153,NA,0.0133537739413538,-7.35107840431175e-05,9,-1045.10109237045,2108.2436021362,9.75399888840684,0.00322067484197682,0.999801088451109
0.715683876945034,NA,NA,-0.143672819290909,NA,0.000639929759140552,NA,6,-1052.22258821575,2116.4644912165,17.9748879687095,5.28206205231469e-05,0.999853909071632
0.814295604564506,-0.00411401370454456,NA,-0.144349190704183,NA,0.000639070646169406,NA,7,-1051.45710324239,2116.93996545443,18.4503622066391,4.1644301299805e-05,0.999895553372932
0.809141522343074,NA,NA,-0.152674799115289,NA,NA,NA,5,-1053.69722986083,2117.40825282511,18.9186495773165,3.29509749861538e-05,0.999928504347918
0.900155862139113,-0.0111910897329668,9.09917981362522e-05,-0.144578478421824,NA,0.00064185715341875,NA,8,-1050.85459728444,2117.74232086288,19.252717615087,2.78821536905436e-05,0.999956386501609
0.908395377876924,-0.00414624947048027,NA,-0.153347296954061,NA,NA,NA,6,-1052.92278602275,2117.86488683051,19.3752835827245,2.62247559353538e-05,0.999982611257544
0.994082659640108,-0.0111730846060075,9.0311258336409e-05,-0.15361623579856,NA,NA,NA,7,-1052.33044476659,2118.68664850282,20.197045255029,1.7388742455561e-05,1
-0.773984508695867,NA,NA,NA,NA,0.0203620258291943,-0.000108449371753034,6,-1078.92302702556,2169.86536883612,71.3757655883337,1.3395232603625e-16,1
-0.701876714716702,-0.00309145558517318,NA,NA,NA,0.0203535769280736,-0.000108376432362581,7,-1078.44453206002,2170.91482308968,72.4252198418931,7.92618425197311e-17,1
-0.625704411841204,-0.00949208082525009,8.30245612503345e-05,NA,NA,0.0203547145787114,-0.000108356391737841,8,-1077.92413326898,2171.88139283195,73.3917895841587,4.8885066577928e-17,1
0.012651688115502,NA,NA,NA,NA,0.00173108993264133,NA,5,-1091.72220542683,2193.45820395711,94.9686007093251,1.0088607049709e-21,1
0.0879697925004292,-0.00325227613058,NA,NA,NA,0.00173523826089326,NA,6,-1091.19414076575,2194.40759631651,95.9179930687196,6.27586040894806e-22,1
0.165674819255055,-0.00979364579155927,8.48518925357938e-05,NA,NA,0.00173985223239949,NA,7,-1090.64921753858,2195.3241940468,96.8345907990138,3.96859341120052e-22,1
0.162250617254384,NA,NA,NA,NA,NA,NA,4,-1103.47454213574,2214.95827756038,116.468674312586,2.16346335482204e-26,1
0.235760957701843,-0.00316026873334233,NA,NA,NA,NA,NA,5,-1102.97338074594,2215.96055459532,117.470951347531,1.31071373556467e-26,1
0.310661917508692,-0.0094339860821713,8.13806680094667e-05,NA,NA,NA,NA,6,-1102.47239781028,2216.96411040556,118.47450715777,7.93575909085785e-27,1
