"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-1.69348772249797,0.3689295288881,-0.00951822571034807,NA,NA,NA,NA,6,-92.9619978183347,198.181664348326,0,0.309565158333808,0.309565158333808,FALSE
-1.88019080642335,0.369103398672249,-0.00946309707917698,0.0617311398672349,NA,NA,NA,7,-92.442574042977,199.229763470569,1.04809912224351,0.183299061824209,0.492864220158017,FALSE
-1.73541472794692,0.368846515540491,-0.00950921743241029,NA,NA,0.000554561729056026,NA,7,-92.7793843936871,199.90338417199,1.72171982366382,0.130883640218011,0.623747860376028,FALSE
-2.07781945446121,0.368988017367435,-0.00941085406968006,0.0969954575087738,NA,0.00120526156309986,NA,8,-91.7450116011411,199.934467646727,1.75280329840081,0.128865206666469,0.752613067042497,FALSE
-1.48686243997394,0.369502424438277,-0.00947971128835502,-0.212606561464101,0.0471190115330781,NA,NA,8,-92.401192117767,201.246828679978,3.06516433165262,0.0668590339390146,0.819472100981511,TRUE
-1.8891399752914,0.368774262171568,-0.00951383944424975,NA,NA,0.00475151029852454,-2.76177939108282e-05,8,-92.6772404545466,201.798925353538,3.61726100521179,0.0507310472564137,0.870203148237925,FALSE
-2.22309320414607,0.368937476046764,-0.00941628149756917,0.0965935554629443,NA,0.00520482244435782,-2.63369437349978e-05,9,-91.651382743656,201.860041029108,3.67837668078181,0.0492042625681922,0.919407410806117,FALSE
-1.57236421850458,0.369513254743251,-0.00943141483696593,-0.257947747263218,0.0611007756775682,0.00123267106658121,NA,9,-91.675367355732,201.90801025326,3.72634590493379,0.0480381576063334,0.967445568412451,TRUE
-1.78625271659691,0.369378273360717,-0.00943267637017387,-0.197963168390989,0.0507139959414611,0.0047513373672489,-2.32009049980881e-05,10,-91.6047272216081,203.892684256881,5.71101990855493,0.0178081931980914,0.985253761610542,TRUE
-0.71790008125303,0.131338903663416,NA,NA,NA,NA,NA,5,-98.2486878131002,206.680861864733,8.49919751640675,0.0044174819513959,0.989671243561938,FALSE
-0.909246249329928,0.132249392154351,NA,0.063663724572991,NA,NA,NA,6,-97.6830634017634,207.623795515183,9.44213116685751,0.00275688939752895,0.992428132959467,FALSE
-1.11276251002426,0.132822018107859,NA,0.10053819213287,NA,0.00124915947531371,NA,7,-96.9120306425451,208.168676669706,9.98701232137984,0.00209942277313776,0.994527555732605,FALSE
-0.760444204231846,0.131355482154395,NA,NA,NA,0.000574130129612345,NA,6,-98.0465992836182,208.350867278893,10.1692029305671,0.0019166275024302,0.996444183235035,FALSE
-0.665482817878208,0.13227878992069,NA,-0.10635212104926,0.0292042657552495,NA,NA,7,-97.666738011519,209.678091407653,11.4964270593276,0.000987039784389283,0.997431223019424,TRUE
-1.23992200451311,0.132711273937898,NA,0.100124235939872,NA,0.00474390540256357,-2.30178486543306e-05,8,-96.8385825319875,210.12160950842,11.9399451600937,0.000790725830661311,0.998221948850086,FALSE
-0.749467224532455,0.132875400060769,NA,-0.154513701048939,0.0439115275866959,0.0012689377452642,NA,8,-96.8751306492481,210.194705742941,12.013041394615,0.000762348026703776,0.998984296876789,TRUE
-0.897361641441923,0.131246422919589,NA,NA,NA,0.00429672816336836,-2.44990774511724e-05,7,-97.9639469234157,210.272509231447,12.0908448831211,0.000733260798846783,0.999717557675636,FALSE
-0.942620404361424,0.132763509121869,NA,-0.100225400641817,0.0345002490490269,0.00443328349242312,-2.08696150447675e-05,9,-96.8164376499029,212.190150841602,14.0084864932757,0.000281091609889808,0.999998649285526,TRUE
0.916389606867665,NA,NA,NA,NA,NA,NA,4,-108.415532325171,224.953015869854,26.7713515215283,4.75802758236061e-07,0.999999125088284,FALSE
0.781166639034845,NA,NA,0.0480994373035763,NA,NA,NA,5,-108.103666341047,226.390818920626,28.2091545723002,2.3185261033917e-07,0.999999356940894,FALSE
0.875117859511646,NA,NA,NA,NA,0.000559800483702899,NA,5,-108.229693330923,226.642872900378,28.4612085520517,2.04399186757399e-07,0.999999561340081,FALSE
0.607343037302998,NA,NA,0.0809403704535179,NA,0.00110534745322587,NA,6,-107.521238971188,227.300146654032,29.1184823057065,1.47147870480147e-07,0.999999708487952,FALSE
0.988227969905204,NA,NA,-0.0960336509807025,0.0247554913581498,NA,NA,6,-108.092318507727,228.442305727111,30.2606413787853,8.31260779135387e-08,0.99999979161403,TRUE
0.729699467536409,NA,NA,NA,NA,0.00447562420499462,-2.57724118910894e-05,6,-108.141233161521,228.540135034698,30.3584706863726,7.91578383080385e-08,0.999999870771868,FALSE
0.471422530394379,NA,NA,0.0804414680897635,NA,0.00480614463113682,-2.43794935109216e-05,7,-107.441563838314,229.227743061243,31.0460787129171,5.6128280778622e-08,0.999999926900149,FALSE
0.917778441234879,NA,NA,-0.136495465432745,0.0374304883101262,0.0011219274426877,NA,7,-107.495287288627,229.335189961869,31.1535256135429,5.31924436121683e-08,0.999999980092592,TRUE
0.706803641030589,NA,NA,-0.0777859734302992,0.0272439447928858,0.00456161286895547,-2.26891286723145e-05,8,-107.428197200598,231.30083884564,33.1191744973146,1.99074076664166e-08,1,TRUE
