"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-11.7560796401404,0.341236391402278,-0.00741626784938564,NA,NA,0.0517961777565171,-0.000316685605951956,8,-239.059418946009,494.385011644328,0,0.579611765480284,0.579611765480284,FALSE
-11.8520580228037,0.342296370783747,-0.00743101052950926,0.0305341274334591,NA,0.0515824555408148,-0.0003140903158025,9,-238.932985563591,496.199304460516,1.8142928161875,0.233974492137642,0.813586257617926,FALSE
-10.2218283371055,0.341708134227686,-0.00743040348401068,-1.0753908355631,0.190272186625049,0.0507479336049057,-0.000308439381757916,10,-238.203055889879,496.814275045065,2.42926340073649,0.172039965809992,0.985626223427918,TRUE
-9.69380013108194,0.342564833034145,-0.00740580694508276,NA,NA,NA,NA,6,-245.854582872361,503.863861877319,9.47885023299102,0.00506793477828252,0.9906941582062,FALSE
-9.76098495512167,0.342456137395982,-0.00739819163991707,NA,NA,0.000841684008651201,NA,7,-245.573529096424,505.353700259269,10.9686886149411,0.00240611689721358,0.993100275103414,FALSE
-9.76853619831941,0.343409007331727,-0.00741894250197717,0.0237327261304381,NA,NA,NA,7,-245.770290447841,505.747222962103,11.3622113177748,0.00197635225603754,0.995076627359452,FALSE
-7.97727900153411,0.342690103877701,-0.00741868414202505,-1.2120012718331,0.212315270135858,NA,NA,8,-244.884506100277,506.035185952864,11.650174308536,0.0017113308715856,0.996787958231037,TRUE
-9.92216395528757,0.343980257050159,-0.00741980502807396,0.0437607985085431,NA,0.00113379330332428,NA,8,-245.320310971854,506.906795696018,12.5217840516898,0.00110679282217661,0.997894751053214,FALSE
-8.0719942480447,0.343270079869956,-0.00741947436871044,-1.23902162174645,0.2206564360388,0.00121870692041865,NA,9,-244.364132540957,507.061598415247,12.6765867709192,0.00102435702603887,0.998919108079253,TRUE
-10.3573082063261,0.120156839969693,NA,NA,NA,0.0514567307216195,-0.000314442376714014,7,-246.902072257065,508.010786580552,13.6257749362235,0.000637290961939861,0.999556399041193,FALSE
-10.4337715642156,0.120595560972219,NA,0.0255241549197012,NA,0.0512661609149717,-0.000312195691163528,8,-246.812326141019,509.890826034349,15.505814390021,0.000248938678119581,0.999805337719312,FALSE
-8.83713742789519,0.120050424120488,NA,-1.05823204010699,0.186448401347145,0.050463918202623,-0.00030675654475937,9,-246.097166129769,510.527665592871,16.1426539485429,0.000181052458322619,0.999986390177635,TRUE
-8.30722992918073,0.121657611125998,NA,NA,NA,NA,NA,5,-253.751293320287,517.612880758221,23.2278691138932,5.23925457527394e-06,0.99999162943221,FALSE
-8.37619687184249,0.121686410608945,NA,NA,NA,0.000860082992769969,NA,6,-253.451240931408,519.057177995412,24.6721663510837,2.54474541854011e-06,0.999994174177629,FALSE
-8.36458406803079,0.121975671450542,NA,0.0190151575638088,NA,NA,NA,6,-253.69621249648,519.547121125557,25.1621094812288,1.99184042479429e-06,0.999996166018053,FALSE
-6.61202753005909,0.121310227560729,NA,-1.19032590665937,0.207767570634361,NA,NA,7,-252.83028193964,519.8672059457,25.4821943013716,1.69726246405158e-06,0.999997863280517,TRUE
-8.5147537615832,0.122350446786666,NA,0.0389850285680244,NA,0.00112108221026759,NA,7,-253.247018690048,520.700679446517,26.3156678021891,1.11882596215901e-06,0.99999898210648,FALSE
-6.70388728574035,0.121685207837851,NA,-1.21676646126679,0.21599450918467,0.00120391293722221,NA,8,-252.311797587177,520.889768926666,26.5047572823374,1.01789334894928e-06,0.999999999999828,TRUE
-8.88987444109171,NA,NA,NA,NA,0.0549673317499472,-0.000336204389399399,6,-270.490296092175,553.135288316947,58.7502766726191,1.01315690347823e-13,0.99999999999993,FALSE
-8.89089668974446,NA,NA,0.000375772038812878,NA,0.0549642317128233,-0.000336169371689013,7,-270.49027684459,555.1871957556,60.8021841112722,3.63170587842202e-14,0.999999999999966,FALSE
-7.07474363962585,NA,NA,-1.23887809481281,0.213170758661719,0.0540663196084723,-0.000330082361081298,8,-269.555276179062,555.376726110434,60.9917144661063,3.30335064204731e-14,0.999999999999999,TRUE
-6.67911011820807,NA,NA,NA,NA,NA,NA,4,-278.293284155,564.659962805412,70.2749511610841,3.18511736593213e-16,0.999999999999999,FALSE
-6.74805636496303,NA,NA,NA,NA,0.000864533826468726,NA,5,-277.989571168814,566.089436455276,71.7044248109478,1.55854440662134e-16,1,FALSE
-4.67746579976548,NA,NA,-1.38630877779742,0.237684729945938,NA,NA,6,-277.159388080732,566.47347229406,72.0884606497319,1.28625435453136e-16,1,TRUE
-6.67184170519227,NA,NA,-0.0026187153181947,NA,NA,NA,5,-278.29224794049,566.694789998628,72.3097783542999,1.15151163141194e-16,1,FALSE
-4.75738406260082,NA,NA,-1.40709213379856,0.244550973032772,0.00105657381367868,NA,7,-276.760828019621,567.728298105663,73.343286461335,6.86823102805396e-17,1,TRUE
-6.79747531987281,NA,NA,0.0149143437347176,NA,0.000965148495710444,NA,6,-277.960027531201,568.074751195,73.6897395506715,5.77581883595125e-17,1,FALSE
