"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-6.05257361220253,0.198090869707088,-0.00179495136985379,-2.45308249964284,0.408925473596188,0.0117363807035484,-7.39047690357947e-05,10,-887.414197177804,1794.94712074525,0,0.607603477086983,0.607603477086983,TRUE
-5.34089537572569,0.198092599185368,-0.00179591184932887,-2.61768830413088,0.434666596901604,NA,NA,8,-890.338256425768,1796.75414088388,1.80702013863402,0.246167555512811,0.853771032599794,TRUE
-5.37289359597454,0.198349624354485,-0.00179713696713856,-2.64068373790754,0.441185238791921,0.000550207194092196,NA,9,-889.849732488941,1797.79655235652,2.84943161127603,0.146175314812096,0.99994634741189,TRUE
-9.61178799961382,0.19853423558254,-0.00179825726498101,-0.0747932186131688,NA,0.0154281198047137,-9.95489900244764e-05,9,-898.111973224028,1814.3210338267,19.3739130814488,3.7724933112391e-05,0.999984072345003,FALSE
-9.87126816198916,0.199293079959496,-0.00180002803324452,NA,NA,0.0159445814379934,-9.96497327449317e-05,8,-900.314229087936,1816.70608620822,21.7589654629696,1.14477710263358e-05,0.999995520116029,FALSE
-9.00558496385741,0.198767915899326,-0.00180075386307038,-0.0840331537570807,NA,NA,NA,7,-902.771726399304,1819.60379762619,24.6566768809462,2.68838147902719e-06,0.999998208497508,FALSE
-9.05924435394995,0.198936360652963,-0.00180158834010891,-0.074792257354785,NA,0.000339387137072096,NA,8,-902.587793159884,1821.25321435211,26.3060936068664,1.17848647740067e-06,0.999999386983985,FALSE
-9.31854882712371,0.199723087620213,-0.00180359633110499,NA,NA,0.000840297083868076,NA,7,-904.7780040631,1823.61635295379,28.6692322085382,3.61556002661075e-07,0.999999748539988,FALSE
-9.25269018511018,0.199479589135836,-0.00180157248376819,NA,NA,NA,NA,6,-906.148692320974,1824.34261889074,29.3954981454892,2.5146001192369e-07,1,FALSE
-5.13774689167948,0.093050892533409,NA,-2.48460219897643,0.412848659978223,0.0121418205878776,-7.71308833310663e-05,9,-934.651575470167,1887.40023831897,92.453117573727,5.10129985299814e-21,1,TRUE
-4.39948793925372,0.0930186555241504,NA,-2.66136316691376,0.441059405776843,NA,NA,7,-937.661262538046,1889.38286990368,94.4357491584306,1.89303164329957e-21,1,TRUE
-4.42903332849782,0.0932418459641793,NA,-2.68015399164519,0.446507762896911,0.000469862203449154,NA,8,-937.304721889072,1890.68707181049,95.7399510652408,9.86175088732757e-22,1,TRUE
-8.7304123231753,0.0933602144004457,NA,-0.0833726974701707,NA,0.0158791599241097,-0.000103080311752348,8,-945.559415590319,1907.19645921298,112.249338467736,2.56440198031582e-25,1,FALSE
-9.02341137211936,0.0943885950370749,NA,NA,NA,0.0164209752999677,-0.000102953759729222,7,-948.277283424692,1910.61491167697,115.667790931722,4.6417161898932e-26,1,FALSE
-8.11741234942704,0.093529483077945,NA,-0.0902341289174851,NA,NA,NA,6,-950.46652454994,1912.97828334867,118.031162603421,1.42389821259499e-26,1,FALSE
-8.15899409395937,0.0936565561145393,NA,-0.0830934484029935,NA,0.000258877633894708,NA,7,-950.359446083797,1914.77923699518,119.832116249932,5.78637838032097e-27,1,FALSE
-8.45195705489998,0.0946932013627484,NA,NA,NA,0.000817875027870661,NA,6,-953.043688018137,1918.13261028506,123.185489539815,1.08200949447112e-27,1,FALSE
-8.38814195511602,0.0945369586799624,NA,NA,NA,NA,NA,5,-954.348493028187,1918.72927884432,123.78215809907,8.02908656494446e-28,1,FALSE
-3.06394222447968,NA,NA,-2.62023823491283,0.428369449569555,0.0128870348045355,-8.44114574190874e-05,8,-1023.69432112137,2063.46627027508,268.519149529836,2.9883247201405e-59,1,TRUE
-2.28032419943277,NA,NA,-2.82820854920159,0.463662508687695,NA,NA,6,-1026.86976867696,2065.7847716027,270.837650857452,9.37500743851453e-60,1,TRUE
-2.28766458881849,NA,NA,-2.83235313181686,0.464950713479106,0.000118626546401616,NA,7,-1026.8473104416,2067.75496571078,272.807844965533,3.50065576109109e-60,1,TRUE
-6.78320971225999,NA,NA,-0.128927957201762,NA,0.0167688396813239,-0.000111369558543693,7,-1035.35675088595,2084.77384659949,289.826725854243,7.05580187152786e-64,1,FALSE
-6.17636480843482,NA,NA,-0.12522022359256,NA,NA,NA,5,-1040.93423908128,2091.9007709505,296.953650205253,1.99965198189777e-65,1,FALSE
-6.16106796503178,NA,NA,-0.12805762698043,NA,-9.9948256513692e-05,NA,6,-1040.91846335939,2093.88216096757,298.935040222327,7.42507837972068e-66,1,FALSE
-7.19981510592574,NA,NA,NA,NA,0.0174704121188719,-0.000110206211264271,6,-1041.71328949879,2095.47181324636,300.524692501115,3.35360907393453e-66,1,FALSE
-6.58129754647825,NA,NA,NA,NA,0.000772484625788069,NA,5,-1047.15369396261,2104.33968071316,309.392559967914,3.97996710433296e-68,1,FALSE
-6.52394048838247,NA,NA,NA,NA,NA,NA,4,-1048.3197677094,2104.66105236339,309.713931618145,3.38917906687873e-68,1,FALSE
