"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-7.74038780462395,0.13287760632077,-0.00198788578701024,-1.75909007593632,0.333938849283366,0.0654317526040426,-0.000370436308953317,10,-636.162280825203,1292.50774233317,0,0.96623940129783,0.96623940129783,TRUE
-10.6259296223892,0.133297015678433,-0.001982950059386,0.178706799856583,NA,0.0677600707373856,-0.000386139058788495,9,-640.536116639949,1299.22198369587,6.71424136270139,0.0336593524156154,0.999898753713446,FALSE
-6.76354991495719,0.0333351188955038,NA,-1.75442540772073,0.332098544114816,0.0654357719042912,-0.000371413130907357,9,-646.642753110676,1311.43525663733,18.9275143041557,7.4994123553241e-05,0.999973747836999,TRUE
-10.0815922598268,0.133340888066785,-0.00200191125068032,NA,NA,0.0681941076327228,-0.000396226472501179,8,-648.819283471775,1313.75826769168,21.2505253585093,2.34742536376676e-05,0.999997222090637,FALSE
-9.62724031179137,0.033705067819637,NA,0.172674423957576,NA,0.0677457998024493,-0.000386999645786723,8,-651.062599434332,1318.24489961679,25.7371572836234,2.49076095475711e-06,0.999999712851591,FALSE
-4.99731929618989,0.133544986887511,-0.00198896279280315,-2.05427115386837,0.386685952807776,0.00591592209871233,NA,9,-652.255054573095,1322.65985956216,30.1521172289938,2.73927527822998e-07,0.999999986779119,TRUE
-5.74155570691569,NA,NA,-1.88594973239845,0.353641435807566,0.066871966991203,-0.000380275193922368,8,-656.822274966974,1329.76425068208,37.2565083489078,7.85121278251546e-09,0.999999994630332,TRUE
-9.122764138598,0.0338398793054968,NA,NA,NA,0.0682415855848632,-0.000397248585386853,7,-658.918191933057,1331.92940712193,39.4216647887577,2.65937144107965e-09,0.999999997289703,FALSE
-8.22520974057498,0.134056490887568,-0.00198327847242603,0.190084472179011,NA,0.00568864554298188,NA,8,-657.953003071548,1332.02570689123,39.5179645580563,2.53435688322022e-09,0.99999999982406,FALSE
-8.78107955848644,NA,NA,0.165713637644188,NA,0.06938025575972,-0.000397200633889306,7,-661.726340629068,1337.54570451395,45.0379621807795,1.6040411945582e-10,0.999999999984464,FALSE
-3.99807092310419,0.033294636769228,NA,-2.04819184380171,0.384697267061314,0.00576253030250879,NA,8,-663.134717086231,1342.38913492059,49.8813925874217,1.42389500977397e-11,0.999999999998703,TRUE
-7.57725361032306,0.134147674487231,-0.0020055903152803,NA,NA,0.00442474696443971,NA,7,-667.006361529253,1348.10574631432,55.5980039811509,8.16829805119587e-13,0.99999999999952,FALSE
-8.28944222996866,NA,NA,NA,NA,0.0697610247401801,-0.000406385341546505,6,-668.852084050678,1349.77387764492,57.2661353117549,3.54732892575952e-13,0.999999999999875,FALSE
-7.2027944748391,0.0337488157413636,NA,0.184626362633325,NA,0.00553562531550878,NA,7,-668.893195181248,1351.87941361831,59.3716712851399,1.23791302618537e-13,0.999999999999999,FALSE
-2.89688183829812,NA,NA,-2.19521495291049,0.408748665259565,0.00576368027946615,NA,7,-673.745851736552,1361.58472672892,69.0769843957476,9.66514042696908e-16,1,TRUE
-4.75872289132201,0.133386919964792,-0.00199086597523801,-1.79187944005906,0.324053571775773,NA,NA,8,-674.959028624671,1366.03775799747,73.5300156643013,1.04290491578929e-16,1,TRUE
-6.58929587857246,0.0337427953357474,NA,NA,NA,0.0043028792550317,NA,6,-677.56360393796,1367.19691741949,74.689175086319,5.84166225880045e-17,1,FALSE
-7.48848922206518,0.133807909353996,-0.00198557174302195,0.0922606827153012,NA,NA,NA,7,-678.856207996613,1371.80543924904,79.2976969158697,5.83188087216771e-18,1,FALSE
-6.28705474202424,NA,NA,0.17661207167236,NA,0.00551672397220745,NA,6,-680.107734112665,1372.2851777689,79.7774354357291,4.58811978836124e-18,1,FALSE
-7.22402884905757,0.133890948881072,-0.00199645338516773,NA,NA,NA,NA,6,-681.198941900933,1374.46759334544,81.9598510122653,1.54073953658143e-18,1,FALSE
-3.78633879238281,0.033957541361914,NA,-1.79367782365908,0.323732069432565,NA,NA,7,-685.10604573231,1384.30511472043,91.7973723872644,1.12600055003751e-20,1,TRUE
-5.70066083272806,NA,NA,NA,NA,0.00434824003811359,NA,5,-687.918818663532,1385.88738857085,93.3796462376763,5.10448816965392e-21,1,FALSE
-6.50604424265601,0.0342738937080093,NA,0.0886383387072942,NA,NA,NA,6,-689.079230204943,1390.22816995345,97.720427620284,5.82590637195965e-22,1,FALSE
-6.25901428216844,0.0342748417145738,NA,NA,NA,NA,NA,5,-691.278578508191,1392.60690826016,100.099165926994,1.77348304381955e-22,1,FALSE
-2.67455212604958,NA,NA,-1.93615764154978,0.347177494567576,NA,NA,6,-695.269732637224,1402.60917481802,110.101432484846,1.19361001544831e-24,1,TRUE
-5.581043098555,NA,NA,0.0820383355271252,NA,NA,NA,5,-699.734053762308,1409.5178587684,117.010116435228,3.77277404634585e-26,1,FALSE
-5.35215438712636,NA,NA,NA,NA,NA,NA,4,-701.58198025365,1411.19710052387,118.689358190701,1.62936386936323e-26,1,FALSE
