"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-6.99455676874638,0.222813234892379,-0.00237753808794263,-2.1003820886499,0.362791844132257,0.0167185198462809,-0.000101520462382026,10,-404.285288573401,828.669855125141,0,0.999927475359147,0.999927475359147,TRUE
-6.07873503224406,0.222777086983159,-0.00237482385835331,-2.33767988938371,0.403341321031501,0.00128194549341428,NA,9,-414.832580729417,847.74635225721,19.0764971320684,7.20376907480884e-05,0.999999513049895,TRUE
-6.00914602935569,0.222354423813473,-0.00237587507438458,-2.27836769717275,0.386926251532778,NA,NA,8,-420.871995761635,857.808914877643,29.1390597525018,4.70437650836339e-07,0.999999983487546,TRUE
-10.1065477624711,0.223052890478753,-0.00237883001055799,NA,NA,0.0196883086348534,-0.000123095503845021,8,-424.605007662247,865.274938678867,36.6050835537256,1.12531887486565e-08,0.999999994740735,FALSE
-10.1657683299311,0.223195294421366,-0.00237812929382509,0.016515658740438,NA,0.0198184144270323,-0.000123184460768285,9,-424.35753575083,866.796262300036,38.1264071748944,5.25925679072852e-09,0.999999999999992,FALSE
-9.41237525392983,0.223069465205556,-0.00237553566196012,NA,NA,0.000950156365672298,NA,7,-440.130231361562,894.310935909245,65.6410807841035,5.57428175346958e-15,0.999999999999997,FALSE
-9.46796301057432,0.223203435401012,-0.00237485451994211,0.0156391395761619,NA,0.00106053296850355,NA,8,-439.91178897297,895.888501300312,67.2186461751711,2.53294024478975e-15,1,FALSE
-9.33962439536229,0.222955456835349,-0.00237507094822654,NA,NA,NA,NA,6,-444.217199819586,900.47223747701,71.8023823518691,2.56023175758187e-16,1,FALSE
-9.29522635065851,0.222841590491835,-0.00237576293075844,-0.0147294084137306,NA,NA,NA,7,-443.975449517767,902.001372221653,73.331517096512,1.19187823595132e-16,1,FALSE
-5.86367395437763,0.095800299380695,NA,-2.08628232875867,0.360762719592613,0.0165640952033359,-0.000100424440062652,9,-464.541777482521,947.164745763418,118.494890638277,1.85836035882153e-26,1,TRUE
-4.96008500474147,0.0959006849758971,NA,-2.32007340594286,0.400756307296673,0.00129716566226064,NA,8,-474.972301193437,966.009525741248,137.339670616107,1.50327333597193e-30,1,TRUE
-4.8830640228662,0.0952521340943309,NA,-2.26128286050407,0.384285345558335,NA,NA,7,-481.221722388689,976.493917963498,147.824062838357,7.95025594393889e-33,1,TRUE
-8.94766207684781,0.0959831817258593,NA,NA,NA,0.0194937723422559,-0.000121830242148115,7,-484.91303744815,983.87654808242,155.206692957279,1.9827289550167e-34,1,FALSE
-9.01762691146244,0.0962679842158595,NA,0.0189565102989248,NA,0.0196376313173353,-0.000121893576055944,8,-484.586501410915,985.237926176203,156.568071051062,1.00379228156762e-34,1,FALSE
-8.26139067090186,0.0961824239279769,NA,NA,NA,0.00094994772785631,NA,6,-500.280721809674,1012.59928145719,183.929426332045,1.14868524883318e-40,1,FALSE
-8.3291002647108,0.0964599364902944,NA,0.0184390289237492,NA,0.00108049836752012,NA,7,-499.976519932769,1014.00351305166,185.333657926517,5.69214595612778e-41,1,FALSE
-8.18870293819271,0.0960810910412015,NA,NA,NA,NA,NA,5,-504.424186446,1018.87538775017,190.205532625031,4.98152000305854e-42,1,FALSE
-8.14847673389604,0.0958977764423378,NA,-0.0128537619539572,NA,NA,NA,6,-504.239066348106,1020.51597053405,191.846115408908,2.19337987056141e-42,1,FALSE
-3.53924653676131,NA,NA,-2.1828836865121,0.37365112486169,0.0167219695944621,-0.000102422789206516,8,-566.108767160184,1148.28245767474,319.612602549601,3.95342664342075e-70,1,TRUE
-2.61534934184346,NA,NA,-2.42068979255933,0.414337453020164,0.0011520601445314,NA,7,-576.848142292974,1167.74675777207,339.076902646926,2.34614376867949e-74,1,TRUE
-2.5548456181792,NA,NA,-2.37164644999487,0.40012814368506,NA,NA,6,-581.700397008609,1175.43863185506,346.768776729914,5.01285781848847e-76,1,TRUE
-6.79949393410899,NA,NA,NA,NA,0.0199165434944278,-0.000124616590179877,6,-587.380779217053,1186.79939627194,358.129541146802,1.71051441517658e-78,1,FALSE
-6.79061329048404,NA,NA,-0.00267247441457338,NA,0.0198974435459838,-0.000124616108152996,7,-587.374472225909,1188.79941763794,360.129562512796,6.29256364790975e-79,1,FALSE
-6.09113536965113,NA,NA,NA,NA,0.000949543304347007,NA,5,-603.300856882378,1216.62872862293,387.958873497786,5.69861765253721e-85,1,FALSE
-6.08064970995187,NA,NA,-0.0031596151205846,NA,0.000927044664046402,NA,6,-603.292174232086,1218.62218630201,389.952331176868,2.10327318076126e-85,1,FALSE
-5.9356727521992,NA,NA,-0.0305921926796616,NA,NA,NA,5,-606.380258463331,1222.78753178483,394.117676659693,2.62061006622113e-86,1,FALSE
-6.02115421916158,NA,NA,NA,NA,NA,NA,4,-607.406926478971,1222.83185475812,394.161999632981,2.56317225564897e-86,1,FALSE
