"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"9","core_measurement","cld","absolute","mean","quad",-153.4,15,10
"1","core_measurement","cld","absolute","mean","lin",-148.54,15,10
"10","core_measurement","pet","absolute","mean","quad",-92.54,15,13
"11","core_measurement","pre","absolute","mean","quad",-92.22,11,8
"2","core_measurement","pet","absolute","mean","lin",-88.6,15,13
"12","core_measurement","tmn","absolute","mean","quad",-88.3,4,0
"6","core_measurement","tmx","absolute","mean","lin",-78.58,14,10
"14","core_measurement","tmx","absolute","mean","quad",-76.79,14,10
"13","core_measurement","tmp","absolute","mean","quad",-76.67,11,11
"16","core_measurement","wet","absolute","mean","quad",-75.42,15,5
"4","core_measurement","tmn","absolute","mean","lin",-62.81,4,0
"15","core_measurement","vap","absolute","mean","quad",-61.28,3,3
"8","core_measurement","wet","absolute","mean","lin",-59.05,15,15
"3","core_measurement","pre","absolute","mean","lin",-58.88,11,7
"7","core_measurement","vap","absolute","mean","lin",-26.64,15,15
"5","core_measurement","tmp","absolute","mean","lin",-18.32,14,10
