"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-18.3454917261693,NA,0.211380193219799,-0.00283460507765277,6.57619241378849,-1.17826834954481,0.000775802625020574,NA,9,-866.399509651736,1750.91033655765,0,0.468206810387299,0.468206810387299
-18.0519524190141,NA,0.211475670031011,-0.00283572848535293,6.32423430481796,-1.13026695813554,0.0015546346514852,-3.79835609235271e-06,10,-866.022129839961,1752.18039829378,1.27006173613631,0.248111745847717,0.716318556235016
-18.151838736148,-0.000562942526444414,0.211247855820411,-0.0027886109456526,6.5567693434928,-1.17474372600286,0.000775011294306628,NA,10,-866.358862026409,1752.85386266668,1.94352610903229,0.177176612588984,0.893495168824
-17.863309544869,-0.000550809686504842,0.211344278319102,-0.00279069134412876,6.30595566465487,-1.12695632474648,0.00155176491289604,-3.78814983985362e-06,11,-865.983361886475,1754.13019126521,3.21985470756272,0.0935955413372426,0.987090710161242
-17.8095261440954,NA,0.211188583920772,-0.00282943529190192,6.28971531083787,-1.13562969664656,NA,NA,8,-871.326482820064,1758.74196440404,7.83162784638785,0.0093287047387598,0.996419414900002
-17.5947329713853,-0.000625895072312191,0.211031407118767,-0.00277808979830347,6.26845223666647,-1.1317606498774,NA,NA,9,-871.277021445402,1760.66536014498,9.75502358733138,0.00356583521088067,0.999985250110883
-9.79811688692748,NA,0.211922921685147,-0.0028817536305141,0.191838963309798,NA,0.00249234860218022,-8.68475154708768e-06,9,-877.453007580887,1773.01733241595,22.1069958583012,7.41249767508569e-06,0.999992662608558
-9.49991376529927,-0.000998848847493763,0.211696653755964,-0.00280018038376886,0.191238905181529,NA,0.00248186938862936,-8.63896421849125e-06,10,-877.324832115074,1774.78580284401,23.8754662863623,3.06158341081451e-06,0.999995724191969
-9.66050629900783,NA,0.211734910200859,-0.00288365361491856,0.17141320208761,NA,0.000705244181467657,NA,8,-879.498772484131,1775.08654373217,24.1762071745213,2.6341532749303e-06,0.999998358345244
-9.34159383884565,-0.00107113947468799,0.2115028049996,-0.00279635255235013,0.17088334973482,NA,0.00070412076250913,NA,9,-879.349911145388,1776.81113954495,25.9008029873021,1.11211530964417e-06,0.999999470460553
