"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-13.7125469242843,-0.00656311790389091,0.148230624549035,-0.0012536403807774,5.83992691898167,-1.11418407397376,0.00600110110656315,-1.44901653259304e-05,11,-843.052895549901,1708.25156691427,0,0.993924908971454,0.993924908971454,FALSE
-15.9339978559517,NA,0.140527445449937,-0.00127045952503522,6.02604882477046,-1.14780195714337,0.00601940920430734,-1.46015663999261e-05,10,-849.489181343241,1719.09977549001,10.848208575745,0.00438222844164254,0.998307137413096,FALSE
-15.1814899087563,-0.00659309048579148,0.148269590936752,-0.00125492905309536,7.08141437901058,-1.35085938188712,0.00293757761284455,NA,10,-850.444501337136,1721.0104154778,12.7588485635342,0.00168579519406127,0.999992932607158,FALSE
-17.4256033445396,NA,0.140522268701679,-0.00127177271388518,7.27901087693343,-1.386655831526,0.00293203452280611,NA,9,-856.932235902357,1731.96375476114,23.7121878468706,7.05208286515285e-06,0.999999984690023,FALSE
-5.36685348400423,-0.00704102554537304,0.147870591279255,-0.00124852043312736,-0.245241919239372,NA,0.00779340806360506,-2.2506063379958e-05,10,-862.055301368708,1744.23201554095,35.9804486266776,1.52861609213603e-08,0.999999999976184,FALSE
-7.48376995370227,NA,0.139554238521683,-0.00126660080552281,-0.242560005171282,NA,0.00787168505589444,-2.28895898351548e-05,9,-869.549925198124,1757.19913335267,48.9475664384036,2.33627827924293e-11,0.999999999999547,FALSE
-6.15504727449782,-0.00693292740217785,0.148286819693308,-0.00124753278621577,NA,NA,0.00921297050455818,-2.72859834647809e-05,9,-873.494328585271,1765.08794012697,56.8363732126991,4.52368072926835e-13,0.999999999999999,FALSE
-8.23405663132612,NA,0.140192838449692,-0.00126604738506984,NA,NA,0.00927415366048974,-2.76097104027211e-05,8,-880.641067237798,1777.36151705553,69.1099501412598,9.77954341917831e-16,1,FALSE
-7.00946121115734,NA,0.139172652369821,-0.00126731901371868,-0.334052333362635,NA,0.0030685608677324,NA,8,-889.521171515453,1795.12172561084,86.8701586965697,1.36062451850466e-19,1,FALSE
-5.35577118344301,-0.00619979846716553,0.153288564950808,-0.00131015643878137,-0.333468135386115,NA,0.00307299538914943,NA,9,-898.030127730836,1814.1595384181,105.907971503829,9.99377961021686e-24,1,FALSE
-11.7282812236009,-0.00975617896243939,0.0658528775803277,NA,5.84719073566741,-1.11360197328472,0.00604179191018275,-1.45141730060193e-05,10,-903.105259122289,1826.33193104811,118.08036413384,2.27262768259564e-26,1,FALSE
-7.98420709430727,NA,0.140023870631031,-0.00126683829992326,NA,NA,0.00368387519421924,NA,7,-911.581556722642,1837.22482143426,128.973254519995,9.79867152051538e-29,1,FALSE
-14.9231529576181,NA,0.0544368757456465,NA,6.01356371944459,-1.14310057284133,0.0060929576592819,-1.47371071416878e-05,9,-910.493347559982,1839.08597807639,130.83441116212,3.86386700319087e-29,1,FALSE
-14.0608913930628,-0.0074424606262231,0.0644336467080069,NA,7.12677229118742,-1.35736182974584,0.0029711567863841,NA,9,-913.856400203829,1845.81208336408,137.560516449815,1.33803342865433e-30,1,FALSE
-16.4390973903081,NA,0.0542668918489685,NA,7.2888388624039,-1.38604533088034,0.00297936873138322,NA,8,-918.446818188045,1852.97301895602,144.721452041754,3.72811720507686e-32,1,FALSE
-6.47486725231901,-0.0056964597479962,0.153393127206579,-0.00131120088085201,NA,NA,0.00368827789944429,NA,8,-920.720708614774,1857.52079980948,149.269232895211,3.83664390631778e-33,1,FALSE
-4.22229446358585,-0.00781003208040738,0.0643314594700193,NA,-0.237275787832884,NA,0.0078398290685,-2.25849958755874e-05,9,-926.112372394266,1870.32402774496,162.072460830687,6.36452315816737e-36,1,FALSE
-6.50086251126489,NA,0.0536123243372036,NA,-0.230646156241924,NA,0.00793396102231942,-2.29752112417669e-05,8,-931.234150661749,1878.54768390343,170.296116989163,1.04236933293491e-37,1,FALSE
-15.6992692921249,-0.00583563710485919,0.147813234019861,-0.00126168371485251,7.7474842044489,-1.51937647074256,NA,NA,9,-931.143812229895,1880.38690741622,172.135340501946,4.1556533628712e-38,1,FALSE
-17.7154999784969,NA,0.14083510810782,-0.0012758142142907,7.94613480679322,-1.55533457048883,NA,NA,8,-936.588164118358,1889.25571081665,181.00414390238,4.9295028890111e-40,1,FALSE
-5.08656129242878,-0.00735404557918595,0.0642367007812259,NA,NA,NA,0.00920820869107047,-2.71828505835857e-05,8,-937.348818909592,1890.77702039912,182.525453484847,2.30385396566005e-40,1,FALSE
-7.20747090558909,NA,0.0540613883912036,NA,NA,NA,0.00926192884006963,-2.743488890371e-05,7,-941.668332514614,1897.39837301821,189.146806103939,8.40710544254673e-42,1,FALSE
-3.67518456139741,-0.00806333699988613,0.0641636997503585,NA,-0.327643559034743,NA,0.00310509088830122,NA,8,-946.959803637626,1909.99898985519,201.747422940917,1.5433247252243e-44,1,FALSE
-6.01648864183537,NA,0.0530074001607781,NA,-0.32227491587321,NA,0.00311755207116653,NA,7,-952.382025388038,1918.82575876506,210.574191850786,1.86960042742231e-46,1,FALSE
-4.02851111957327,-0.00654953870555357,0.147331527152103,-0.00125608050714316,-0.606609140518193,NA,NA,NA,8,-966.227178827332,1948.5337402346,240.282173320328,6.61824116131946e-53,1,FALSE
-4.80049889176053,-0.00746541553116212,0.0639912622143345,NA,NA,NA,0.00371049688094634,NA,7,-969.416934311483,1952.89557661195,244.644009697676,7.47449496188469e-54,1,FALSE
