"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-0.00217632056895111,-0.0117357553246752,0.218809406725314,-0.00234696408202685,-4.64674871045859,0.800061796753846,0.0176712886908634,-8.09530687565732e-05,11,-1862.86247338163,3747.81383565215,0,0.584724258489447,0.584724258489447
0.0227317394188307,-0.0117986312154015,0.218884606412614,-0.00234980418841597,-4.20427747889054,0.717969275744459,0.0036350268682373,NA,10,-1864.98372425653,3750.04149765477,2.22766200261685,0.191964293195428,0.776688551684875
-6.30293073436824,-0.0116755745488007,0.218686816780935,-0.00234473189017155,-0.133673452899539,NA,0.0159268692968551,-7.01831998389056e-05,10,-1865.61524194177,3751.30453302525,3.49069737309401,0.10208356030187,0.878772111986745
-5.71281194734663,-0.0117361599529451,0.218764398151719,-0.00234746805331008,-0.151783626184677,NA,0.003746868307181,NA,9,-1867.22900253226,3752.51857034043,4.70473468827504,0.0556328046502434,0.934404916636988
-6.84536100584713,-0.01160626757255,0.219123519900317,-0.0023471825004318,NA,NA,0.0184081429561633,-8.03634008736306e-05,9,-1867.33976551462,3752.74009630514,4.92626065298782,0.0497997546148942,0.984204671251882
-6.24195626200048,-0.0116658409766545,0.219280185156847,-0.00235075863609922,NA,NA,0.00457444589767163,NA,8,-1869.49439769824,3755.03723131978,7.22339566762776,0.0157910377689942,0.999995709020877
1.79282167537946,-0.0117846563802579,0.217730848661087,-0.00233850372617819,-5.0494545569027,0.835635405971785,NA,NA,9,-1876.82913556194,3771.7188363998,23.905000747643,3.76743835193257e-06,0.999999476459229
-4.85278458750124,-0.0117112985117961,0.217550256696059,-0.00233536169667537,-0.339322275183111,NA,NA,NA,8,-1879.85530235402,3775.75904063135,27.9452049792012,4.99720254807621e-07,0.999999976179483
-3.639133134969,NA,0.1897637555938,-0.00229803279489333,-4.4714288126257,0.769738962592266,0.0180788179204644,-8.33655892910671e-05,10,-1881.44752808718,3782.96910531607,35.1552696639119,1.35856774496339e-08,0.999999989765161
-3.6308875666364,NA,0.189740018883295,-0.00230165017688912,-4.0169241914661,0.685382468620763,0.00362403193306873,NA,9,-1883.69776046277,3785.45608620145,37.6422505492951,3.91778195720198e-09,0.999999993682943
-9.68487995692036,NA,0.189806981046651,-0.00229629139973536,-0.129399392780943,NA,0.0164049415475838,-7.30295687653432e-05,9,-1883.99891459823,3786.05839447238,38.244558820224,2.8990164693045e-09,0.999999996581959
-10.1938063461856,NA,0.190527684835572,-0.00229785794880302,NA,NA,0.01881481569219,-8.29279112565143e-05,8,-1885.61140389675,3787.27124371681,39.4574080646521,1.58082507283667e-09,0.999999998162784
-9.08910194198675,NA,0.189778964181469,-0.00229967770659506,-0.148352072328175,NA,0.00373078553160841,NA,8,-1885.74657887535,3787.541593674,39.7277580218501,1.38095036183129e-09,0.999999999543735
-9.58981047315879,NA,0.190610442070484,-0.00230203215383923,NA,NA,0.00454019129161015,NA,7,-1887.90660430194,3789.85086832144,42.0370326692846,4.35236640970752e-10,0.999999999978971
0.653756362389907,-0.0114764815592023,0.116964536365996,NA,-4.5719505343432,0.78638106513858,0.0175477026191597,-8.03251092273733e-05,10,-1888.48692358771,3797.04789631713,49.2340606649741,1.1909970274973e-11,0.999999999990881
0.684969800714393,-0.0115335745872145,0.116938783777736,NA,-4.137949410744,0.705761233994112,0.00361917581029423,NA,9,-1890.59261656474,3799.2457984054,51.4319627532418,3.96864546357807e-12,0.99999999999485
