"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-3.74395630849867,-0.0179098371166313,0.211639934489332,-0.00210966316635463,-0.199377632348038,NA,0.0252147273337273,-0.000139826822274845,10,-661.105060502078,1342.31463406829,0,0.678107434847072,0.678107434847072,FALSE
-2.22680235168909,-0.0179256514995434,0.211688010372571,-0.00211057441639073,-1.28702461572506,0.192645651003761,0.0257057573511228,-0.000142852478760545,11,-660.866342786566,1343.8581608583,1.5435267900134,0.31341943420279,0.991526869049862,TRUE
-4.52861636866933,-0.0179740670758897,0.213779474703093,-0.00213867426347715,NA,NA,0.0291513777049922,-0.00015629394770401,9,-666.553914579319,1351.19329924411,8.8786651758187,0.00800425396480877,0.999531123014671,FALSE
-2.57168548051114,-0.0179569430134701,0.211169196630161,-0.00210394566699728,-0.239292446881219,NA,0.000920714631002169,NA,9,-670.362130584611,1358.80973125469,16.4950971864023,0.00017759619746249,0.999708719212133,FALSE
-2.36560799147112,-0.0179128725258245,0.210570303432027,-0.00209679518606691,-0.286305246035992,NA,NA,NA,8,-671.453339878784,1358.97502337409,16.6603893057957,0.000163508726164201,0.999872227938298,FALSE
-2.32866292697218,-0.0179596243336202,0.211175244704406,-0.00210407014511883,-0.410781177922287,0.0303503216262031,0.000915257081240362,NA,10,-670.356153735641,1360.81682053541,18.5021864671253,6.51028143383011e-05,0.999937330752636,TRUE
-1.86450347270774,-0.0179189435564202,0.210590167314911,-0.00209714260126608,-0.641123907950339,0.062898566161025,NA,NA,9,-671.427544463497,1360.94055901246,18.6259249441741,6.11970227683371e-05,0.999998527775404,TRUE
-2.96363918993971,-0.0175031511755845,0.113255353697956,NA,-0.206220534379551,NA,0.0249332592841374,-0.000138313767651435,9,-675.653769175879,1369.39300843723,27.0783743689394,8.93931461600531e-07,0.999999421706866,FALSE
-1.56725782337545,-0.0175188435317098,0.113262491216087,NA,-1.20668542328964,0.177203063467334,0.0253826853245682,-0.000141083820808901,10,-675.44996188676,1371.00443683765,28.6898027693642,3.99380624043969e-07,0.99999982108749,TRUE
-3.36714453667223,-0.0180399830425636,0.213727766501064,-0.0021390268314338,NA,NA,0.00224258347640145,NA,8,-678.315297943732,1372.69893950398,30.3843054356905,1.71171088520584e-07,0.999999992258578,FALSE
