"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-6.80133677492244,-0.0175986324900002,0.922574408090548,-0.0489433134021985,0.0055585034213554,-2.77669127423046e-05,-0.013066949689739,-0.00775788535258146,11,-1345.50175172729,2713.01142828874,0,0.999998047578999,0.999998047578999,FALSE
-6.71477733563644,-0.0176838035932984,0.923570824917944,-0.0489485271539665,0.0028709295070546,NA,-0.0132509935138729,-0.00798148341003951,10,-1359.64885069332,2739.30430521687,26.292876928133,1.95242100099428e-06,1,FALSE
-6.74626340389692,-0.0178333850872187,0.920213085405029,-0.0486087005025257,0.0064393023317974,-3.94509022454143e-05,-0.00166007504867455,NA,10,-1550.32132617387,3120.64925617796,407.637827889228,3.03787233152194e-89,1,FALSE
-6.72639802237934,-0.017887404188076,0.920561354708478,-0.0486200221837429,0.00638603324228407,-3.90728793180741e-05,NA,NA,9,-1552.49951247017,3123.00442791197,409.992999623233,9.35729829778439e-90,1,FALSE
-6.62071420929712,-0.0179618191945567,0.921543813087417,-0.0486040637141472,0.00261047219991329,NA,-0.00145205478927333,NA,9,-1578.80871269085,3175.62282835334,462.611400064599,3.50921514715817e-101,1,FALSE
-6.60439291981472,-0.0180079405828666,0.921831791831414,-0.0486135789754291,0.00259595144143483,NA,NA,NA,8,-1580.47418075452,3176.95268375661,463.941255467876,1.80482693452414e-101,1,FALSE
-12.3869620188771,NA,0.873787256367539,-0.0541410906948656,0.00592253739135316,-3.17554117485558e-05,-0.0141845951890027,-0.0080446190217301,10,-1689.19878118766,3398.40416620554,685.392737916807,1.47522120093951e-149,1,FALSE
-12.3152307217311,NA,0.873540792578885,-0.0541015989755509,0.00284855872398659,NA,-0.0144028100794143,-0.00830199486349907,9,-1707.91244567657,3433.83029432478,720.818866036041,2.99344419640765e-157,1,FALSE
-6.6624632273781,-0.0173885550189666,0.916942170086519,-0.0486130034707177,NA,NA,-0.00991741459599263,-0.0067916660426039,9,-1718.42858380046,3454.86257057255,741.851142283814,8.11092542470396e-162,1,FALSE
-5.9912768958971,-0.0187554011228754,0.527833775963974,NA,0.00555631870528176,-2.7605944355569e-05,-0.0130347044113844,-0.00771752043380906,10,-1865.4494813428,3750.90556651583,1037.89413822709,4.20872583844706e-226,1,FALSE
-6.58958868802947,-0.017639502423628,0.915816853591099,-0.0483553017329151,NA,NA,NA,NA,7,-1875.62884031663,3765.26104228046,1052.24961399172,3.21291089581029e-229,1,FALSE
-6.58959724314629,-0.0176394741641689,0.915816380627167,-0.0483552779564138,NA,NA,-7.17845544486576e-07,NA,8,-1875.6288399107,3767.26200206897,1054.25057378023,1.18139678329614e-229,1,FALSE
-5.87930901983732,-0.0189372682614675,0.530295418342145,NA,0.0028842266070992,NA,-0.0132124517809318,-0.00793813681879349,9,-1879.43804813096,3776.88149923356,1063.87007094483,9.6282756522592e-232,1,FALSE
-12.3917893193421,NA,0.864039600824517,-0.053264771377925,0.00684025087171642,-4.39294748169212e-05,-0.00238344836817377,NA,9,-1911.85911022211,3841.72362341586,1128.71219512712,8.00313516514955e-246,1,FALSE
-12.3883914050639,NA,0.864675216051773,-0.0533425842147193,0.00676522345423748,-4.3403425631603e-05,NA,NA,8,-1916.3982435706,3848.80080938877,1135.78938110003,2.32524513314339e-247,1,FALSE
-12.2915447361986,NA,0.863276151881816,-0.0531734788206652,0.00257612289090324,NA,-0.00216034257564911,NA,8,-1947.55590900536,3911.11614025828,1198.10471196955,6.83701569310389e-261,1,FALSE
-12.2895595302612,NA,0.863864095425782,-0.0532452299505609,0.00255437667812427,NA,NA,NA,7,-1951.28035180384,3916.56406525489,1203.55263696615,4.48605604323882e-262,1,FALSE
-12.1646218024352,NA,0.862424629141914,-0.0530034796184112,NA,NA,-0.0110925994579667,-0.00711489498654216,8,-2064.88039611281,4145.7651144732,1432.75368618446,7.61183269049778e-312,1,FALSE
-5.89511113254818,-0.019150046463064,0.530362186357486,NA,0.00642914311726162,-3.91923575365549e-05,-0.00168562038905473,NA,9,-2068.5136407065,4155.03268438464,1442.0212560959,7.39710864150702e-314,1,FALSE
-5.86914197700851,-0.019227465719889,0.531038337602863,NA,0.00637419548991003,-3.87996689726938e-05,NA,NA,8,-2070.76423773672,4157.532797721,1444.52136943226,2.11918701442889e-314,1,FALSE
-5.72870771367316,-0.0194341930985229,0.534142820388126,NA,0.00262534207294038,NA,-0.00147468214093225,NA,8,-2096.67736752347,4209.35905729451,1496.34762900578,0,1,FALSE
-5.70715449687631,-0.0195005594442599,0.534720967214385,NA,0.00261059532327555,NA,NA,NA,7,-2098.39982316569,4210.80300797858,1497.79157968985,0,1,FALSE
-11.6030047503179,NA,0.372343007114144,NA,0.00595968459995005,-3.20353855246961e-05,-0.0142017569371499,-0.00800798042577054,9,-2158.51572813043,4335.03685923249,1622.02543094375,0,1,FALSE
-11.5308561862347,NA,0.37240456564156,NA,0.00285864034540404,NA,-0.0144216564959018,-0.00826769676758918,8,-2177.05468814823,4370.11369854403,1657.10227025529,0,1,FALSE
-12.1566116267841,NA,0.854929280553333,-0.05234739833507,NA,NA,NA,NA,6,-2239.87554630358,4491.75361376689,1778.74218547815,0,1,FALSE
-12.1569148493869,NA,0.854712049103082,-0.052321239168157,NA,NA,-0.00073045192183187,NA,7,-2239.45572931234,4492.91482027188,1779.90339198314,0,1,FALSE
-5.72589615547788,-0.0189120250798101,0.525680460489504,NA,NA,NA,-0.00985081129489945,-0.00673712069008436,8,-2240.94716404054,4497.89865032865,1784.88722203991,0,1,FALSE
-11.6116544989737,NA,0.369184086883211,NA,0.00687447809232005,-4.41630828804139e-05,-0.00245129974668266,NA,8,-2373.37778572722,4762.75989370201,2049.74846541328,0,1,FALSE
-11.6074666450795,NA,0.369176009829954,NA,0.0067972019860854,-4.36212614759213e-05,NA,NA,7,-2378.05459550647,4770.11255266015,2057.10112437142,0,1,FALSE
-5.7920971525135,-0.0187550043658658,0.52446312351312,NA,NA,NA,NA,NA,6,-2397.81242196191,4807.62736508354,2094.61593679481,0,1,FALSE
-5.79243177810613,-0.0187539384004953,0.524453824360367,NA,NA,NA,-2.30403617204635e-05,NA,7,-2397.81201093311,4809.62738351342,2096.61595522468,0,1,FALSE
-11.5113447891058,NA,0.369122779007232,NA,0.00258773884893233,NA,-0.00222637708980639,NA,7,-2408.51792471313,4831.03921107347,2118.02778278473,0,1,FALSE
-11.5086719518942,NA,0.369119278188084,NA,0.00256529468714188,NA,NA,NA,6,-2412.37134352185,4836.74520820344,2123.7337799147,0,1,FALSE
-11.3826238501749,NA,0.369194981590151,NA,NA,NA,-0.0110957217708959,-0.00707757582789456,7,-2527.21878038987,5068.44092242695,2355.42949413821,0,1,FALSE
-11.3778889772835,NA,0.366712934879365,NA,NA,NA,NA,NA,5,-2696.02346228149,5402.04872533731,2689.03729704858,0,1,FALSE
-11.378451529512,NA,0.36671096272396,NA,NA,NA,-0.000785176596839005,NA,6,-2695.55062636553,5403.10377389079,2690.09234560205,0,1,FALSE
