"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-7.55619803488174,0.00320357639616786,0.301359545106407,-0.00378206640752665,0.00336232837825865,NA,NA,NA,8,-243.668947482773,503.526871343499,0,0.196401184534742,0.196401184534742,FALSE
-6.88094281641124,NA,0.314560569826566,-0.00377657218876348,0.00335123008698328,NA,NA,NA,7,-245.132255607329,504.411300205485,0.8844288619851,0.126209723584632,0.322610908119374,FALSE
-5.95128307299664,0.00321990676768699,0.301493419989415,-0.00378712285259911,0.00289111589712535,NA,-0.358279873635855,0.0200887630397937,10,-242.255605707221,504.800685098653,1.2738137551533,0.103881679001798,0.426492587121173,TRUE
-7.45881121116863,0.00318723874775197,0.301049881557053,-0.00377812202279255,-3.37561263112078e-05,3.05612596485504e-05,NA,NA,9,-243.285521410365,504.80757370115,1.28070235765051,0.103524494683415,0.530017081804587,TRUE
-7.49730376601943,0.00321747323991031,0.301367407146038,-0.0037829494493526,0.00328931696934656,NA,-0.00685249547928203,NA,9,-243.543579383599,505.323689647619,1.79681830411971,0.0799778942870555,0.609994976091643,FALSE
-6.77928012197809,NA,0.313985887399144,-0.00377136058452025,-0.000156512886866033,3.15703190595885e-05,NA,NA,8,-244.722802640773,505.634581659498,2.1077103159987,0.0684637404852573,0.6784587165769,TRUE
-5.25947331829945,NA,0.31447731981584,-0.00377993044527412,0.00288251143434854,NA,-0.360082506771458,0.0202161958205137,9,-243.714551801118,505.665634482656,2.13876313915705,0.067408953986536,0.745867670563436,TRUE
-6.82394272471135,NA,0.314667959447609,-0.00377779120984156,0.00328229849009291,NA,-0.00642964249134369,NA,8,-245.021685169427,506.232346716807,2.70547537330731,0.0507758953243842,0.79664356588782,FALSE
-7.38577883008791,0.00320215438806183,0.301036179788892,-0.00377882978168694,-0.000299568447893502,3.21983619160833e-05,-0.00787278027052457,NA,10,-243.120589542109,506.530652768429,3.00378142492997,0.0437402492935393,0.840383815181359,TRUE
-6.03626997184098,0.00321479045924312,0.301373218500994,-0.003785427906635,0.00177043616810323,1.03350199521468e-05,-0.331137651678422,0.0185186730413105,11,-242.219543734971,506.786913556899,3.26004221339912,0.0384799882497902,0.87886380343115,TRUE
-6.70782812343774,NA,0.31407733109618,-0.0037724389696687,-0.000410384752060999,3.31330079437931e-05,-0.00748392178901013,NA,9,-244.573483106316,507.383497093053,3.85662574955347,0.0285554140574857,0.907419217488635,TRUE
-5.35227698887037,NA,0.314292951592314,-0.00377791852251911,0.00166491400221431,1.12293725950541e-05,-0.330572209997126,0.0185090408333771,10,-243.671977792502,507.633429269215,4.10655792571566,0.0252009190547845,0.93262013654342,TRUE
-3.71866713748533,0.00319631228091733,0.0566253127342607,NA,0.00334374079366795,NA,NA,NA,7,-247.377690363204,508.902169717233,5.37529837373341,0.0133632745653327,0.945983411108753,FALSE
-3.06484020599135,NA,0.0706113923344684,NA,0.00333323614685522,NA,NA,NA,6,-248.75389830903,509.617744262038,6.09087291853893,0.00934389293503184,0.955327304043784,FALSE
-2.0817581693658,0.0032081067713883,0.056477113133402,NA,0.00286847612989412,NA,-0.364668934208477,0.0204706404502683,9,-245.921096943247,510.078724766915,6.55185342341599,0.00742039815490336,0.962747702198688,TRUE
-3.6207455441758,0.00317594144324985,0.0566086997205345,NA,-0.000223009476383226,3.21008985424671e-05,NA,NA,8,-246.95468172477,510.098339827493,6.57146848399316,0.00734797808674387,0.970095680285432,TRUE
-3.66091915303054,0.00321051095442358,0.0565613933429377,NA,0.00327318423036295,NA,-0.00659011565254654,NA,8,-247.261747519079,510.712471416111,7.18560007261158,0.00540518885260026,0.975500869138032,FALSE
-2.96459929849066,NA,0.0703910168140467,NA,-0.000347462550137013,3.31307767821687e-05,NA,NA,7,-248.302925702579,510.752640395983,7.22576905248371,0.00529771132009098,0.980798580458123,TRUE
-1.41293376450501,NA,0.0703419214003738,NA,0.00286013244308617,NA,-0.366751688307661,0.0206135368588372,8,-247.289114930764,510.767206239481,7.24033489598196,0.00525926866045773,0.986057849118581,TRUE
-3.00854520215561,NA,0.0706287205409583,NA,0.00326666790694751,NA,-0.00617876426484044,NA,7,-248.651794041028,511.450377072882,7.9235057293825,0.00373746121889238,0.989795310337473,FALSE
-3.54881803750463,0.00319127336369193,0.0565331407516642,NA,-0.000480555714166349,3.36814134095132e-05,-0.0076506596500265,NA,9,-246.798897957744,511.834326795909,8.30745545240995,0.00308462995662635,0.992879940294099,TRUE
-2.178243021433,0.00320183668465781,0.0564725009022796,NA,0.00162570066522241,1.1462207013327e-05,-0.334496075448211,0.0187252688898981,10,-245.876809940654,512.043093565519,8.51622222201928,0.00277888096510746,0.995658821259207,TRUE
-2.89376411062025,NA,0.0704011569992139,NA,-0.000593358380510798,3.46387296444714e-05,-0.00727347117215651,NA,8,-248.161857172924,512.5126907238,8.9858193803006,0.00219734483211593,0.997856166091323,TRUE
-1.51777967606229,NA,0.0702871602550714,NA,0.00152083367185161,1.23531282006862e-05,-0.334205626003658,0.0187308038536181,9,-247.237674067631,512.711879015682,9.18500767218239,0.00198904692340077,0.999845213014723,TRUE
-3.58704889246485,0.00799819003728842,NA,NA,0.0033308597375751,NA,NA,NA,6,-254.053091517382,520.216130678742,16.6892593352426,4.66785637289387e-05,0.999891891578452,FALSE
-1.92002677971796,0.00799661504626787,NA,NA,0.00284306340514639,NA,-0.370880896520182,0.0207914375746064,8,-252.535999419165,521.260975216283,17.7341038727836,2.7684225369409e-05,0.999919575803822,TRUE
-3.48836217181285,0.00797576092632496,NA,NA,-0.000258176613212544,3.23013233567685e-05,NA,NA,7,-253.625591523392,521.39797203761,17.8711006941106,2.58513896845108e-05,0.999945427193506,TRUE
-3.52433090748415,0.0080080532348282,NA,NA,0.00325408185513963,NA,-0.00718936099700609,NA,7,-253.915370972117,521.977530935061,18.4506595915612,1.93479198100379e-05,0.999964775113316,FALSE
-3.41107364558873,0.00798573662889137,NA,NA,-0.000535520420376243,3.40037375383692e-05,-0.00825715407637025,NA,8,-253.444471094379,523.077918566711,19.5510472232117,1.1160615352148e-05,0.999975935728668,TRUE
-2.01625041431462,0.00798996255126528,NA,NA,0.00160212266129868,1.144514355857e-05,-0.340781979669631,0.0190503872931106,9,-252.491883867082,523.220298614585,19.6934272710858,1.03937126513558e-05,0.99998632944132,TRUE
-3.98813698680724,0.00324191175802864,0.301405596365671,-0.00379576108225029,NA,NA,-0.759259119155338,0.0421590078544173,9,-252.817857740147,523.872246360715,20.345375017216,7.50243172140785e-06,0.999993831873041,TRUE
-3.2784632151239,NA,0.313703497771549,-0.00378385845552099,NA,NA,-0.759667554751723,0.0422054837955922,8,-254.24267559825,524.674327574452,21.1474562309531,5.0237998552514e-06,0.999998855672896,TRUE
-0.129861677340338,0.00322796571795091,0.0559523818116893,NA,NA,NA,-0.762057589471071,0.0423387300120482,8,-256.344903721703,528.878783821359,25.3519124778595,6.1382737853784e-07,0.999999469500275,TRUE
0.550587941737534,NA,0.0694582536300157,NA,NA,NA,-0.762736773872378,0.0424001133473553,7,-257.682139768732,529.511068528291,25.9841971847912,4.47452950082454e-07,0.999999916953225,TRUE
-7.14019020895533,0.00323048298899431,0.301104713226175,-0.0037886333761969,NA,NA,-0.026703286063647,NA,8,-259.313734963821,534.816446305594,31.2895749620947,3.15282038027692e-08,0.999999948481429,FALSE
-6.44783556065626,NA,0.31381141468065,-0.00377949288913004,NA,NA,-0.02631921653163,NA,7,-260.757818715516,535.662426421857,32.1355550783576,2.06536579865203e-08,0.999999969135087,FALSE
-7.35178083205984,0.00317905555573327,0.300912138995249,-0.00378377694740514,NA,NA,NA,NA,7,-261.26936420279,536.685517396407,33.1586460529073,1.23832773131561e-08,0.999999981518364,FALSE
-6.66341263776238,NA,0.313249750254207,-0.00377336505497855,NA,NA,NA,NA,6,-262.659644616042,537.429236876063,33.9023655325636,8.53766216216373e-09,0.999999990056026,FALSE
0.0157708710282956,0.00796589536568985,NA,NA,NA,NA,-0.764851061594996,0.0424732744682711,7,-262.757371337269,539.661531665363,36.1346603218638,2.79641943089433e-09,0.999999992852446,TRUE
-3.30226425781998,0.0032255259141081,0.0560231834407141,NA,NA,NA,-0.026454727254444,NA,7,-262.90525073941,539.957290469645,36.4304191261456,2.41200999333384e-09,0.999999995264456,FALSE
-2.6353756023084,NA,0.0697922093400582,NA,NA,NA,-0.0260865600969649,NA,6,-264.267948442017,540.645844528014,37.1189731845142,1.70947002033071e-09,0.999999996973926,FALSE
-3.51782612215175,0.00317269557492864,0.0561988141017772,NA,NA,NA,NA,NA,6,-264.825091113622,541.760129871222,38.2332585277231,9.7925884039267e-10,0.999999997953185,FALSE
-2.85639486066303,NA,0.0696669472430531,NA,NA,NA,NA,NA,5,-266.136833982757,542.352099338063,38.8252279945632,7.28371533919039e-10,0.999999998681556,FALSE
-0.848243407523374,NA,NA,NA,0.00324101268242461,NA,NA,NA,5,-266.810270411409,543.698972195367,40.1721008518676,3.714353549635e-10,0.999999999052992,FALSE
0.973143322036378,NA,NA,NA,0.00273139716761342,NA,-0.407912312840599,0.0230042887031658,7,-265.007570070744,544.161929132314,40.635057788815,2.94681870594038e-10,0.999999999347673,TRUE
-0.73378814718549,NA,NA,NA,-0.00127052438054491,4.0631246661295e-05,NA,NA,6,-266.132839259104,544.375626162187,40.8487548186872,2.64819339229735e-10,0.999999999612493,TRUE
-0.796014466961496,NA,NA,NA,0.00317859327837476,NA,-0.00567029423763185,NA,6,-266.72426751294,545.558482669859,42.0316113263593,1.4658707212897e-10,0.99999999975908,FALSE
0.822252050594791,NA,NA,NA,0.000857381699330953,1.72917816678048e-05,-0.361959222847382,0.0203463138320036,8,-264.907464263465,546.003904904882,42.4770335613829,1.17320380033394e-10,0.9999999998764,TRUE
-0.665823212231269,NA,NA,NA,-0.00150175299455672,4.20242519134825e-05,-0.00695306586286303,NA,7,-266.003715814312,546.154220619451,42.6273492759513,1.08826038050772e-10,0.999999999985226,TRUE
-3.16730239349317,0.0079711867890009,NA,NA,NA,NA,-0.026892092609971,NA,6,-269.345630819239,550.801209282457,47.2743379389571,1.06574192691972e-11,0.999999999995884,FALSE
-3.3855756504022,0.00793145178452622,NA,NA,NA,NA,NA,NA,5,-271.326206445227,552.730844263003,49.203972919504,4.06103880559229e-12,0.999999999999945,FALSE
2.81348492852106,NA,NA,NA,NA,NA,-0.783843625927259,0.0436675753175137,6,-274.61063223146,561.331212106899,57.8043407633995,5.50923110674915e-14,1,TRUE
-0.454353336958051,NA,NA,NA,NA,NA,-0.0255040575529595,NA,5,-281.635561486814,573.349554346177,69.8226830026775,1.35313501656285e-16,1,FALSE
-0.674260346490117,NA,NA,NA,NA,NA,NA,NA,4,-283.422945569019,574.898110459188,71.3712391156884,6.23844636373883e-17,1,FALSE
