"(Intercept)","CO2","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
21.4701248511277,-0.0262576153598877,0.00293908767049446,-9.59432776833203e-05,-0.145785554144051,NA,-1.30725513069648,0.0689219680797351,10,-3893.53731080055,7807.11684808862,0,0.436481206582486,0.436481206582486
44.2940979758641,-0.026272897225099,0.00269847802401256,-9.35219510690163e-05,-1.607827611059,0.0234715882966254,-1.31733867786442,0.0694018188778926,11,-3892.97027561168,7807.99123273612,0.874384647503575,0.281900168488036,0.718381375070521
21.6530202772681,-0.0264568447792497,-0.00483227052469114,NA,-0.145091510572323,NA,-1.30702298084698,0.0688722802081659,9,-3895.60351908242,7809.24158047918,2.12473239055998,0.150864053640551,0.869245428711073
46.55116840135,-0.026467374286032,-0.00488178386532364,NA,-1.74033255923592,0.0256095159525574,-1.31807088125177,0.0693991771836899,10,-3894.92681697449,7809.8958604365,2.77901234788442,0.108770389887956,0.978015818599028
22.5454717442088,-0.029527231873414,NA,NA,-0.145439060675641,NA,-1.30902846571104,0.0689934625841872,8,-3899.04800864541,7814.12364584033,7.00679775171193,0.0131358672087538,0.991151685807782
46.1309078574718,-0.0295663189361355,NA,NA,-1.65604902171568,0.0242509488666856,-1.31950087784796,0.0694932163594097,9,-3898.43967125258,7814.91388481949,7.79703673087806,0.00884831419221791,1
15.7412965504475,-0.0263345527669997,0.00221033887448305,-8.97477340764429e-05,NA,NA,-1.09267987962837,0.0601533918066706,9,-3930.50746228113,7879.04946687659,71.9326187879751,1.04711852983684e-16,1
15.934099205371,-0.0265114175408256,-0.00506794150907224,NA,NA,NA,-1.09324614629193,0.0601385149001622,8,-3932.23762453428,7880.50287761805,73.386029529438,5.0628109701902e-17,1
16.847924676025,-0.0297231307433238,NA,NA,NA,NA,-1.09378117952213,0.0601885095332437,7,-3935.91104600932,7885.8435767683,78.7267286796805,3.50488382569591e-18,1
13.6330666086842,-0.0253601984052125,0.00263734469954863,-9.53872581651349e-05,-0.118987287063928,NA,0.0585003602958294,NA,9,-3948.46545327518,7914.96544886469,107.848600776078,1.66318075162077e-24,1
20.4582422839051,-0.0253630293457165,0.00256402215933912,-9.46561040553514e-05,-0.55716772908861,0.00703529602484193,0.0583263461315373,NA,10,-3948.41526555079,7916.8727575891,109.755909500484,6.40873956060585e-25,1
13.8154843487921,-0.0255473072971471,-0.00510256436729421,NA,-0.118274188941005,NA,0.0577723593167806,NA,8,-3950.45110747977,7916.92984350904,109.812995420421,6.2284011038724e-25,1
22.7049228256791,-0.0255489075883938,-0.00512114344704322,NA,-0.689106384770953,0.00916495148056601,0.057552426246473,NA,9,-3950.36573332911,7918.76600897256,111.649160883947,2.48689992173442e-25,1
14.7340422943538,-0.0287783721820228,NA,NA,-0.118416047802929,NA,0.0582368580973864,NA,7,-3954.24329895074,7922.50808265115,115.391234562531,3.82892918200255e-26,1
22.1562483837213,-0.0287893087608122,NA,NA,-0.59486061687359,0.00764956510426315,0.0580557295768205,NA,8,-3954.18365226461,7924.39493307872,117.278084990105,1.49057203646352e-26,1
9.68190329000258,-0.0255326928580264,0.00208374430805788,-9.0190012607587e-05,NA,NA,0.0926115401741788,NA,8,-3973.10382774999,7962.23528404949,155.118435960869,9.04534549020289e-35,1
9.8742569007219,-0.0257013649381591,-0.00524101436215996,NA,NA,NA,0.0917553288317063,NA,7,-3974.81038399554,7963.64225274075,156.525404652132,4.47616193947357e-35,1
16.532327793474,-0.0248857238527394,0.000910511786568136,-7.77146109840775e-05,-0.198145083393823,NA,NA,NA,8,-3975.99764707517,7968.02292269985,160.906074611232,5.00789708139277e-36,1
16.6509683217689,-0.0250437472718253,-0.00539601624008497,NA,-0.1967189639698,NA,NA,NA,7,-3977.35512696687,7968.73173868341,161.614890594795,3.51348383553012e-36,1
34.4381442348727,-0.0248952547295798,0.000729119572292639,-7.59249473415705e-05,-1.34858522372091,0.0184812033931625,NA,NA,9,-3975.65587633931,7969.34629499295,162.229446904331,2.58397764921151e-36,1
10.8109237579573,-0.0290132162827375,NA,NA,NA,NA,0.0922215302091284,NA,6,-3978.69945845183,7969.41502737546,162.298179286844,2.49668473281023e-36,1
