"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
3.1298956482271,-0.00811637347203638,0.0465034428511567,-0.00187377021496378,-0.00846646152733755,0.000236099298025131,-0.0151493492472278,NA,10,-5309.62223395069,10639.273560734,0,0.706227932828946,0.706227932828946,TRUE
3.50388683457126,-0.00811808250867192,0.046531331628722,-0.00187345329109742,-0.00823423578596505,0.000230345158340712,-0.0426887331520242,0.000502451264381294,11,-5309.54511388466,10641.1251437857,1.8515830517681,0.279819991949963,0.986047924778908,TRUE
3.12562332452598,-0.00812244550379562,0.0464337218207058,-0.00187275251008437,0.000964233716446536,NA,-0.0179108181088196,NA,9,-5315.7400267556,10649.5038535905,10.2302928565714,0.00424096826744018,0.990288893046348,FALSE
3.15883980379382,-0.00808619299922479,0.0463189334542658,-0.00186854184253751,NA,NA,-0.0188982333710497,NA,8,-5316.79455424095,10649.6081460282,10.3345852942166,0.00402548495494072,0.994314378001289,FALSE
4.17427671369364,-0.00812677606037398,0.0465165496087031,-0.00187193690161436,0.000970910063098769,NA,-0.0949208027554256,0.00140847626347672,10,-5315.10651221819,10650.242117269,10.9685565350082,0.00293192665662079,0.99724630465791,TRUE
4.19526913746677,-0.00809022567170251,0.0464000381387472,-0.00186770719278666,NA,NA,-0.0950005205689608,0.00139175032167384,9,-5316.17578783296,10650.3753757453,11.1018150113032,0.00274294052915014,0.99998924518706,TRUE
2.75625823507205,-0.00817926640915813,0.0465454029893076,-0.00187399496332277,-0.0111485718612893,0.000321390946526746,NA,NA,9,-5321.71854843575,10661.4608969508,22.187336216879,1.07405382795466e-05,0.99999998572534,TRUE
3.54994731890362,-0.00817751684907229,-0.014458109048418,NA,-0.00850322941838557,0.000235438794439212,-0.0151883875772447,NA,9,-5328.75079503222,10675.5253901438,36.2518294098136,9.48331453334366e-09,0.999999995208654,TRUE
3.93431148399266,-0.0081792904724817,-0.0144186437359291,NA,-0.00826439555378105,0.000229521125567289,-0.0434961810099518,0.00051646498580187,10,-5328.66932220219,10677.367737237,38.0941765030075,3.7748488527059e-09,0.999999998983503,TRUE
4.07998075879102,-0.010316826450578,NA,NA,-0.00852295747125237,0.000235738041636024,-0.0151683978206797,NA,8,-5332.81805605318,10681.6551496526,42.3815889186826,4.42486260401437e-10,0.999999999425989,TRUE
