"(Intercept)","CO2","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-1.51290061666703,0.00345020294603724,0.0150053078765512,-0.000142942407087211,0.00740649829846545,0.00106753383276466,0.0101401216119361,NA,10,-84620.2854439026,169260.572552794,0,0.63839042224973,0.63839042224973,FALSE
-1.45687246671636,0.00344287281939716,0.0150052310062021,-0.000142927387671568,0.0074666628953847,0.00105308521715647,0.00298077440307945,0.000235288345386916,11,-84619.8543578879,169261.710713778,1.13816098347888,0.361358142685061,0.999748564934791,FALSE
-1.5348853720233,0.00350591122032776,0.0149913391333274,-0.000142915521202138,0.0142213826680365,NA,0.00994438343627187,NA,9,-84629.6879181395,169277.377198532,16.8046457382152,0.000143220077851142,0.999891785012642,FALSE
-1.46222803478114,0.00349544374953071,0.0149918032909086,-0.000142899056877592,0.0141800000547309,NA,0.00071342632689733,0.000303482694124257,10,-84628.9680293527,169277.937723695,17.3651709002443,0.000108214987357774,1,FALSE
-1.30987898710388,0.00337305141747119,0.00299480172728651,NA,0.00734050271192759,0.001066708833342,0.0101147787934713,NA,9,-84710.4982133639,169438.997788981,178.42523618706,1.14957843572287e-39,1,FALSE
-1.25201244814922,0.00336541580539522,0.00299614745837502,NA,0.00740277400882457,0.00105178067228399,0.00272009233076618,0.000243026362540924,10,-84710.0378013017,169440.077267592,179.504714798182,6.70089490219905e-40,1,FALSE
-1.33183531684649,0.00342847669316719,0.00298422971307057,NA,0.0141496080572341,NA,0.00991898802884164,NA,8,-84719.8983218899,169455.797733574,195.225180780108,2.5850978829532e-43,1,FALSE
-1.25735970769255,0.00341775230065856,0.00298601539261228,NA,0.014107348868199,NA,0.000454255552495572,0.000311174251413336,9,-84719.1405792419,169456.282520737,195.709967943025,2.02864846702004e-43,1,FALSE
-1.46447877745934,0.00418694440802191,NA,NA,0.00736140253717824,0.00105695952701387,0.0100958353489422,NA,8,-84736.973735155,169489.948560104,229.376007310173,9.9247422048063e-51,1,FALSE
-1.40789298204841,0.00417983125923826,NA,NA,0.00742242568294489,0.00104233740071579,0.00285582876097212,0.000237943313475457,9,-84736.5324899722,169491.066342198,230.493789403583,5.67539296102762e-51,1,FALSE
-1.48568326441443,0.00423898898873139,NA,NA,0.014108377779015,NA,0.00990188846998333,NA,7,-84746.2002929479,169506.401433507,245.828880713147,2.6547471888936e-54,1,FALSE
