"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
14.1240311076534,0.365271753146448,-0.00632133803917341,-0.572554000313871,NA,0.0509663643821474,-0.000284548964061415,-0.012921572436749,10,-522.22099971389,1064.66399740962,0,0.624648180085908,0.624648180085908,FALSE
18.497826739306,0.365059181472149,-0.00631625708714142,-3.72775474206246,0.558927412355574,0.0524660454571044,-0.000293352598423855,-0.0129168803731231,11,-521.709161874941,1065.68499041655,1.02099300693249,0.374912278990132,0.99956045907604,TRUE
-10.7603956247339,0.318423364854894,-0.00607064272027901,-0.555071119945901,NA,0.0520507043434274,-0.000290555208793839,NA,9,-531.417165856417,1081.01578332574,16.3517859161218,0.000175747955970836,0.99973620703201,FALSE
-6.37152338504773,0.318117672308034,-0.00606474831916712,-3.71371713458491,0.559534036602803,0.0535498432462371,-0.000299355350020506,NA,10,-530.906365348253,1082.03472867834,17.3707312687266,0.000105591536787042,0.999841798568797,TRUE
16.95925192015,0.363677389013763,-0.00627060342582086,-0.638007824312734,NA,0.00184074472938395,NA,-0.0132042061681824,9,-532.49924489671,1083.17994140632,18.5159439967072,5.95592645691101e-05,0.999901357833367,FALSE
17.487501419188,0.363012541708305,-0.00625180667256457,-0.725445986026673,NA,NA,NA,-0.0132650008070075,8,-533.677901524238,1083.50081815422,18.8368207446006,5.0730813435831e-05,0.999952088646802,FALSE
18.6026599382761,0.363579643567153,-0.00626811832252954,-1.80101665024623,0.205889388398233,0.00183329169304696,NA,-0.0132056694662084,10,-532.430166529025,1085.08233103989,20.4183336302713,2.30065059478139e-05,0.99997509515275,TRUE
19.2436042740701,0.362911136391702,-0.00624923415585541,-1.96940066354229,0.220286862947464,NA,NA,-0.0132663401994838,9,-533.59899191316,1085.37943543922,20.7154380296067,1.98305731156384e-05,0.999994925725866,TRUE
10.4125705706878,0.367968390394564,-0.00640067278262954,NA,NA,0.0610234378480894,-0.000325336815105678,-0.0121445658998843,9,-534.970083892206,1088.12161939732,23.4576219876997,5.03358706683564e-06,0.999999959312933,FALSE
-8.41432903412767,0.315258009225958,-0.00600900196837658,-0.62168623625115,NA,0.00188776171220702,NA,NA,8,-542.089047861118,1100.32311082798,35.6591134183604,1.12812542037373e-08,0.999999970594187,FALSE
-7.99022481371409,0.314187148886283,-0.00598656547723776,-0.711490517489245,NA,NA,NA,NA,7,-543.321188191454,1100.75505243925,36.0910550296308,9.08997013339058e-09,0.999999979684157,FALSE
13.791909318657,0.157374149122714,NA,-0.583020126393414,NA,0.0499888077944539,-0.000279276866929846,-0.0120721790521561,9,-541.75022141809,1101.68189444908,37.017897039467,5.7187521020331e-09,0.999999985402909,FALSE
-6.8218607095128,0.31511495696102,-0.00600620949848826,-1.75024634751248,0.199790150326306,0.00188055768818492,NA,NA,9,-542.02429831686,1102.23004824662,37.5660508370072,4.34781629905982e-09,0.999999989750725,TRUE
-6.28240970596953,0.314038006528299,-0.00598364241690609,-1.92266449958616,0.214480927867055,NA,NA,NA,8,-543.246724303012,1102.63846371176,37.9744663021479,3.5447441534157e-09,0.99999999329547,TRUE
-12.9198172205491,0.324324240329895,-0.00616771053258271,NA,NA,0.0618152087647092,-0.000330173585218122,NA,8,-543.311949909674,1102.76891492509,38.1049175154735,3.32091510706742e-09,0.999999996616385,FALSE
17.9202546160363,0.15732263291282,NA,-3.56127678372352,0.527586887107591,0.0513937149224709,-0.000287517991115307,-0.0120679120389969,10,-541.279412348074,1102.78082267798,38.1168252683692,3.30120153315279e-09,0.999999999917586,TRUE
-9.60930910831113,0.13074889045179,NA,-0.570153430402942,NA,0.050872344510368,-0.000284202776232376,NA,8,-547.878612462988,1111.90224003172,47.2382426221006,3.45128978630596e-11,0.999999999952099,FALSE
13.2046774988503,0.366519352634274,-0.00635446394701132,NA,NA,0.00525452308072646,NA,-0.0123645179578661,8,-548.150942639091,1112.44690038392,47.7829029743066,2.62851181487436e-11,0.999999999978384,FALSE
-5.45808178868635,0.130526230036434,NA,-3.55732485709146,0.529156628380077,0.0522808429713781,-0.000292467609698516,NA,9,-547.407677154965,1112.99680592283,48.3328085132168,1.9966386002481e-11,0.999999999998351,TRUE
16.5918816582617,0.157490753927198,NA,-0.649540860884736,NA,0.00176140023268433,NA,-0.0123594582256945,8,-551.921602500134,1119.98822010601,55.3242226963935,6.05526511863941e-13,0.999999999998956,FALSE
17.0821132638211,0.157425166705781,NA,-0.73391503072739,NA,NA,NA,-0.0124103002062467,7,-553.024363683263,1120.16140342286,55.4974060132486,5.55298989597138e-13,0.999999999999511,FALSE
18.071073570701,0.157474459556501,NA,-1.69622345032198,0.185293903509602,0.00175499286735291,NA,-0.0123610741048434,9,-551.86384519536,1121.90914200362,57.2451445940067,2.31744946481863e-13,0.999999999999743,TRUE
18.6632461973527,0.157407928959597,NA,-1.85377813402135,0.198307311151276,NA,NA,-0.012411814156398,8,-552.958361512391,1122.06173813052,57.3977407209072,2.14720962177745e-13,0.999999999999958,TRUE
9.9958195364815,0.157301241891189,NA,NA,NA,0.0603876350965133,-0.000321621013433153,-0.0112670126187114,8,-555.230966667548,1126.60694844084,61.9429510312207,2.21255750097539e-14,0.99999999999998,FALSE
