"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
7.05627511345657,0.0539955897248311,-0.000743564889762966,-0.00194429907031398,3.68339717876232e-05,0.202061182684153,-0.0139211163947997,-0.00455084332166986,11,-196.695671084143,415.558114120275,0,0.715457063090361,0.715457063090361,TRUE
6.94375060421972,0.0539662701003636,-0.00074132206369883,0.0021080255199549,NA,0.179507045056475,-0.0126330621862814,-0.00449562830782553,10,-199.114105228192,418.367099345273,2.80898522499723,0.175638687859346,0.891095750949707,FALSE
8.21896540493591,0.0536477669682761,-0.000738404702262589,-0.00146076012292506,3.10784752983023e-05,-0.0527404785081822,NA,-0.0045560188848636,10,-200.784445746254,421.707780381397,6.14966626112113,0.0330522108109316,0.924147961760639,TRUE
9.62108537333754,0.0119062462819736,NA,-0.00191000941229715,3.65589319056559e-05,0.200280486884028,-0.0138168351265278,-0.00561266831880558,10,-201.242477304665,422.62384349822,7.06572937794448,0.0209064327473064,0.945054394507945,TRUE
8.03046914972145,0.0536495879898368,-0.000736881904492216,0.0019702142854679,NA,-0.0518647216833625,NA,-0.00450830768226477,9,-202.520699864227,423.154964397224,7.59685027694832,0.0160305527630941,0.961084947271039,FALSE
-1.39995027020234,0.0481528350968646,-0.00093371270063024,-0.00183182427586164,3.58882078043677e-05,0.20303753033793,-0.0139680111336105,NA,10,-201.714426206237,423.567741301364,8.00962718108843,0.0130411272327871,0.974126074503826,TRUE
5.78029811922588,NA,NA,-0.0019313914799407,3.67561626074252e-05,0.200137566521334,-0.0138047138244151,-0.00344088188290473,9,-202.894190223668,423.901945116106,8.3438309958301,0.0110342722648097,0.985160346768636,TRUE
9.50171386066897,0.0120003141340614,NA,0.00211213840351013,NA,0.177903758588162,-0.0125395503306255,-0.0055546274684446,9,-203.631796447502,425.377157563773,9.81904344349732,0.00527722222636056,0.990437568994996,FALSE
-1.40936964699214,0.0481819824958676,-0.000929192244610619,0.00211643522452945,NA,0.18105254616543,-0.0127130408460937,NA,9,-204.010072846776,426.133710362323,10.5755962420471,0.00361511427522585,0.994052683270222,FALSE
5.62996598374257,NA,NA,0.00211248744458038,NA,0.177643097433015,-0.012520793013677,-0.00336538659127464,8,-205.30805615398,426.706906759409,11.1487926391339,0.00271427604563914,0.996766959315861,FALSE
10.7574236920634,0.0118519607550658,NA,-0.00142920427115259,3.08382610951157e-05,-0.0526076551531536,NA,-0.0056105138147367,9,-205.290091256902,428.693747182573,13.1356330622975,0.00100511810939304,0.997772077425255,TRUE
