"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
150.286513832734,0.0289777415670428,-0.000221077009200456,-7.31342928849914,0.112559505276717,-1.72660317538978,0.0953263737531102,-0.0120036153345227,11,-8421.18130635665,16864.3986585899,0,0.99678580670593,0.99678580670593,TRUE
40.5326160837933,0.0292484219023925,-0.000223818807379302,-0.308197295980007,NA,-1.6979902988949,0.0939969674426749,-0.0116850850508916,10,-8428.01874309653,16876.0675203228,11.6688617328873,0.00291568575519102,0.999701492461121,TRUE
150.537479101274,0.0126486300106137,NA,-7.38610423213282,0.113783205600135,-1.71677549062892,0.0948193660258823,-0.0114939578772501,10,-8430.30033852785,16880.6307111854,16.232052595511,0.000297753180601723,0.999999245641722,TRUE
39.5673689242586,0.0127124529944589,NA,-0.304656357559376,NA,-1.68746173482526,0.0934561746565589,-0.0111607107539815,9,-8437.28122486673,16892.587019758,28.1883611681442,7.54357114820981e-07,0.999999999998837,TRUE
138.063241668993,NA,NA,-7.44503590461352,0.114740314455256,-1.74704098100594,0.0964193700957917,-0.00448408805597844,9,-8450.6668037977,16919.35817762,54.9595190300861,1.15956186475915e-12,0.999999999999997,TRUE
26.0906918585287,NA,NA,-0.303958500234262,NA,-1.71684287542941,0.0950133741974228,-0.00411486716999457,8,-8457.72303501791,16931.4657233728,67.0670647829174,2.72379092810097e-15,1,TRUE
107.286637732896,0.0137681316095745,-0.00018710991629263,-6.07435375000296,0.0926223473989011,-1.65172154709226,0.0915354261113386,NA,10,-8458.17859323908,16936.3872206079,71.9885620179884,2.32532801079839e-16,1,TRUE
17.4849721620503,0.0143221581689843,-0.000190073498916424,-0.30978178393178,NA,-1.62943826972363,0.0905071768863379,NA,9,-8462.80332729127,16943.6312246071,79.2325660172392,6.21539510260568e-18,1,TRUE
110.01872574333,NA,NA,-6.24032998062864,0.0953382218233292,-1.65219611711119,0.0915581622880808,NA,8,-8464.51625115024,16945.0521556375,80.6534970475768,3.05434076417101e-18,1,TRUE
108.936750593674,0.000464953942456147,NA,-6.17349438182183,0.0942624401731536,-1.64592429952571,0.0912354472543355,NA,9,-8464.44391066872,16946.912391362,82.513732772135,1.20495945360582e-18,1,TRUE
17.6133386832885,NA,NA,-0.306576095632969,NA,-1.63357659604689,0.0907234306013018,NA,7,-8469.45705890308,16952.929401649,88.5307430590874,5.94833269183215e-20,1,TRUE
17.5447130415629,0.000814670215378699,NA,-0.306789441363353,NA,-1.62297809180623,0.090175606779611,NA,8,-8469.23351861155,16954.4866905601,90.0880319701901,2.73045020232435e-20,1,TRUE
126.823425489362,0.0290405525043758,-0.000214562042365992,-6.51466339561252,0.100163715333815,0.160824859476245,NA,-0.0113221881341185,10,-8479.02552474535,16978.0810836204,113.682425030511,2.05483476766637e-25,1,TRUE
29.2766332130153,0.029266470028985,-0.000217013898836698,-0.281029934714231,NA,0.162929968001958,NA,-0.0110394371060579,9,-8484.34821387152,16986.7209977676,122.322339177725,2.73302362722122e-27,1,FALSE
127.035072518012,0.0131790385017672,NA,-6.58088941257806,0.10128356402325,0.160696998334123,NA,-0.0108220051268226,9,-8487.53447763651,16993.0935252976,128.694866707705,1.12944897389619e-28,1,TRUE
28.3800636286865,0.0132203328203512,NA,-0.277522202033945,NA,0.162831558382418,NA,-0.0105265038134555,8,-8492.97287478122,17001.9654028994,137.566744309537,1.33771276683515e-30,1,FALSE
113.26051569996,NA,NA,-6.60340386865736,0.101672498800545,0.162372087258171,NA,-0.00352189180810209,8,-8509.6325470047,17035.2847473464,170.886088756502,7.78321728599816e-38,1,TRUE
86.6009608576961,0.0146269580759038,-0.000182527715320543,-5.34500906839794,0.0813389497660936,0.160930160427124,NA,NA,9,-8511.37046924209,17040.7655085087,176.366849918875,5.02373809694257e-39,1,TRUE
14.1886731085472,NA,NA,-0.275789364770993,NA,0.164526955296151,NA,-0.00320617845976356,7,-8515.0787845633,17044.1728529694,179.774194379515,9.14390155259472e-40,1,FALSE
7.83084176802389,0.0151011796136892,-0.000185131398026425,-0.282819198465854,NA,0.162661496219843,NA,NA,8,-8514.87972960899,17045.779112555,181.380453965081,4.09578078620711e-40,1,FALSE
91.8270610039995,NA,NA,-5.67037082749571,0.0866268482972707,0.161270922927146,NA,NA,7,-8518.22629741549,17050.4678786738,186.069220083908,3.92811395450857e-41,1,TRUE
88.1915645957493,0.00164587605990649,NA,-5.43877322266017,0.0828928341675927,0.160842056154932,NA,NA,8,-8517.30666770276,17050.6329887425,186.234330152613,3.616853201865e-41,1,TRUE
29.0240692876902,0.0274134001929431,-0.000202679263050723,NA,NA,-1.33980103699764,0.0800185966988763,-0.0117724371107836,9,-8518.87657478759,17055.7777195998,191.379061009877,2.7616381351862e-42,1,TRUE
7.91777791601332,0.00194060204042096,NA,-0.279831561862771,NA,0.1626095420403,NA,NA,7,-8520.95124696606,17055.9177777749,191.519119185035,2.57485943254694e-42,1,FALSE
7.94048810546516,NA,NA,-0.27887564789918,NA,0.163216741871332,NA,NA,6,-8522.23555903897,17056.482579396,192.083920806126,1.94137043363915e-42,1,FALSE
28.300627171812,0.0124736468272969,NA,NA,NA,-1.33282176859092,0.0796145526881049,-0.0113155037454299,8,-8526.11269100483,17068.2450353466,203.846376756766,5.41905494815899e-45,1,TRUE
15.17785914598,NA,NA,NA,NA,-1.35943252892406,0.0810169200283751,-0.00444683496476781,7,-8545.59392427985,17105.2031324025,240.804473812615,5.1118105292389e-53,1,TRUE
5.7045663238979,0.0125401810410935,-0.00016797997630249,NA,NA,-1.26182049085594,0.0760629123250085,NA,8,-8553.76468258951,17123.549018516,259.15035992612,5.30659808345245e-57,1,TRUE
5.9103387946746,NA,NA,NA,NA,-1.26634100931157,0.0762585329644993,NA,6,-8558.66559311176,17129.3426475416,264.943988951691,2.929177151438e-58,1,TRUE
5.85406433299217,0.000603192953577662,NA,NA,NA,-1.25841998942087,0.0758510947155898,NA,7,-8558.54865365115,17131.1125911451,266.713932555223,1.20894701613339e-58,1,TRUE
20.0982307207054,0.0274928494334893,-0.000198140207667312,NA,NA,0.23820245316758,NA,-0.0111618255280049,8,-8559.56638900685,17135.1524313507,270.7537727608,1.60386242584107e-59,1,FALSE
19.4238115063154,0.012879546110055,NA,NA,NA,0.237252211783154,NA,-0.0107124518220464,7,-8566.40134982287,17146.8179834885,282.419324898659,4.6992078238464e-62,1,FALSE
5.75235492057233,NA,NA,NA,NA,0.238371850878948,NA,-0.00362940014007089,6,-8587.1720723421,17186.3556060023,321.956947412382,1.22050344502802e-70,1,FALSE
-1.64985332157318,0.0133360200592378,-0.00016518558055825,NA,NA,0.238247438969656,NA,NA,7,-8590.48614215767,17194.9875681581,330.588909568254,1.62979223179111e-72,1,FALSE
-1.43769676073366,NA,NA,NA,NA,0.237787400908469,NA,NA,5,-8595.90668859627,17201.8215627314,337.422904141557,5.3474801014439e-74,1,FALSE
-1.48276410825989,0.0015949177701068,NA,NA,NA,0.237491157853778,NA,NA,6,-8595.08036416116,17202.1721896404,337.773531050498,4.48757284432717e-74,1,FALSE
165.49988199692,0.0291739393171931,-0.000209213646601517,-8.702297694801,0.131940045355413,NA,NA,-0.0112365160495848,9,-8595.69111341739,17209.4067968593,345.008138269473,1.20513726089032e-75,1,TRUE
165.896572722527,0.0137108959763559,NA,-8.77883971664394,0.133228578516076,NA,NA,-0.0107535950903229,8,-8604.04882803491,17224.1173094068,359.718650816911,7.70352154768907e-79,1,TRUE
37.1739602109394,0.0294934193882537,-0.000212419698622179,-0.494980725842661,NA,NA,NA,-0.0108738969141198,8,-8604.57679458456,17225.1732425061,360.774583916216,4.54356078498298e-79,1,FALSE
36.2940444395703,0.013788399526954,NA,-0.491320217380538,NA,NA,NA,-0.0103746268139586,7,-8613.10220429988,17240.2196924425,375.821033852673,2.45528128060138e-82,1,FALSE
152.254980969997,NA,NA,-8.84740066690152,0.134317973184698,NA,NA,-0.00312394314027555,7,-8628.15988046977,17270.3350447823,405.936386192461,7.08982608292071e-89,1,TRUE
125.29192452366,0.0148138571084098,-0.000178502060950039,-7.52182682831506,0.112928857724467,NA,NA,NA,8,-8627.72225325594,17271.4641598488,407.06550125897,4.03135794023647e-89,1,TRUE
127.014169961067,0.00211809674797588,NA,-7.62450583269482,0.114628510066655,NA,NA,NA,7,-8633.59898771652,17281.2132592758,416.814600685964,3.07936605520216e-91,1,TRUE
132.172452150237,NA,NA,-7.95246999498611,0.119905260368465,NA,NA,NA,6,-8635.17792562501,17282.3673125681,417.968653978194,1.72926610795882e-91,1,TRUE
