"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-0.430940786040378,0.127281494532424,-0.00152068761780574,-0.157018779281171,0.923768391126629,0.0059177521867356,-5.35896077888247e-05,10,-1695.349238597,3410.7725263357,0,0.461683097767649,0.461683097767649
-0.409273056788731,0.127285008646503,-0.00152278029421076,-0.172156215869331,0.894527121127827,0.00350815600474503,NA,9,-1696.36854468669,3410.7976546493,0.0251283136017264,0.455918726993276,0.917601824760925
-0.397783560879642,0.127334496985494,-0.00152124967437553,-0.164898177906315,NA,0.00354611683697408,NA,8,-1699.8405569567,3415.72954983671,4.95702350101374,0.0387204145864439,0.956322239347369
-0.416687986046508,0.127334603654554,-0.00151933751201998,-0.151275467955744,NA,0.00568235109815729,-4.74852608113014e-05,9,-1699.03951766376,3416.13960060343,5.36707426773091,0.0315426811638353,0.987864920511205
-0.44790634100508,0.127811165325694,-0.00151892295830497,NA,NA,0.00709145408482462,-6.08966615730291e-05,8,-1701.54329820387,3419.13503233104,8.36250599534787,0.00705421790611403,0.994919138417319
-0.426652596273872,0.127862542926895,-0.00152136798075745,NA,NA,0.00444734057531487,NA,7,-1702.89182614739,3419.82131201234,9.04878567663945,0.00500524259355208,0.999924381010871
0.0960467257668656,0.062279826933491,NA,-0.157565886289925,0.920714153075881,0.00589690230017608,-5.31965442857882e-05,9,-1705.90769974601,3429.87596476793,19.103438432237,3.28159534566426e-05,0.999957196964327
0.117708845623097,0.0622260689456849,NA,-0.172657955726564,0.891852861666527,0.00350483716030006,NA,8,-1706.91574235809,3429.8799206395,19.1073943038023,3.27511097575361e-05,0.999989948074085
-0.308687204584937,0.125830911203257,-0.00151561333239069,-0.348565837039439,0.930393225052114,NA,NA,8,-1709.04584346103,3434.14012284538,23.3675965096804,3.89165977611702e-06,0.999993839733861
0.129253772911527,0.0623076484455863,NA,-0.16545467086633,NA,0.00354231875704511,NA,7,-1710.38148121411,3434.80062214577,24.0280958100757,2.7971081897081e-06,0.999996636842051
0.11033984966777,0.0623602999199945,NA,-0.151874659271828,NA,0.00566324598328877,-4.71426246134391e-05,8,-1709.5891623867,3435.22676069671,24.4542343610151,2.26034355818549e-06,0.999998897185609
0.0781063319679286,0.0628939069853555,NA,NA,NA,0.00707998899656333,-6.06407836263839e-05,7,-1712.11788469555,3438.27342910865,27.5009027729557,4.92718438208229e-07,0.999999389904047
0.0994109407629472,0.062879326124059,NA,NA,NA,0.00444731322987715,NA,6,-1713.46012513234,3438.94848555879,28.1759592230942,3.51570291321921e-07,0.999999741474338
-0.295685860327327,0.125869878646373,-0.00151389752462045,-0.342992593324811,NA,NA,NA,7,-1712.76397219439,3439.56560410632,28.793077770626,2.5822993083047e-07,0.999999999704269
0.220990163175342,0.0607924535600174,NA,-0.3491348541958,0.927264182006322,NA,NA,7,-1719.60099685283,3453.23965342321,42.4671270875133,2.77156135469495e-10,0.999999999981425
0.23398748318993,0.0608701115487571,NA,-0.343597118815925,NA,NA,NA,6,-1723.30913972749,3458.64651474909,47.8739884133925,1.85626287098458e-11,0.999999999999988
-0.304135360437681,0.126339101601183,-0.00150952314054304,NA,NA,NA,NA,6,-1730.65396881889,3473.3361729319,62.5636465962002,1.19900427916845e-14,1
0.225221892508592,0.0614575217001549,NA,NA,NA,NA,NA,5,-1741.3148140499,3492.64978939012,81.8772630544217,7.67224046929887e-19,1
1.21234368498289,NA,NA,-0.199928576266256,0.918114253069361,0.0033082412432662,NA,7,-1753.44073339243,3520.91912650242,110.146600166723,5.57588295653684e-25,1
1.19445892762797,NA,NA,-0.186879882016931,0.942963297328716,0.00537471221098581,-4.5951729887298e-05,8,-1752.6908684229,3521.43017276911,110.65764643341,4.3185839074492e-25,1
1.22574961737064,NA,NA,-0.192666161092378,NA,0.00334587404447644,NA,6,-1757.10098744065,3526.23021017541,115.457683839714,3.91765765869196e-26,1
1.21060107264653,NA,NA,-0.181214162355284,NA,0.00513338466461747,-3.97286185043568e-05,7,-1756.5400098304,3527.11767937835,116.345153042652,2.51370896483631e-26,1
1.18360920257767,NA,NA,NA,NA,0.0068225654688402,-5.57800322521827e-05,6,-1760.12616890078,3532.28057309568,121.508046759979,1.90198403828706e-27,1
1.20297751325833,NA,NA,NA,NA,0.00440087464475862,NA,5,-1761.25862953309,3532.5374203565,121.764894020808,1.67275830175277e-27,1
1.28559500791765,NA,NA,-0.366851364138743,0.951406927575892,NA,NA,6,-1764.6817066249,3541.39164854393,130.619122208229,1.99876608743773e-29,1
1.30035171420367,NA,NA,-0.361283376696185,NA,NA,NA,5,-1768.57244230569,3547.1650459017,136.392519566004,1.1145117849479e-30,1
1.30234388816739,NA,NA,NA,NA,NA,NA,4,-1788.43581942289,3584.8850751911,174.112548855401,7.18264457344673e-39,1
