"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-10.7595243945132,0.432552931522413,-0.00962829101453168,NA,NA,0.00125938576062656,NA,7,-255.724739331233,525.606782033252,0,0.242049973045938,0.242049973045938
-10.776641632742,0.43284272196499,-0.00964104663440362,NA,NA,0.00300480341832063,-2.85516690463226e-05,8,-254.870118220352,525.942768086273,0.335986053021088,0.204619299805256,0.446669272851194
-10.790790927179,0.432972967497487,-0.00963932853856193,0.114925317223609,NA,0.00371249829227728,-3.51613147059837e-05,9,-254.281398288522,526.816317703804,1.20953567055267,0.132207990718089,0.578877263569282
-10.7535831588745,0.432974250488288,-0.00963690293197059,0.0756494947836784,-0.841612093543694,0.00135902393755725,NA,9,-254.33810506876,526.929731264281,1.32294923102972,0.124919507453721,0.703796771023003
-10.7657339249141,0.432587973758427,-0.00962546611992128,0.0706491314712631,NA,0.00144604407400394,NA,8,-255.485564942103,527.173661529775,1.56687949652337,0.110576153636343,0.814372924659346
-10.7759947767287,0.43318533498799,-0.00964522108583771,0.109206012824683,-0.647187263374548,0.0031559496658796,-2.75651383390922e-05,10,-253.657374340782,527.625044873384,2.01826284013259,0.0882358007597986,0.902608725419145
-10.7198566816097,0.432392285560688,-0.00961818386937934,NA,NA,NA,NA,6,-258.352301797707,528.822415657125,3.2156336238736,0.0484885357198392,0.951097261138984
-10.7092141781399,0.432851066851027,-0.00963349994443333,-0.0232150079262848,-0.957036520290162,NA,NA,8,-256.790439401388,529.783410448345,4.17662841509377,0.0299889804988963,0.98108624163788
-10.7197218034104,0.432391643860122,-0.00962054564045761,-0.0362162577588661,NA,NA,NA,7,-258.274855928756,530.707015228298,5.10023319504671,0.0188974616252775,0.999983703263158
-9.66560008234879,0.181044680444657,NA,NA,NA,0.00124536675683246,NA,6,-267.75549334998,547.62879876167,22.0220167284187,3.99838735988803e-06,0.999987701650518
-9.68121726125048,0.181052148452437,NA,NA,NA,0.00294097844786016,-2.77372474314382e-05,7,-266.947925742649,548.053154856085,22.4463728228338,3.23397836926472e-06,0.999990935628887
-9.69308433423764,0.181015661291428,NA,0.115321032401651,NA,0.00365310234061078,-3.43955825699348e-05,8,-266.355536220111,548.913604085792,23.3068220525404,2.10325986487861e-06,0.999993038888752
-9.656194054103,0.181021262595469,NA,0.0766724299196945,-0.831701373744635,0.00134867362514355,NA,8,-266.385985995534,548.974503636638,23.3677216033868,2.04018131195708e-06,0.999995079070064
-9.67063633415501,0.181019235075674,NA,0.0718389434628857,NA,0.00143542338552167,NA,7,-267.508205479253,549.173714329293,23.5669322960412,1.84676107787968e-06,0.999996925831142
-9.67699500069652,0.181017402075323,NA,0.109507014533961,-0.642161614150998,0.00309923707921198,-2.68441142970606e-05,9,-265.740483600657,549.734488328074,24.1277062948229,1.39521194634843e-06,0.999998321043088
-9.6273483417655,0.181224568689748,NA,NA,NA,NA,NA,5,-270.32730305824,550.738639729926,25.1318576966747,8.44484105314578e-07,0.999999165527193
-9.61435900621794,0.18122080642016,NA,-0.0215171459091412,-0.947023184727433,NA,NA,7,-268.800927768785,551.759158908356,26.152376875104,5.06977348683649e-07,0.999999672504542
-9.62774368551206,0.181224547768679,NA,-0.0343261225270189,NA,NA,NA,6,-270.257665561744,552.6331431852,27.0263611519485,3.27495458242817e-07,1
-7.54432248163124,NA,NA,NA,NA,0.00127646655996546,NA,5,-301.569057753952,613.22214912135,87.6153670880982,2.28281023198348e-20,1
-7.55892898978027,NA,NA,NA,NA,0.00294424529081073,-2.72868389084464e-05,6,-300.806783802232,613.731379666175,88.1245976329233,1.76966801963398e-20,1
-7.53488853730871,NA,NA,0.0836355097147387,-0.843239173476677,0.00139628316522357,NA,7,-300.15273929895,614.462781968687,88.8559999354352,1.22763655165408e-20,1
-7.57139859880854,NA,NA,0.122441890624325,NA,0.00370173358595554,-3.43764485127712e-05,7,-300.156411190157,614.4701257511,88.8633437178487,1.22313706965463e-20,1
-7.54990741306432,NA,NA,0.0788260351334147,NA,0.00148516208068356,NA,6,-301.278929963284,614.67567198828,89.0688899550282,1.10367531780934e-20,1
-7.55490996070389,NA,NA,0.116392045753098,-0.654918579283385,0.00313541522491901,-2.66640844744016e-05,8,-299.532010486244,615.266552618058,89.6597705848064,8.21359400009279e-21,1
-7.50072973301589,NA,NA,NA,NA,NA,NA,4,-304.204399068234,616.464742192412,90.8579601591608,4.51179825108456e-21,1
-7.48751259039691,NA,NA,-0.0181231416302858,-0.963718379304528,NA,NA,6,-302.675474352603,617.468760766917,91.8619787336652,2.73105098714521e-21,1
-7.50134302011543,NA,NA,-0.031141108074723,NA,NA,NA,5,-304.148526897149,618.381087407743,92.7743053744913,1.73069522453219e-21,1
