"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
1.23683819888609,-0.0362257830031932,NA,-0.245847851535713,NA,-0.0550422644355763,-0.00173058744527262,8,-982.43980022087,1980.97592151197,0,0.495657884281983,0.495657884281983
2.24980715300168,-0.0361704063456151,NA,-0.936709822387729,0.112924394354108,-0.0573091997403652,-0.00176382566210028,9,-982.242137320911,1982.60475656953,1.62883505756031,0.219525502554909,0.715183386836892
1.15888765234181,-0.0277372261613692,-0.000200781763964258,-0.245467328122968,NA,-0.0549756433895434,-0.0017295260367347,9,-982.348820949122,1982.81812382595,1.84220231398172,0.19731171390813,0.912495100745022
2.17158949793426,-0.0276819502050361,-0.00020078379488609,-0.936144973557639,0.112893934512667,-0.0572422119666631,-0.00176275890954484,10,-982.151306094291,1984.44996650874,3.47404499676986,0.0872574933377458,0.999752594082768
0.688511537525218,-0.0365846720266371,NA,NA,NA,-0.0477235596854927,-0.0016857322902558,7,-991.398459361706,1996.87178503357,15.8958635215984,0.000175161684268995,0.999927755767037
0.601455603336181,-0.0269884926076064,-0.000226963950658881,NA,NA,-0.047652381782119,-0.00168445762329123,8,-991.273391106659,1998.64310328355,17.6671817715796,7.22440761407199e-05,0.999999999843178
0.374396069813283,NA,NA,-0.269717696193224,NA,-0.0582605656073797,-0.00178504919740377,7,-1005.72684430042,2025.528554911,44.552633399029,1.04881912743717e-10,0.99999999994806
1.62734445734529,NA,NA,-1.12317168625086,0.139524424129961,-0.0610491540877469,-0.00182588876455065,8,-1005.41893680009,2026.93419467042,45.9582731584487,5.19361561041001e-11,0.999999999999996
-0.238748321817765,NA,NA,NA,NA,-0.0504409311518816,-0.00174056660251717,6,-1016.88860484822,2045.83332192089,64.8574004089166,4.08861732592207e-15,1
-6.04779538094368,-0.0397933891693767,NA,5.49050705100991,-0.924460447717079,0.0496456681270677,NA,8,-1069.74720762367,2155.59073631757,174.614814805596,5.99869463241772e-39,1
-6.16817887889369,-0.0255932740602559,-0.000335430567020091,5.48317699356897,-0.923107201561918,0.0496571236021611,NA,9,-1069.44929950813,2157.01908094398,176.043159432004,2.93694395926747e-39,1
2.43354620248079,-0.0398619968097658,NA,-0.150217547562495,NA,0.0472143499355234,NA,7,-1082.98077238468,2180.03641107951,199.06048956754,2.94948319919906e-44,1
2.29184239258584,-0.0247199191792167,-0.000357670514128238,-0.149185249341778,NA,0.0472317785596146,NA,8,-1082.63748065102,2181.37128237228,200.395360860309,1.5131511367332e-44,1
2.07497595679029,-0.0399714469505706,NA,NA,NA,0.050102992134028,NA,6,-1085.74180637154,2183.53972496753,202.563803455552,5.11694774268845e-45,1
1.93028439502933,-0.0242350360555627,-0.000371715468603562,NA,NA,0.0501003145817535,NA,7,-1085.35742505681,2184.78971642378,203.813794911802,2.73891645869161e-45,1
-7.06253700873985,NA,NA,5.54439733235169,-0.938387986214129,0.0496230282549478,NA,7,-1102.43428541945,2218.94343714906,237.967515637085,1.05000788899811e-52,1
1.54565981235327,NA,NA,-0.181967436416507,NA,0.0471263437935398,NA,6,-1116.28954819598,2244.63520861641,263.659287104436,2.76882350284413e-58,1
1.10944196293221,NA,NA,NA,NA,0.0506747134770273,NA,5,-1120.47011064554,2250.98027469561,270.004353183639,1.16006327976738e-59,1
4.00970774195576,-0.0471218861571092,NA,-1.10923455227732,NA,NA,NA,6,-1341.16016775882,2694.3764477421,713.400526230125,6.05656042514565e-156,1
6.21965507285732,-0.0470376494019982,NA,-2.57990577206185,0.243098571081679,NA,NA,7,-1340.47987770192,2695.03462171399,714.05870020202,4.35818229835761e-156,1
3.87378069134721,-0.032594904567511,-0.000341974908062405,-1.10870484054933,NA,NA,NA,7,-1340.93115040562,2695.9371671214,714.961245609423,2.77536525700906e-156,1
6.09570360282228,-0.0322657031568575,-0.000347744329329928,-2.58885261155908,0.244666697270995,NA,NA,8,-1340.24228741814,2696.58089590651,715.604974394533,2.01157494530325e-156,1
2.94486863065776,NA,NA,-1.14029139291748,NA,NA,NA,5,-1376.4041903647,2762.84843413394,781.872512621968,8.19828717474391e-171,1
5.14045090401902,NA,NA,-2.60027298981042,0.241363038775227,NA,NA,6,-1375.72285334419,2763.50181891282,782.525897400848,5.91347036855121e-171,1
0.827432234075742,-0.0535261846247483,NA,NA,NA,NA,NA,5,-1493.73878137414,2997.51761615282,1016.54169464084,9.03561494788027e-222,1
0.641374283212969,-0.0334126582273847,-0.000473440144662231,NA,NA,NA,NA,6,-1493.25107477454,2998.55826177353,1017.58234026155,5.37012493828726e-222,1
-0.489363628037168,NA,NA,NA,NA,NA,NA,4,-1543.37491096721,3094.77650639072,1113.80058487875,6.862115790828e-243,1
