"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","Year","df","logLik","AICc","delta","weight","cw"
-0.298267774009226,0.307007673964446,-0.00446929332870291,0.0163465186097125,-0.000199056145365739,-0.311792749296198,0.00900615380016556,-0.00390726025997526,11,833.357399164121,-1644.61820118225,0,0.506226675654604,0.506226675654604
-7.72201324123133,0.291573746302464,-0.00435632388311151,0.0163606263906358,-0.000199360882624458,-0.312064932379298,0.00901091580299704,NA,10,832.225672100691,-1644.37087602289,0.247325159359434,0.447341356791657,0.953568032446261
-0.900676004403538,0.306778051730878,-0.0044679264494219,0.00475910591365601,NA,-0.225749961531179,0.00651771077267879,-0.00389369129253557,10,829.202080859661,-1638.32369354083,6.29450764141916,0.0217525441665539,0.975320576612815
-8.2995098371438,0.291395277223557,-0.00435537037652401,0.00475545885529822,NA,-0.225892083022033,0.00651870694074162,NA,9,828.074283555332,-1638.08275358233,6.53544759992019,0.0192837108978828,0.994604287510698
-2.89851631825428,0.306714811564077,-0.0044655211169415,0.00499608527955599,NA,NA,NA,-0.00387213069723931,8,824.135118094103,-1632.21760460926,12.4005965729893,0.00102704552497894,0.995631333035677
-2.97269158709087,0.306804766790843,-0.00446569288426024,0.0102895102374188,-9.033958847362e-05,NA,NA,-0.003873132236074,9,825.137348862656,-1632.20888419698,12.4093169852722,0.00102257714338501,0.996653910179062
-10.2584121197191,0.291384915946781,-0.00435326258916487,0.00500277225963945,NA,NA,NA,NA,7,823.015868586785,-1631.99081645746,12.6273847247912,0.000916944971480176,0.997570855150542
-10.3345955922688,0.291466706767569,-0.00435333563628683,0.0103082085284673,-9.05448349411007e-05,NA,NA,NA,8,824.018633302087,-1631.98463502523,12.633566157022,0.000914115329941788,0.998484970480484
-2.9837892408364,0.306769551069005,-0.00446505414224475,0.0101991859872377,-9.09794417044366e-05,-0.00132689343622249,NA,-0.00385409760971785,10,825.205125724364,-1630.32978327023,14.2884179120131,0.000399626702475634,0.998884597182959
-2.90797199559857,0.30668272104512,-0.00446494841033817,0.00488171658780359,NA,-0.00118729190216562,NA,-0.003855094538226,9,824.18937978865,-1630.31294604896,14.3052551332848,0.000396276522584241,0.999280873705544
-10.3074440926372,0.291507009493759,-0.00435320379606547,0.0102104699419582,-9.12354514343269e-05,-0.00143439415725566,NA,NA,9,824.097549284339,-1630.12928504034,14.488916141906,0.000361507125599859,0.999642380831143
-10.2333824861973,0.291420688533767,-0.00435314259364557,0.00487803956735132,NA,-0.0012945697882178,NA,NA,8,823.080145203085,-1630.10765882722,14.5105423550258,0.00035761916885651,1
-7.47229671134649,0.291210228409396,-0.00435340351379198,NA,NA,-0.287218745079914,0.0077419672869461,NA,8,792.167390547131,-1568.28214951531,76.3360516669336,1.34332786025212e-17,1
