"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","Year","df","logLik","AICc","delta","weight","cw"
0.385632966462996,0.430524105872137,-0.007799118661438,-2.95658830101241,0.552673954436345,0.0357824579991193,-0.000177402061094947,-0.00436468020178019,11,-1217.87699215348,2457.8239180818,0,0.515283262640712,0.515283262640712
-8.13103933806457,0.411275922537941,-0.00742018980774484,-2.95697043654458,0.552939752787145,0.0358713795562604,-0.000177857749447795,NA,10,-1219.68335954403,2459.42498179992,1.60106371812071,0.231408585141095,0.746691847781807
-3.91696575121383,0.430357746042013,-0.00779433763226762,0.130361091133569,NA,0.0347768077758223,-0.00017091199765445,-0.00434496945899611,10,-1220.05110989078,2460.16048249343,2.33656441163112,0.160201847685515,0.906893695467322
-12.3973207480491,0.411201639636599,-0.00741710155238042,0.131476471128134,NA,0.0348650299022873,-0.000171363023059271,NA,9,-1221.84991652825,2461.74748992703,3.9235718452228,0.0724524765733395,0.979346172040662
-3.35180169547091,0.430442071439708,-0.00779136212550677,NA,NA,0.0328859524291134,-0.000164558530743987,-0.00438956216848671,9,-1223.4638539451,2464.97536476073,7.151446678924,0.014425441731199,0.993771613771861
-11.9153382252324,0.411109486379693,-0.00741063511892775,NA,NA,0.0329612197424812,-0.000164973612257236,NA,8,-1225.30850084564,2466.65511709626,8.83119901445752,0.00622838622769528,0.999999999999556
-2.47317323526477,0.42966287200433,-0.00777250393954479,0.0891230829273992,NA,0.00485000364597189,NA,-0.00436394438628255,9,-1248.79954830573,2515.646753482,57.8228354001994,1.43211160770298e-13,0.999999999999699
-0.376849607946551,0.429735499140892,-0.0077744991963424,-1.39585324374975,0.265726962448017,0.00478706244679106,NA,-0.00437440756529531,10,-1248.29645128336,2516.65116527857,58.8272471967721,8.66705623511929e-14,0.999999999999786
-2.10593317360607,0.429798389194256,-0.00777226240979938,NA,NA,0.0043114968123691,NA,-0.00440128615658404,8,-1250.38738681244,2516.81288902986,58.9889709480594,7.9938086468458e-14,0.999999999999866
-10.987667091506,0.410470969271929,-0.0073945035962018,0.0902717083259928,NA,0.00485963327164942,NA,NA,8,-1250.63181939681,2517.30175419861,59.4778361168028,6.26034151373607e-14,0.999999999999929
-8.91668129272156,0.410495859326673,-0.00739561491492138,-1.39116207394181,0.265092332263446,0.00479682486549983,NA,NA,9,-1250.13329050883,2518.31423788818,60.4903198063812,3.77346204256146e-14,0.999999999999966
-10.6895597682849,0.410454085859664,-0.00739125159987552,NA,NA,0.00431422736930102,NA,NA,7,-1252.2548544986,2518.53934646743,60.7154283856285,3.37177261341244e-14,1
3.47778354233206,0.430506991558569,-0.00778700258394222,-3.58942783348198,0.603029802559594,NA,NA,-0.00435326838155539,9,-1296.51415787536,2611.07597262125,153.252054539452,2.71509620421176e-34,1
-5.01191691017819,0.411391079534357,-0.00741015582517705,-3.59022053148359,0.603288834829623,NA,NA,NA,8,-1298.35350639481,2612.74512819459,154.921210112792,1.17850843458527e-34,1
-1.23585317970534,0.430408697559667,-0.00778370826064936,-0.228828124099767,NA,NA,NA,-0.00433243946963965,8,-1299.07172333168,2614.18156206833,156.357643986528,5.74665390895807e-35,1
-9.68699836872798,0.41138816830841,-0.00740861367363958,-0.228166869909945,NA,NA,NA,NA,7,-1300.90226520635,2615.83416788293,158.010249801132,2.51510574713921e-35,1
-1.88993769239389,0.430578883089094,-0.00780657384577782,NA,NA,NA,NA,-0.00432153445478082,7,-1315.7633267705,2645.55629101122,187.732372929422,8.84054862219141e-42,1
-10.3227143524782,0.411790027236796,-0.00742653874464061,NA,NA,NA,NA,NA,6,-1317.47903727566,2646.98029677355,189.156378691747,4.33770781296419e-42,1
-33.0325152476622,0.185976378110873,NA,-3.17148016067879,0.591755992326611,0.0357555783542492,-0.000176835949453156,0.013267898340335,10,-1366.66844654888,2753.39515580962,295.571237727814,3.38506691994599e-65,1
-37.5853836214214,0.185933162424208,NA,0.133633915642966,NA,0.0346841691544639,-0.00016992655549619,0.0132615717293022,9,-1369.15113132275,2756.34991951603,298.526001434228,7.72588914248672e-66,1
-37.0101676141823,0.1861742887183,NA,NA,NA,0.0327056743466405,-0.000163189376814994,0.0132187049738165,8,-1372.6917448559,2761.42160511677,303.597687034966,6.11851370357773e-67,1
-7.08912201131809,0.218655699672955,NA,-3.16289882917328,0.590035572702335,0.0355538127422118,-0.000175862318346132,NA,9,-1373.37465198836,2764.79696084726,306.973042765455,1.1316099382606e-67,1
-11.640655099347,0.218554019899639,NA,0.132581133414203,NA,0.0344865370125383,-0.000168980039606261,NA,8,-1375.87670981395,2767.79153503288,309.967616951079,2.53182235805454e-68,1
-11.1523747920351,0.218668206590949,NA,NA,NA,0.032518418866693,-0.000162265990771242,NA,7,-1379.40439541493,2772.83842830008,315.014510218279,2.03008528090271e-69,1
-36.1252589197772,0.186066793608256,NA,0.0910619008273804,NA,0.00492394840842809,NA,0.0132316176574756,8,-1397.37330780422,2810.78473101341,352.960812931611,1.16836716634523e-77,1
-33.7142699454174,0.18609577843142,NA,-1.63641496020906,0.309129219367721,0.00485147390128375,NA,0.0132334721572795,9,-1396.69468442326,2811.43702571704,353.61310763524,8.43209223929083e-78,1
-35.7598674022054,0.186248851121942,NA,NA,NA,0.00437279078278588,NA,0.0131985033129609,7,-1399.01222775691,2812.05409298405,354.230174902251,6.19356777222685e-78,1
-10.244772804385,0.218570295283561,NA,0.0899680938070364,NA,0.00489115402139651,NA,NA,7,-1404.15394187905,2822.33752122834,364.513603146533,3.62178631487566e-80,1
-7.82792636382276,0.218626117910156,NA,-1.63925488030392,0.309443346080764,0.00481870422731234,NA,NA,8,-1403.46467051231,2822.9674564296,365.143538347802,2.64322499500181e-80,1
-9.94744043438038,0.218659155456197,NA,NA,NA,0.00434659330604671,NA,NA,6,-1405.77350641733,2823.56923505688,365.745316975081,1.95640860293358e-80,1
-29.6568529650598,0.186823154161572,NA,-3.83851680010022,0.646950965017741,NA,NA,0.0131654615516927,8,-1445.82986644666,2907.69784829829,449.87393021649,1.05478346581565e-98,1
-34.6553205615275,0.186797659794357,NA,-0.233205351250118,NA,NA,NA,0.0131582155056745,7,-1448.76497490028,2911.55958727079,453.735669188987,1.52966859434029e-99,1
-3.93298573874388,0.219135949098595,NA,-3.82340826348327,0.644384125167687,NA,NA,NA,7,-1452.56756239402,2919.16476225827,461.340844176469,3.4131437901868e-101,1
-8.92529368409756,0.219047044339471,NA,-0.232416542311436,NA,NA,NA,NA,6,-1455.51937776395,2923.06097775013,465.237059668325,4.86521615972372e-102,1
-35.5523206523371,0.18628321862864,NA,NA,NA,NA,NA,0.0132858630807074,6,-1466.03743521971,2944.09709266164,486.273174579837,1.3157331811608e-106,1
-9.57107670636222,0.218843447656722,NA,NA,NA,NA,NA,NA,5,-1472.90381709822,2955.82350301422,497.999584932415,3.73947102838272e-109,1
-135.426465048482,NA,NA,-3.27955797243214,0.613010219119577,0.0369777475364898,-0.00018283124164698,0.0658919650232636,9,-1505.35626202639,3028.76018092331,570.936262841508,5.43014967770144e-125,1
-140.129674439342,NA,NA,0.144251908737936,NA,0.0358677548754326,-0.000175674444210108,0.0658785216489559,8,-1507.91129256781,3031.86070054059,574.036782458785,1.15223886616564e-125,1
-139.689317467334,NA,NA,NA,NA,0.0337312189602802,-0.000168397174721116,0.065924624645618,7,-1511.86549375725,3037.76062498473,579.936706902924,6.03101217859955e-127,1
-138.690185835245,NA,NA,0.10021743849597,NA,0.00510059036385054,NA,0.0658837708356843,7,-1536.83044573441,3087.69052893906,629.866610857257,8.67459726150234e-138,1
-136.198960339116,NA,NA,-1.69190868073145,0.32069909551485,0.00502551423625701,NA,0.0658909051172273,8,-1536.13053690041,3088.29918920579,630.475271123993,6.39853313347109e-138,1
-138.422765942748,NA,NA,NA,NA,0.0044940416171321,NA,0.0659162549393261,6,-1538.73192147415,3089.48606517053,631.662147088726,3.53470831969049e-138,1
-132.36776902114,NA,NA,-3.96980226058702,0.67006187121446,NA,NA,0.0660097996086787,7,-1586.62071941573,3187.27107630169,729.447158219893,2.06351774806462e-159,1
-137.54453515655,NA,NA,-0.235693688007084,NA,NA,NA,0.0660019736027258,6,-1589.63320772219,3191.28863766661,733.464719584805,2.76825340513643e-160,1
-138.063930584335,NA,NA,NA,NA,NA,NA,0.0659332943559136,5,-1606.50678211322,3223.02943304421,765.205514962403,3.54633453184045e-167,1
-4.99630893775488,NA,NA,-3.25542506185168,0.610183904319831,0.0374484806353067,-0.0001853631501779,NA,8,-1657.24053732226,3330.51919004949,872.695271967685,1.61687161440764e-190,1
-9.70518092158387,NA,NA,0.152552550888023,NA,0.0363473148174171,-0.000178264867650073,NA,7,-1659.7537749625,3333.53718739522,875.713269313422,3.57540908929116e-191,1
-9.13904260702326,NA,NA,NA,NA,0.0340666900820933,-0.000170450823988337,NA,6,-1664.12546386074,3340.2731499437,882.449231861894,1.23205489152537e-192,1
-8.22490329596799,NA,NA,0.107067807691903,NA,0.00512299639810288,NA,NA,6,-1689.2954318445,3390.61308591121,932.789167829411,1.44361654998427e-203,1
-5.75615975312531,NA,NA,-1.6585000242282,0.315949462467187,0.00504939116844131,NA,NA,7,-1688.62033516917,3391.27030780857,933.446389726766,1.03929282866186e-203,1
-7.86847552573521,NA,NA,NA,NA,0.00447448242304466,NA,NA,5,-1691.44354820041,3392.90296521859,935.079047136784,4.59421037852602e-204,1
-1.67607298758154,NA,NA,-3.93964842148048,0.665477628270735,NA,NA,NA,6,-1739.1953560721,3490.41293436643,1032.58901628463,3.07744367392324e-225,1
-6.83383992143389,NA,NA,-0.231103935226554,NA,NA,NA,NA,5,-1742.15417852381,3494.32422586538,1036.50030778358,4.35375468979029e-226,1
-7.48226005286879,NA,NA,NA,NA,NA,NA,NA,4,-1758.28909958451,3524.58877558361,1066.76485750181,1.16681092097348e-232,1
