"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw"
-2.15151340309104,0.0962870556053237,-0.00053523353073268,0.0153828316841366,0.000758242895525847,0.041117364584471,-0.000768496997200577,-0.00339475214810195,11,-25620.7422528889,51263.4890845801,0,0.760534616100352,0.760534616100352
-1.94974499346502,0.0962917026231895,-0.000535303070001955,0.0156206382348755,0.000706768260938483,0.0177099708471785,NA,-0.00340815324717031,10,-25623.6334163209,51267.2706482441,3.78156366396433,0.114805546391819,0.875340162492171
-2.18715971233502,0.0962599958785419,-0.000534914047050463,0.0201579142663874,NA,0.0393148220643534,-0.000714186060768373,-0.00337133251272994,10,-25623.7509323932,51267.5056803887,4.01659580860724,0.102076621648692,0.977416784140863
-1.99652002570765,0.0962658722328549,-0.000534998206268328,0.0200772783781639,NA,0.017571073494714,NA,-0.00338531132264737,9,-25626.2597960478,51270.522713898,7.03362931789889,0.0225832158591365,1
-8.4370643239701,0.0896505728297158,-0.000543174203068023,0.0159378936727646,0.000626595416951883,0.0434535972331414,-0.000847024234073901,NA,10,-25695.2664431531,51410.5367019086,147.047617328462,8.91527193387457e-33,1
-8.43067062582906,0.0896645943380943,-0.000542843831971992,0.019885247026644,NA,0.0419491535142767,-0.000801649512022425,NA,9,-25697.3222180999,51412.6475580021,149.158473422009,3.10290170338538e-33,1
-8.24202254985747,0.0896295194363097,-0.000543307583279659,0.0162028421025094,0.000569263497274646,0.0176543642419494,NA,NA,9,-25698.777674037,51415.5584698764,152.069385296272,7.2388826392897e-34,1
-8.24572451522356,0.0896433470204778,-0.000542999332365278,0.0197937288459295,NA,0.0175426276398818,NA,NA,8,-25700.4826495734,51416.9677965454,153.478711965319,3.5779983658828e-34,1
-1.75257186667466,0.0961556793821212,-0.000533796213123353,0.0160648537237472,NA,NA,NA,-0.00336143492171162,8,-25940.4105753573,51896.8236481131,633.334563532961,2.26081963057975e-138,1
-1.7500404533897,0.0961570090853144,-0.000533811767468491,0.0158317889698863,3.67008132316459e-05,NA,NA,-0.0033626129852393,9,-25940.403526022,51898.8101738463,635.321089266232,8.37331314827001e-139,1
-2.27768878900716,0.095768963796374,-0.000529894734157964,NA,NA,0.014005466246747,NA,-0.00317223286264012,8,-25945.5843158151,51907.1711290287,643.682044448622,1.28038030116915e-140,1
-2.37044347453033,0.0957645902634628,-0.000529839341021857,NA,NA,0.0245146293312484,-0.000345408704028858,-0.0031650469665074,9,-25945.0036218154,51908.0103654331,644.521280853034,8.41591061316288e-141,1
-8.13449401997686,0.0895421246875652,-0.000537257396932937,NA,NA,0.0140225251279724,NA,NA,7,-26010.7811984595,52035.5643393064,772.075254726238,1.68697099321689e-168,1
-8.23450289187534,0.089553259685786,-0.000537156113210543,NA,NA,0.0272480024379271,-0.0004346905896035,NA,8,-26009.8616583587,52035.7258141159,772.23672953574,1.55612258434493e-168,1
-7.95823883832187,0.0895811172620545,-0.000541724394352869,0.0157801425505542,NA,NA,NA,NA,7,-26013.4079322217,52040.8178068308,777.328722250662,1.21992080157789e-169,1
