"(Intercept)","pre","I(pre^2)","tmn","I(tmn^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
-1399.80689956173,0.0100554879460463,-1.29651251032826e-05,-3.71461649845971,0.081197918848992,1.46738794271627,-0.000373327732192857,10,-717.369684327885,1455.00474863164,0,0.561670558777371,0.561670558777371
-1402.70618559531,0.0103490789819995,-1.31432636299484e-05,NA,NA,1.42712315374167,-0.00036309787514795,8,-720.660419996786,1457.49412519213,2.48937656048361,0.161778352414449,0.72344891119182
-1412.2895895433,0.00975880290487737,-1.22296809677533e-05,0.0440342554804805,NA,1.43642676159034,-0.000365588081900178,9,-719.95439469978,1458.12565686944,3.12090823779454,0.117973658296663,0.841422569488483
-1370.14592042161,0.00367495023209005,NA,-3.47047651614024,0.0761840143854291,1.43545950750615,-0.000365331827695436,9,-720.097685798611,1458.4122390671,3.40749043545657,0.10222438662008,0.943646956108563
-1383.47483734565,0.00373679021643068,NA,0.0553026063522712,NA,1.40800363124522,-0.000358468095241534,8,-722.366503568647,1460.90629233585,5.90154370420601,0.0293749899860928,0.973021946094656
-1368.3863467853,0.00391622147623448,NA,NA,NA,1.39331267541442,-0.00035458406876691,7,-723.493205471082,1461.12102632678,6.1162776951353,0.026384497878255,0.999406443972911
51.267588734165,0.00962055381435079,-1.21465308778576e-05,-3.56882150809088,0.0779491313108244,NA,-2.79346416865095e-06,9,-726.614905880897,1471.44667923167,16.4419306000291,0.000151064283178286,0.999557508256089
62.1300350709766,0.00962293417036382,-1.21504616227777e-05,-3.5718968354089,0.0780102452345357,-0.0109986686675526,NA,9,-726.746342710322,1471.70955289052,16.7048042588785,0.000132458399913307,0.999689966656002
10.1881338847637,0.00985655611188382,-1.22442866408355e-05,NA,NA,NA,-2.74057962010522e-06,7,-729.574372749005,1473.28336088263,18.2786122509808,6.03019617975532e-05,0.9997502686178
20.815224175351,0.00985511218732356,-1.22419961799417e-05,NA,NA,-0.0107941835654026,NA,7,-729.702574195594,1473.5397637758,18.5350151441601,5.3046197804589e-05,0.999803314815604
9.85386061810872,0.00930415003415853,-1.13838851428417e-05,0.0399974564142765,NA,NA,-2.86927122200421e-06,8,-728.99341657918,1474.16011835692,19.1553697252718,3.88996751626318e-05,0.999842214490767
