"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","Year","df","logLik","AICc","delta","weight","cw"
11.1647104720678,0.103632570977977,-0.00198969207784987,NA,NA,0.0336914254136386,-0.000169303502113101,-0.00668906951053749,9,-1133.89583810803,2285.83841732226,0,0.595870304945093,0.595870304945093
11.3387996326965,0.10375106606588,-0.00199179393473481,-0.0128001055888642,NA,0.0333425657891361,-0.00016781017263525,-0.00674089714074818,10,-1133.67416223287,2287.40546732288,1.56705000061629,0.27218936908465,0.868059674029743
11.803376093924,0.103765877975656,-0.00199222956100531,-0.257448804406938,0.0292539129145008,0.0337440815203099,-0.000170212232715486,-0.00672648823976116,11,-1133.50615854943,2289.08090634283,3.24248902056661,0.117775294362858,0.9858349683926
-1.88539987172075,0.0764186216200629,-0.00163161253093722,NA,NA,0.0338584157525896,-0.000170306972860473,NA,8,-1139.11822214446,2294.27382746649,8.43541014422271,0.00877860895848794,0.994613577351088
-1.82558579701821,0.0763430608739417,-0.00163098540699067,-0.0104950044911906,NA,0.033573731512977,-0.000169090724651497,NA,9,-1138.96982913988,2295.98639938596,10.1479820636996,0.00372859692130926,0.998342174272398
-1.29374554365512,0.0764210249797797,-0.00163219312817753,-0.274575096755216,0.0315764660964685,0.034006663552969,-0.000171680924869478,NA,10,-1138.77515333055,2297.60744951825,11.7690321959853,0.00165782571941572,0.999999999991813
-1.69355779746868,0.0332885661688161,NA,NA,NA,0.0338203994097958,-0.000169708197951226,NA,7,-1162.18837800263,2338.40582426376,52.567406941499,2.2923681283745e-12,0.999999999994106
12.6432365056257,0.103677365923372,-0.00199069310587903,NA,NA,0.0043003723776811,NA,-0.00680367604536835,8,-1161.79500315245,2339.62738948247,53.7889721602082,1.24458580905441e-12,0.99999999999535
12.9836486039322,0.103937178364261,-0.0019951853899572,-0.0267505143390739,NA,0.00411310542855685,NA,-0.00691187247614546,9,-1160.83400291138,2339.71474692897,53.8763296067082,1.19139402110801e-12,0.999999999996542
-1.62654907422496,0.0332255040810231,NA,-0.0117505145480823,NA,0.0334976823974673,-0.000168322068148207,NA,8,-1162.00145038543,2340.04028394843,54.2018666261652,1.01243220334393e-12,0.999999999997554
-1.13208288623424,0.0340229240268323,NA,NA,NA,0.033813364398405,-0.000169662945859738,-0.000286762449080481,8,-1162.17673425482,2340.3908516872,54.5524343649417,8.49652096692452e-13,0.999999999998404
12.3484712393233,0.10391123724752,-0.00199453543172343,0.291319264231287,-0.0380017365713356,0.00413502395288014,NA,-0.00692685291761981,10,-1160.54587261854,2341.14888809422,55.310470771954,5.81615027554444e-13,0.999999999998985
-1.12538459727549,0.0332671150573279,NA,-0.260497275389968,0.0297439141981963,0.0339037309627997,-0.000170751598171707,NA,9,-1161.82770715227,2341.70215541074,55.8637380884757,4.41057435379925e-13,0.999999999999426
-0.980111164487472,0.0340690966675957,NA,-0.0118737434543933,NA,0.0334861653464185,-0.000168255226775993,-0.000329794532432702,9,-1161.98606893788,2342.01887898197,56.1804616597037,3.76460572375177e-13,0.999999999999803
-0.514081596087376,0.0340676078349867,NA,-0.259505307947427,0.0296113295098272,0.0338909718308104,-0.000170677225558686,-0.000313009448172765,10,-1161.81386115374,2343.68486516463,57.846447842363,1.63664766483665e-13,0.999999999999967
-0.622862149720968,0.0760041866420003,-0.00162708116574204,NA,NA,0.00429229780262362,NA,NA,7,-1167.2032643524,2348.4355969633,62.5971796410367,1.52176255183647e-14,0.999999999999982
-0.50461995738286,0.0758395225871398,-0.00162563099430424,-0.024440641953234,NA,0.00412108158491513,NA,NA,8,-1166.40460471416,2348.8465926059,63.0081752836345,1.23908278370419e-14,0.999999999999994
-1.13771026891893,0.0757581918210885,-0.00162437422455183,0.278639332764727,-0.0362099458709063,0.00414198055173539,NA,NA,9,-1166.14445647359,2350.33565405338,64.4972367311166,5.88511207436297e-15,1
-19.7720282453603,NA,NA,NA,NA,0.0339957119838195,-0.000170643562389109,0.00928123110658459,7,-1178.94406614565,2371.9172005498,86.0787832275373,1.21166192427467e-19,1
-19.6585100801849,NA,NA,-0.0105289299786898,NA,0.0337074078543448,-0.000169406455859699,0.00925395964052039,8,-1178.79595027251,2373.6292837226,87.7908664003339,5.14763000198327e-20,1
-19.1812842025751,NA,NA,-0.263028889245031,0.0301930514314431,0.0341210026305029,-0.000171880896390401,0.00927002953327093,9,-1178.61916066633,2375.28506243887,89.4466451166045,2.24936298157175e-20,1
-0.436543300045742,0.0330355601265702,NA,NA,NA,0.00436220787895391,NA,NA,6,-1190.1742612941,2392.37031812531,106.531900803048,4.38574533688083e-24,1
-0.311611664250557,0.0329067066203238,NA,-0.0258832546774473,NA,0.0041813204081412,NA,NA,7,-1189.27372493231,2392.57651812311,106.738100800848,3.95610354143868e-24,1
-0.962622560204309,0.0328588042064396,NA,0.285707129232581,-0.0372274698882678,0.00420272258498961,NA,NA,8,-1188.99721773235,2394.03181864226,108.193401319998,1.91096686708369e-24,1
0.32272251893044,0.0340300480123288,NA,NA,NA,0.00436339855788113,NA,-0.000388017374373076,7,-1190.15291655893,2394.33490137635,108.496484054092,1.64225116151665e-24,1
0.6335554584706,0.0341417392745998,NA,-0.0260620990508018,NA,0.00418155925537127,NA,-0.000482576404235789,8,-1189.24075461347,2394.51889240451,108.680475082249,1.4979124607681e-24,1
0.0143278094910498,0.0341389643304842,NA,0.286867046423317,-0.0373882324814442,0.00420306206361886,NA,-0.0005002395292769,9,-1188.96177264369,2395.97028639359,110.131869071331,7.24970330395102e-25,1
-18.3069247697312,NA,NA,NA,NA,0.00437387403211776,NA,0.00917849532314995,6,-1206.91703871704,2425.85587297118,140.017455648921,2.34826747976367e-31,1
-18.0665762023111,NA,NA,-0.0246897293326355,NA,0.00420140726921262,NA,0.00911676542192149,7,-1206.10849514228,2426.24605854305,140.40764122079,1.93205659274227e-31,1
