"with_CO2","what","site","sp","parameter","Value","Std.Error","DF","t.value","p.value"
FALSE,"log_core_measurement","ScottyCreek","PIMA","(Intercept)",-5.64478403169868,0.111517447386033,15240,-50.6179451199102,0
FALSE,"log_core_measurement","ScottyCreek","PIMA","pre",0.0123446051003712,0.00073406821645525,15240,16.8167001698864,6.79109205452172e-63
FALSE,"log_core_measurement","ScottyCreek","PIMA","I(pre^2)",-8.6837752249001e-05,6.8928795164202e-06,15240,-12.5981822316981,3.27382887681814e-36
FALSE,"log_core_measurement","ScottyCreek","PIMA","tmn",0.936714027702216,0.0271357284551354,15240,34.5195828905394,1.75585200450971e-251
FALSE,"log_core_measurement","ScottyCreek","PIMA","I(tmn^2)",-0.0598206968606703,0.00168453208351157,15240,-35.5117586932321,1.85638246711642e-265
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","(Intercept)",-4.1712886369153,0.238111277675224,4055,-17.5182321376848,2.71747812208996e-66
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","dbh",-0.212582711467415,0.0157118161422398,4055,-13.530117049671,7.89194265554888e-41
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","pre",0.0141133935022269,0.00138736821744956,4055,10.1727813313843,5.08413429013729e-24
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","I(pre^2)",-9.98868721528128e-05,1.30540811161929e-05,4055,-7.65177351540346,2.46129350348134e-14
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","tmn",0.90736659791844,0.0517587226665051,4055,17.5306991975988,2.21654700521499e-66
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","I(tmn^2)",-0.0584690783716543,0.00320354612091302,4055,-18.2513615115335,1.37990683346296e-71
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","(Intercept)",-12.3957552585067,0.346994247510851,4053,-35.7232298443769,3.12728082212142e-243
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","dbh",0.225883077773879,0.0599495903478124,4053,3.76788359125329,0.00016697742559115
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","I(dbh^2)",-0.0147688640606337,0.00457001282891953,4053,-3.23168984716515,0.00124045171211013
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","pre",0.0241778662615466,0.00211515989783127,4053,11.430751068199,8.36199367719511e-30
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","I(pre^2)",-0.000459720983886329,4.31371298902783e-05,4053,-10.6571991473623,3.57332575347739e-26
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","tmn",0.436041387330282,0.0748325667077641,4053,5.82689337695858,6.08565481782072e-09
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","I(tmn^2)",-0.0291706740738409,0.00471863893557775,4053,-6.18201020932094,6.95401744399292e-10
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","(Intercept)",-5.18754583799839,0.291035723528928,4053,-17.8244298503884,1.76419136399302e-68
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","dbh",0.150165584743013,0.0593976539875824,4053,2.52813999647876,0.0115045339925901
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","I(dbh^2)",-0.0143782157416562,0.00453487735059657,4053,-3.17058536098329,0.0015326644292171
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","pre",0.014016243762014,0.00138162451609058,4053,10.1447561177288,6.73095794705308e-24
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","I(pre^2)",-9.91537532957545e-05,1.29994230316226e-05,4053,-7.62755031931427,2.96313606251347e-14
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","tmn",0.904428721409188,0.0515436872284074,4053,17.5468378387708,1.70683328006914e-66
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","I(tmn^2)",-0.0582946035973316,0.00319018397358774,4053,-18.2731165600373,9.57805318066207e-72
FALSE,"log_core_measurement","NewMexico","PIPO","(Intercept)",-39.1505866319615,4.69824533301972,840,-8.33302304517974,3.1957239635717e-16
FALSE,"log_core_measurement","NewMexico","PIPO","pre",0.281132808555566,0.0179319221211215,840,15.6777843812085,8.79168419655973e-49
FALSE,"log_core_measurement","NewMexico","PIPO","I(pre^2)",-0.00246543377801992,0.000193849889674641,840,-12.7182624770018,5.13562465524572e-34
