"with_Year_or_CO2","what","site","sp","model","R2m","R2c"
"","log_core_measurement","ScottyCreek","PIMA","log_core_measurement ~ pre + I(pre^2) + tmn + I(tmn^2) + 1",0.015264580563636,0.453142079222585
"","log_core_measurement_dbh","ScottyCreek","PIMA","log_core_measurement ~ dbh + I(dbh^2) + pre + I(pre^2) + tmn + I(tmn^2) + 1",0.218152021676125,0.657237250152916
"","log_agb_inc_dbh","ScottyCreek","PIMA","log_agb_inc ~ dbh + pre + I(pre^2) + tmn + I(tmn^2) + 1",0.0295487463587283,0.536643084049678
"","log_BAI_dbh","ScottyCreek","PIMA","log_BAI ~ dbh + pre + I(pre^2) + tmn + I(tmn^2) + 1",0.0197556683183689,0.554068852294074
"","log_core_measurement","NewMexico","PIPO","log_core_measurement ~ pre + I(pre^2) + tmx + I(tmx^2) + 1",0.381701126548713,0.56280323326641
"","log_core_measurement","NewMexico","PIST3","log_core_measurement ~ pre + I(pre^2) + 1",0.328223638788915,0.449331678782644
"","log_core_measurement_dbh","NewMexico","PIPO","log_core_measurement ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + 1",0.421571578170803,0.958529373444089
"","log_core_measurement_dbh","NewMexico","PIST3","log_core_measurement ~ dbh + I(dbh^2) + pre + I(pre^2) + 1",0.371172116206858,0.448236226357643
"","log_agb_inc_dbh","NewMexico","PIPO","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + 1",0.339877566676709,0.951158897701143
"","log_agb_inc_dbh","NewMexico","PIST3","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + 1",0.417674638379768,0.501023118062093
"","log_BAI_dbh","NewMexico","PIPO","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + 1",0.364467495598879,0.95366623768221
"","log_BAI_dbh","NewMexico","PIST3","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + 1",0.398786708735842,0.484961795926332
"","log_core_measurement","SCBI","CACO","log_core_measurement ~ tmp + I(tmp^2) + 1",0.00699207270172597,0.19826153802751
"","log_core_measurement","SCBI","CAGL","log_core_measurement ~ pre + tmp + I(tmp^2) + 1",0.00688781526523786,0.471447593887941
"","log_core_measurement","SCBI","CAOVL","log_core_measurement ~ pre + tmp + I(tmp^2) + 1",0.0122462786323792,0.475973142422244
"","log_core_measurement","SCBI","CATO","log_core_measurement ~ tmp + I(tmp^2) + 1",0.00457557529564189,0.416573208663375
"","log_core_measurement","SCBI","FAGR","log_core_measurement ~ tmp + I(tmp^2) + 1",0.00235689977503833,0.300799794549817
"","log_core_measurement","SCBI","FRAM","log_core_measurement ~ tmp + I(tmp^2) + 1",0.0027435589671194,0.559919276416121
"","log_core_measurement","SCBI","FRNI","log_core_measurement ~ tmp + I(tmp^2) + 1",0.0245472076729056,0.314529125497628
"","log_core_measurement","SCBI","JUNI","log_core_measurement ~ pre + I(pre^2) + tmp + I(tmp^2) + 1",0.0137382143475487,0.530572971817381
"","log_core_measurement","SCBI","LITU","log_core_measurement ~ pre + I(pre^2) + tmp + I(tmp^2) + 1",0.00359602360154475,0.659562097091757
"","log_core_measurement","SCBI","PIST","log_core_measurement ~ pre + tmp + 1",0.00197823362444188,0.552313026302027
"","log_core_measurement","SCBI","QUAL","log_core_measurement ~ pre + I(pre^2) + tmp + I(tmp^2) + 1",0.00866508603962202,0.632847691894566
"","log_core_measurement","SCBI","QUMO","log_core_measurement ~ pre + tmp + I(tmp^2) + 1",0.00877036061702219,0.683495501876043
"","log_core_measurement","SCBI","QURU","log_core_measurement ~ pre + I(pre^2) + tmp + I(tmp^2) + 1",0.0099555169729352,0.680889048883421
"","log_core_measurement","SCBI","QUVE","log_core_measurement ~ pre + I(pre^2) + tmp + I(tmp^2) + 1",0.0106907524495263,0.636729246924821
"","log_core_measurement_dbh","SCBI","CACO","log_core_measurement ~ dbh + tmp + I(tmp^2) + 1",0.117594069819468,0.128516920469396
