"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-31.2575477272375,0.121538574697026,-0.000975081093207392,0.00160170271769538,-6.13466666080523e-06,3.50764932395861,-0.100199884412011,10,-416.299826345306,852.690187670035,0,0.922968897133325,0.922968897133325,FALSE
-33.8875843856379,0.122036344772756,-0.000979835067269396,0.000264404438141978,NA,3.81055456859905,-0.108758705302696,9,-420.160568835844,858.395181275143,5.7049936051086,0.0532553747517095,0.976224271885035,FALSE
-36.8159615526888,0.121618014224819,-0.000975425214945807,NA,NA,4.15152676390811,-0.118537053735673,8,-421.974438703203,860.008087932722,7.31790026268754,0.023775256690063,0.999999528575098,FALSE
-30.1153204260094,0.0468533125798399,NA,0.00162159498236628,-6.31482054460525e-06,3.5131174101333,-0.10037228676021,9,-431.86402855478,881.802100713015,29.1119130429803,4.4016496311922e-07,0.999999968740061,FALSE
-32.7975751192552,0.0470204786323212,NA,0.000246207674257,NA,3.82258863397844,-0.109116663729847,8,-435.965302531158,887.989815588632,35.2996279185973,1.99512567236867e-08,0.999999988691317,FALSE
-35.5353079075655,0.0469417429854206,NA,NA,NA,4.14078380642856,-0.118241105383854,7,-437.539612269557,889.125258242362,36.435070572327,1.13086826656146e-08,1,FALSE
-0.153471540745167,0.121776253114882,-0.000970062676826742,0.00354541586371907,-1.21503254756761e-05,-0.0338705135957935,NA,9,-459.564280428363,937.20260446018,84.5124167901455,4.10722915322247e-19,1,FALSE
-0.763634592498477,0.122024313985312,-0.000981105436619008,0.00369290839707462,-1.197693633133e-05,NA,NA,8,-468.393628061952,952.84646665022,100.156278980185,1.64636991569263e-22,1,FALSE
-0.0961071976565478,0.1229293677406,-0.000978921901811977,0.00100982514088212,NA,-0.0330182237714013,NA,8,-475.30446005114,966.668130628596,113.977942958561,1.64131229697297e-25,1,FALSE
1.03910510634181,0.0474241470267677,NA,0.00356179166586151,-1.2304015049036e-05,-0.0345585844133748,NA,8,-475.426842583962,966.91289569424,114.222708024205,1.45224926259252e-25,1,FALSE
-29.8260010624717,NA,NA,0.0017174041751648,-6.94499584136438e-06,3.67315178532918,-0.104797822581905,8,-480.833343142614,977.725896811545,125.03570914151,6.51670115743916e-28,1,FALSE
-0.691844784004303,0.12315225931162,-0.00098946844851185,0.00118855558899946,NA,NA,NA,7,-483.567034811212,981.18010332567,128.489915655636,1.15866100619184e-28,1,FALSE
0.433029020887841,0.0467380261564264,NA,0.00371257911447544,-1.21287997037404e-05,NA,NA,7,-484.653761406543,983.353556516333,130.663368846298,3.90838220885894e-29,1,FALSE
-32.792207933839,NA,NA,0.00020403776261002,NA,4.01608458670615,-0.11448622286959,7,-485.743368586022,985.532770875292,132.842583205257,1.31457885446637e-29,1,FALSE
-35.0565292867807,NA,NA,NA,NA,4.27901572467023,-0.122027022305666,6,-486.81512751147,985.664766115791,132.974578445756,1.23062076777813e-29,1,FALSE
1.10371541495462,0.0480071511931554,NA,0.000996221192624645,NA,-0.0337099372112478,NA,7,-491.58125474441,997.208543192068,144.518355522033,3.83199468140658e-32,1,FALSE
0.511136725605043,0.0473405711930811,NA,0.001178681137643,NA,NA,NA,6,-500.225147792932,1012.48480667872,159.794619008681,1.84597761137366e-35,1,FALSE
0.469672792074211,0.121156406084974,-0.000957535869251924,NA,NA,-0.0566170874954592,NA,7,-508.352231230699,1030.75049616464,178.060308494609,1.99472188944178e-39,1,FALSE
1.63941506530273,0.0477973181777212,NA,NA,NA,-0.0569739678912696,NA,6,-523.812323411217,1059.65915791529,206.968970245251,1.05304326479152e-45,1,FALSE
2.7191728335672,NA,NA,0.00374994865179627,-1.3239716445914e-05,-0.0306514696883646,NA,7,-528.003958665565,1070.05395103438,217.363763364342,5.82432456904077e-48,1,FALSE
-0.503644136120081,0.120987923515181,-0.000970935139392755,NA,NA,NA,NA,6,-535.089843562521,1082.21419821789,229.524010547859,1.33254364820145e-50,1,FALSE
2.15905066496772,NA,NA,0.00388142929090604,-1.30725668352177e-05,NA,NA,6,-535.183214255528,1082.40093960391,229.710751933872,1.21375509717276e-50,1,FALSE
2.80962459924407,NA,NA,0.000989060320974568,NA,-0.0296059936160985,NA,6,-546.514717157819,1105.06394540849,252.373757738455,1.45519731457049e-55,1,FALSE
0.683008713762484,0.0464201090452371,NA,NA,NA,NA,NA,5,-550.991666763911,1112.00797418491,259.317786514871,4.51902969068931e-57,1,FALSE
2.26750420926934,NA,NA,0.001149203172584,NA,NA,NA,5,-553.096803527571,1116.21824771223,263.528060042191,5.505489194697e-58,1,FALSE
3.33199303322185,NA,NA,NA,NA,-0.0526038926629285,NA,5,-577.874033105613,1165.77270686831,313.082519198276,9.55392509555839e-69,1,FALSE
2.40162149792754,NA,NA,NA,NA,NA,NA,4,-600.734636670435,1209.48569370212,356.795506032083,3.07629052107294e-78,1,FALSE
