"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-24.8382765977566,0.152617568505105,-0.00105316230000812,NA,NA,1.8582092745377,-0.053380168911822,8,-351.736845843799,719.551194378663,0,0.616567537547698,0.616567537547698,FALSE
-23.9860074179179,0.152722255499596,-0.00105419337836909,9.20800199605888e-05,NA,1.75837278121175,-0.0505053606115436,9,-351.573265809579,721.243462152277,1.69226777361393,0.264550981588894,0.881118519136592,FALSE
-23.3416364898551,0.152623836618654,-0.00105344092389719,0.000454471226064216,-1.64734581147144e-06,1.68338442172025,-0.0483715749326241,10,-351.362674851734,722.843884186226,3.29268980756285,0.118845337483819,0.999963856620411,FALSE
-8.3239110737784,0.152901870508154,-0.00105533574896632,0.00149224677617837,-4.91869348429182e-06,-0.0268074884445211,NA,9,-360.807569340384,739.712069213887,20.1608748352238,2.5828685824276e-05,0.999989685306235,FALSE
-8.26527847711526,0.153288063238527,-0.00105817790208916,0.000455877869285078,NA,-0.0282808544119617,NA,8,-362.840239056752,741.757980804569,22.2067864259061,9.28620469347333e-06,0.999998971510929,FALSE
-8.81795556871573,0.152735130497659,-0.0010552480766747,0.00180172504804244,-5.52452322939838e-06,NA,NA,8,-365.397496367511,746.872495426088,27.3213010474246,7.19839233888406e-07,0.999999691350163,FALSE
-7.99216106840357,0.152784226214841,-0.00105286154881617,NA,NA,-0.040187451314175,NA,7,-367.926473041602,749.913193528066,30.3619991494032,1.57382453056446e-07,0.999999848732616,FALSE
-8.78232011232501,0.153158383647776,-0.00105843805769147,0.000649052935190644,NA,NA,NA,7,-367.966232001018,749.9927114469,30.4415170682367,1.51247851281367e-07,0.999999999980467,FALSE
-23.898147886473,0.0725657825167656,NA,NA,NA,1.86497462717033,-0.053552824061393,7,-377.475323034373,769.010893513609,49.4596991349462,1.12187236398359e-11,0.999999999991686,FALSE
-23.2557646368498,0.0726094768745375,NA,6.92760826357013e-05,NA,1.78973274720098,-0.0513863239749389,8,-377.383017058112,770.84353680729,51.2923424286273,4.48735072749295e-12,0.999999999996173,FALSE
-22.5069688264399,0.072517800155079,NA,0.000491718906388092,-1.92115035652762e-06,1.70264038373137,-0.048908065723228,9,-377.097385687652,772.291701908421,52.7405075297585,2.17532904602554e-12,0.999999999998349,FALSE
-8.6865787465598,0.152206548255122,-0.00104951312883496,NA,NA,NA,NA,6,-380.399110128516,772.843381547355,53.2921871686925,1.65093223481146e-12,0.999999999999999,FALSE
-7.32273379845775,0.0727160061114424,NA,0.00153935105356231,-5.21977203072818e-06,-0.0265226993715062,NA,8,-386.732414159166,789.542331009398,69.9911366307351,3.9047968547793e-16,1,FALSE
-7.26222829045564,0.0730479550140483,NA,0.000439977617325496,NA,-0.02808547010308,NA,7,-389.01275820211,792.085763849082,72.5345694704191,1.09470983827142e-16,1,FALSE
-7.80975028244976,0.0724962431040349,NA,0.00184596888977784,-5.82132573762281e-06,NA,NA,7,-391.21683548388,796.493918412622,76.9427240339591,1.20803751137961e-17,1,FALSE
-6.99902721350977,0.0727975626526235,NA,NA,NA,-0.0395734112607475,NA,6,-393.737685915466,799.520533121256,79.9693387425926,2.65986372472359e-18,1,FALSE
-7.77395811318735,0.0728508690422072,NA,0.000631836880752437,NA,NA,NA,6,-394.058136929739,800.1614351498,80.6102407711372,1.93058656397746e-18,1,FALSE
-7.68009802264242,0.0722828080562542,NA,NA,NA,NA,NA,5,-405.807970132354,821.648180995498,102.096986616835,4.16775040084297e-23,1,FALSE
-22.6962658291187,NA,NA,NA,NA,1.9511387009176,-0.0558816038590936,6,-435.13149372954,882.308148749403,162.75695437074,2.80386479668229e-36,1,FALSE
-22.8155717071266,NA,NA,-1.28974178187181e-05,NA,1.96508821655484,-0.0562833469353232,7,-435.128349197062,884.316945838986,164.765751460323,1.02695714855432e-36,1,FALSE
-21.4600603677057,NA,NA,0.000744180042573056,-3.43647539398783e-06,1.80691762510343,-0.0517834295209248,8,-434.229826246872,884.53715518481,164.985960806147,9.19886976873786e-37,1,FALSE
-5.37803923009766,NA,NA,0.00186151278479454,-6.97504615370412e-06,-0.023848936951237,NA,7,-444.808290402483,903.676828249829,184.125633871166,6.42106803688235e-41,1,FALSE
-5.82136868771672,NA,NA,0.00213593941125703,-7.50852885371719e-06,NA,NA,6,-448.357101590572,908.759364471466,189.208170092803,5.05764746300134e-42,1,FALSE
-5.28452872899762,NA,NA,0.000390357753147323,NA,-0.0258998979403051,NA,6,-448.81691941525,909.679000120822,190.127805742159,3.19339183233036e-42,1,FALSE
-5.05739788892904,NA,NA,NA,NA,-0.0360999534607927,NA,5,-452.456282068659,914.944804868107,195.393610489445,2.29507687939732e-43,1,FALSE
-5.76130368561397,NA,NA,0.000567281411158232,NA,NA,NA,5,-453.011513275024,916.055267280839,196.504072902176,1.31723538535925e-43,1,FALSE
-5.69182000925179,NA,NA,NA,NA,NA,NA,4,-462.285106936315,932.591696149751,213.040501771089,3.37927460566555e-47,1,FALSE
