"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-32.1106632041134,0.16145124034159,-0.0012053073509405,0.00379891425718334,-1.60495756709819e-05,2.57551640744737,-0.073120419920323,10,-1869.42125988885,3758.90595691726,0,0.999999476525448,0.999999476525448,FALSE
-9.5772488243948,0.161914312853191,-0.00120862110132819,0.00534685192645607,-2.0765589260765e-05,NA,NA,8,-1886.47502187659,3788.99154231225,30.0855853949879,2.93087915226417e-07,0.999999769613363,FALSE
-9.41607275735004,0.16191334670626,-0.0012077539000562,0.00528348788205603,-2.07094386203996e-05,-0.00880706720533753,NA,9,-1886.04303266357,3790.13795347935,31.2319965620923,1.65218201307768e-07,0.999999934831564,FALSE
-39.1392356225905,0.162649093706898,-0.00121592699792862,0.000276472183886028,NA,3.3882066401478,-0.0961536429785202,9,-1887.51583058879,3793.08354932978,34.1775924125182,3.78817364171313e-08,0.999999972713301,FALSE
-42.0736447278163,0.162153449582027,-0.00121080316438273,NA,NA,3.73046549519177,-0.105979909242548,8,-1888.84909532958,3793.73968921824,34.8337323009737,2.72866934236777e-08,0.999999999999994,FALSE
-31.4467126405585,0.0742627458116728,NA,0.00383578101688011,-1.63974723054554e-05,2.62213217255358,-0.0744324934258637,9,-1903.22069715869,3824.49328246958,65.5873255523152,5.72654908446287e-15,1,FALSE
-9.44434615815287,0.163975902208386,-0.00122550226609938,0.00100594765086807,NA,NA,NA,7,-1919.27755932676,3852.58738601163,93.6814290943644,4.54292865474785e-21,1,FALSE
-9.24849650816738,0.16396746453472,-0.0012244004829664,0.000942984690399491,NA,-0.0107212407832507,NA,8,-1918.65119070034,3853.34387995975,94.4379230424865,3.11218455280084e-21,1,FALSE
-8.49687816461433,0.0744166994694491,NA,0.00540130319001614,-2.11540916093964e-05,NA,NA,7,-1920.93187309751,3855.89601355313,96.9900566358724,8.68713507677969e-22,1,FALSE
-8.3405759803496,0.0744729813225268,NA,0.00533953925531557,-2.10993889655045e-05,-0.00857588369522031,NA,8,-1920.5203467436,3857.08219204629,98.1762351290245,4.80066263758173e-22,1,FALSE
-38.5417872946217,0.0748524178955948,NA,0.00024238350594777,NA,3.44309582295608,-0.0977001967522292,8,-1922.14622137449,3860.33394130807,101.427984390805,9.44480089235843e-23,1,FALSE
-41.1257114333976,0.0747076863661768,NA,NA,NA,3.7441146318069,-0.106341525514104,7,-1923.17032602244,3860.37291940299,101.466962485726,9.2625127998886e-23,1,FALSE
-8.70112287575877,0.162221030707125,-0.00120501302114186,NA,NA,-0.0338003114329661,NA,7,-1938.63088817007,3891.29404369825,132.388086780988,1.78768910475202e-29,1,FALSE
-9.28762617476907,0.161822787430595,-0.00120428153294738,NA,NA,NA,NA,6,-1945.77984197405,3903.58387749648,144.677920579219,3.83343842953322e-32,1,FALSE
-8.35641849522287,0.0755484304842336,NA,0.000985128343026035,NA,NA,NA,6,-1954.95300109497,3921.93019573833,163.024238821065,3.97865337390549e-36,1,FALSE
-8.16521574829632,0.0756120525190458,NA,0.000923332247775271,NA,-0.0105093772342866,NA,7,-1954.34852134185,3922.72931004181,163.823353124545,2.66815243782736e-36,1,FALSE
-7.63951063982746,0.0750515652414405,NA,NA,NA,-0.0330677950347195,NA,6,-1973.53582382968,3959.09584120774,200.189884290481,3.383130360409e-44,1,FALSE
-8.21267413284377,0.0746770816842987,NA,NA,NA,NA,NA,5,-1980.40947619165,3970.83622851344,211.930271596181,9.54829924548745e-47,1,FALSE
-31.7059456429376,NA,NA,0.00410950988238386,-1.80199136655129e-05,2.86682925449577,-0.0812120907255981,8,-1989.07541493401,3994.19232842709,235.286371509833,8.09493499878435e-52,1,FALSE
-6.55280311920097,NA,NA,0.00579125054452564,-2.32680081803249e-05,NA,NA,6,-2009.27987376497,4030.58394107832,271.677984161059,1.01361979845685e-59,1,FALSE
-6.49238380050143,NA,NA,0.0057677725043138,-2.32479842400619e-05,-0.00328366469138553,NA,7,-2009.22094357666,4032.47415451143,273.568197594168,3.93931267090852e-60,1,FALSE
-41.2621296800574,NA,NA,NA,NA,3.97543042364247,-0.112696921060326,6,-2011.83664287543,4035.69747929924,276.791522381976,7.86111896426106e-61,1,FALSE
-39.6710985521672,NA,NA,0.000149919153235506,NA,3.79033858683144,-0.107382369387078,7,-2011.45228725216,4036.93684186243,278.030884945167,4.23019324570507e-61,1,FALSE
-6.36055661721604,NA,NA,0.000922827192727117,NA,NA,NA,5,-2049.68889987186,4109.39507587386,350.489118956595,7.80287424501449e-77,1,FALSE
-6.26448730366859,NA,NA,0.000892081390296369,NA,-0.00523564429171818,NA,6,-2049.54281583057,4111.10982520953,352.203868292272,3.31056043554336e-77,1,FALSE
-5.77377865568387,NA,NA,NA,NA,-0.0269506418197125,NA,5,-2066.99324607405,4144.00376827825,385.097811360987,2.3827174153921e-84,1,FALSE
-6.24927138220367,NA,NA,NA,NA,NA,NA,4,-2071.43784788953,4150.88720988383,391.981252966571,7.62697260040156e-86,1,FALSE
