"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-31.9932807124338,0.133053700029341,-0.000979397310563343,0.00224052258942147,-8.88530651879547e-06,2.73991639978735,-0.0785611089592443,10,209.832826995728,-399.580382673627,0,0.999998925006565,0.999998925006565,FALSE
-35.4119979115898,0.134064339876966,-0.000988061348225828,0.000316283262609681,NA,3.1332122561707,-0.089671670233862,9,195.05788451029,-372.046028609887,27.5343540637406,1.04951951124845e-06,0.999999974526076,FALSE
-38.7749684531195,0.133427269580448,-0.000982004634596402,NA,NA,3.52575601049197,-0.10093557684317,8,190.332467281629,-364.609163842886,34.9712188307412,2.54739241490926e-08,1,FALSE
-31.0596390439839,0.0512348903739778,NA,0.00229006478395639,-9.31241408288841e-06,2.7886715664076,-0.0799575364662491,9,163.061624144789,-308.053507878884,91.5268747947431,1.33410864541323e-20,1,FALSE
-7.59897984739241,0.133565615921273,-0.000981853390517597,0.00372047708072661,-1.33823653892931e-05,-0.0373876546760709,NA,9,158.132489538169,-298.195238665644,101.385144007984,9.64928732099758e-23,1,FALSE
-34.5471965393226,0.0515956446341582,NA,0.000279275358810555,NA,3.19083388144479,-0.0913186667616456,8,146.678904077984,-277.302037435596,122.278345238031,2.80281373183527e-27,1,FALSE
-37.5417255108147,0.0514807432813002,NA,NA,NA,3.5395601201803,-0.10132312538345,7,142.977814751808,-271.912269070012,127.668113603615,1.89330641594176e-28,1,FALSE
-8.258455194796,0.133075126291344,-0.000984676408853421,0.00389402783408422,-1.32188506942995e-05,NA,NA,8,138.533042656692,-261.010314593013,138.570068080614,8.12627604449323e-31,1,FALSE
-7.54899708838031,0.135384771125627,-0.000996068392523947,0.000934513069413634,NA,-0.0365820805882191,NA,8,124.02456508638,-231.993359452388,167.587023221239,4.0638701365075e-37,1,FALSE
-6.22049551820792,0.0513513178675302,NA,0.00377970902133925,-1.3797992348149e-05,-0.0380848613025688,NA,8,108.737915983119,-201.420061245866,198.160321427761,9.33324075978497e-44,1,FALSE
-8.19462212151946,0.134873994675406,-0.000998464536547226,0.00113672458815205,NA,NA,NA,7,105.83581261217,-197.628264790736,201.952117882891,1.40169760255066e-44,1,FALSE
-6.88453035806134,0.0505146041365165,NA,0.00395741434944074,-1.36340175274936e-05,NA,NA,7,88.0834976221013,-162.123634810598,237.456747863029,2.73477681480411e-52,1,FALSE
-7.00861630640767,0.1334454644458,-0.000977277842433422,NA,NA,-0.0586081863594661,NA,7,73.9513351765991,-133.859309919594,265.721072754033,1.99251556140952e-58,1,FALSE
-6.15865162053381,0.0521353411176329,NA,0.000915390344631685,NA,-0.0372812540841959,NA,7,72.3218587677584,-130.600357101912,268.980025571715,3.9059718508986e-59,1,FALSE
-30.3217518767473,NA,NA,0.00246761674344578,-1.03279580710867e-05,2.93086099964759,-0.0839149645278957,8,60.3963259364327,-104.736881152494,294.843501521133,9.45249954882526e-65,1,FALSE
-6.8096854841928,0.0513231084697877,NA,0.00112206709835137,NA,NA,NA,6,53.1563854690239,-94.2802631981098,305.300119475517,5.0689840750425e-67,1,FALSE
-34.150928886066,NA,NA,0.000240840482021623,NA,3.37375906171822,-0.0964253843051151,7,40.5241959965706,-67.0050315595369,332.57535111409,6.05591303883251e-73,1,FALSE
-36.743344455525,NA,NA,NA,NA,3.67532201816216,-0.105075638576024,6,37.822264321675,-63.6120209034119,335.968361770215,1.11018850858998e-73,1,FALSE
-5.64650826324722,0.0516542602852167,NA,NA,NA,-0.0588298564499555,NA,6,23.8729206039397,-35.7133334679414,363.867049205686,9.71121848125988e-80,1,FALSE
-7.9832739427413,0.131753503328691,-0.000974690197250843,NA,NA,NA,NA,6,23.4528181447286,-34.873128549519,364.707254124108,6.38007148905909e-80,1,FALSE
-4.2537216551167,NA,NA,0.00402958743795127,-1.50245960921123e-05,-0.0356604718185548,NA,7,1.0398940308869,11.9635723718305,411.543955045458,4.30888759304668e-90,1,FALSE
-4.90666819815299,NA,NA,0.00419738579490529,-1.48802713453146e-05,NA,NA,6,-16.8446045845612,45.7217169090606,445.302099582688,2.01315502191925e-97,1,FALSE
-6.61794400017754,0.0499469601313238,NA,NA,NA,NA,NA,5,-27.8280304032169,65.6792716381552,465.259654311782,9.33575128782164e-102,1,FALSE
-4.16184761278129,NA,NA,0.000916933067381224,NA,-0.0347065771148577,NA,6,-41.4315358575359,94.8955794550099,494.475962128637,4.22579709284984e-108,1,FALSE
-4.79709960721117,NA,NA,0.00110851612846786,NA,NA,NA,5,-57.8011085270291,125.62542788578,525.205810559407,8.97442925520871e-115,1,FALSE
-3.66635524465516,NA,NA,NA,NA,-0.0560612836359854,NA,5,-89.2196110661689,188.462432964059,588.042815637686,2.03293997606183e-128,1,FALSE
-4.6547078410791,NA,NA,NA,NA,NA,NA,4,-135.401052044214,278.817571992528,678.397954666155,4.872539967565e-148,1,FALSE
